Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,BUDGET 2024 APPROUVÉ,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,BUDGET 2024 RÉEL,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,,2.0,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,QUOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LIQUIDATION,,,,,RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIQUIDATION,,,,,RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CAMPAGNE,QUOTES         + FITNESS        + ABRIS,,,,QUOTES,,,,,"FITNESS
+QUOTES",,,,,"LIQUIDATION
+QUOTES
+RH",,,,,KICKOFF,,,,CORE 1,,,,CORE 2,,,,LOCAL,,,,,FESTIVAL,VENTE 1,,,,VENTE 2,,,,,SEPTEMBRE,Événement SPA + MEUBLES,,,QUOTES,,,,,,,,,,,,QUOTES         + FITNESS        + ABRIS,,,,QUOTES,,,,,"FITNESS
+QUOTES",,,,,"LIQUIDATION
+QUOTES
+RH",,,,,KICKOFF,,,,CORE 1,,,,CORE 2,,,,LOCAL,,,,,FESTIVAL,VENTE 1,,,,VENTE 2,,,,,SEPTEMBRE,Événement SPA + MEUBLES,,,QUOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,
,,,MEDIA,NOVEMBRE,,,,DECEMBRE,,,,,JANVIER,,,,,FEVRIER,,,,,MARS,,,,AVRIL,,,,MAI,,,,JUIN,,,,,JUILLET,JUILLET,,,,AOUT,,,,,SEPTEMBRE,SEPTEMBRE,,,OCTOBRE,,,,,TOTAL 2024,%,,,,,,NOVEMBRE,,,,DECEMBRE,,,,,JANVIER,,,,,FEVRIER,,,,,MARS,,,,AVRIL,,,,MAI,,,,JUIN,,,,,JUILLET,JUILLET,,,,AOUT,,,,,SEPTEMBRE,SEPTEMBRE,,,OCTOBRE,,,,,,,,TOTAL 2024,%,DIFFÉRENCE SUR BUDGET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL 2023,%,Diff.,VAR,,TOTAL 2022,,,,,,
,,,,29,5.0,12.0,19.0,26,3.0,10.0,17.0,24.0,31,6.0,12.0,19.0,28.0,4,,11.0,18.0,25.0,3,10,17.0,24.0,31,7.0,14.0,21.0,28,5.0,12,19.0,26,2.0,9.0,16.0,23.0,30,7,,14.0,21.0,28,4.0,11.0,18.0,25.0,semaine du 1er,8,15.0,22.0,29,6.0,13.0,20.0,,,,,,,,,29,5.0,12.0,19.0,26,3.0,10.0,17.0,24.0,31,6.0,12.0,19.0,28.0,4,,11.0,18.0,25.0,3,10,17.0,24.0,31,7.0,14.0,21.0,28,5.0,12,19.0,26,2.0,9.0,16.0,23.0,30,7,,14.0,21.0,28,4.0,11.0,18.0,25.0,semaine du 1er,8,15.0,22.0,29,6.0,13.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRADITIONNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.9189189189189189,,,,0.9189189189189189,,,,,0.9189189189189189,,,,,0.9189189189189189,,,,,0.918918918918919,,,,0.9189189189189189,,,,0.9189189189189189,,,,0.9189189189189189,,,,,0.918918918918919,0.918918918918919,,,,0.918918918918919,,,,,0.918918918918919,0.918918918918919,,,0.918918918918919,,,,,,,,,,,,0.9189189189189189,,,,0.9189189189189189,,,,,0.9189189189189189,,,,,0.9189189189189189,,,,,0.918918918918919,,,,0.9189189189189189,,,,0.9189189189189189,,,,0.9189189189189189,,,,,0.918918918918919,0.918918918918919,,,,0.918918918918919,,,,,0.918918918918919,0.918918918918919,,,0.918918918918919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATIO,,,TELEVISION,0,,,,0,,,,,0,,,,,174594.5945945946,,,,,220540.54054054056,,,,349189.1891891892,,,,261891.89189189186,,,,0,,,,,0,137837.83783783784,,,,41351.35135135135,,,,,0,174594.59459459462,,,0,,,,,1359999.9999999998,0.3816027314158284,,,,,,0,,,,0,,,,,0,,,,,136924.23,,,,,293535.64,,,,341346.77,,,,234883.64,,,,0,,,,,0,122147.64,,,,40671.89,,,,,0,173830.68,,,0,,,,,,,,1343340.4899999998,0.37692823544520393,-16659.51000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578892.76,0.41189330063297536,-98892.76000000001,-0.06263424755966328,,1435000,,,,,,
