Unnamed: 0,Unnamed: 1,Unnamed: 2,VERSION,BUDGET 2025 - V6,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,19,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,VERSION.1,BUDGET RÉEL 2025,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,19.1,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,,2.0,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-07-09 00:00:00,QUOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-13 00:00:00,QUOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,LIQUIDATION,,,,,RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIQUIDATION,,,,,RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CAMPAGNE,QUOTES         + FITNESS        + ABRIS,,,,SOLDE DES FÊTES,,,,"FITNESS
+QUOTES",,,,,"LIQUIDATION
+QUOTES
+RH",,,,,KICKOFF,,,,CORE 1,,,,CORE 2,,,,,LOCAL,,,,FESTIVAL,VENTE 1,,,,VENTE 2,,,,,SPA VIP,,,,QUOTES // FITNESS,,,,,,,,,,,,,,,,,,,,,19655.65,,CAMPAGNE,QUOTES         + FITNESS        + ABRIS,,,,SOLDE DES FÊTES,,,,"FITNESS
+QUOTES",,,,,"LIQUIDATION
+QUOTES
+RH",,,,,KICKOFF,,,,CORE 1,,,,CORE 2,,,,,LOCAL,,,,FESTIVAL,VENTE 1,,,,VENTE 2,,,,,SPA VIP,,,,QUOTES // FITNESS,,,,,,,,,,,,,,
,,,MEDIA,NOVEMBRE,,,,DECEMBRE,,,,JANVIER,,,,,FEVRIER,,,,,MARS,,,,AVRIL,,,,MAI,,,,,JUIN,,,,JUILLET,JUILLET,,,,AOUT,,,,,SEPTEMBRE,,,,OCTOBRE,,,,,TOTAL 2025,%,,TOTAL 2024,%,,,,,,,,,,,,,,MEDIA,NOVEMBRE,,,,DECEMBRE,,,,JANVIER,,,,,FEVRIER,,,,,MARS,,,,AVRIL,,,,MAI,,,,,JUIN,,,,JUILLET,JUILLET,,,,AOUT,,,,,SEPTEMBRE,,,,OCTOBRE,,,,,TOTAL 2025,%,,DIFFÉRENCE,%,,,,,
,,,Semaine débutant le lundi,4,11.0,18.0,25.0,2,9.0,16.0,23.0,30,6.0,13.0,20.0,27.0,3,,10.0,17.0,24.0,3,10,17.0,24.0,31,7.0,14.0,21.0,28,5.0,12.0,19.0,26.0,2,9.0,16.0,23.0,30,7,,14.0,21.0,28,4.0,11.0,18.0,25.0,1,8.0,15.0,22,29,6,13.0,20.0,,,,,,,,,,,,,,,,,,,,Semaine débutant le lundi,4,11.0,18.0,25.0,2,9.0,16.0,23.0,30,6.0,13.0,20.0,27.0,3,,10.0,17.0,24.0,3,10,17.0,24.0,31,7.0,14.0,21.0,28,5.0,12.0,19.0,26.0,2,9.0,16.0,23.0,30,7,,14.0,21.0,28,4.0,11.0,18.0,25.0,1,8.0,15.0,22,29,6.0,13.0,20.0,,,,,,,,,,,
,,,TRADITIONNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADITIONNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATIO,,,TELEVISION,0,,,,0,,,,0,,,,,0,,,,,275000,,,,275000,,,,180000,,,,,0,,,,0,150000,,,,0,,,,,140000,,,,0,,,,,1020000,0.3193524664116973,,1343340.499,0.3889644815771019,,,"NOTES ET PRINCIPAUX AJUSTEMENTS:                                                                                                                                                                                                                                                                                                                                      - Télé à 75% du réel 2024                                                                                                                                                                                                                                                                                        - Radio à 85% du réel 2024                                                                        -                                                                                                                                                                                                                                                                                              - On enlève la radio en mars on en ajoute en octobre                                                                                                                                                                                                                                                                                                                                                                                                                                - Ajout de radio numérique                                                                                                                                                   - Ajout d'émissions d'experts au 98,5 (2 fois dans la saison)                                                                                                                                             - Ajout de La Presse + (meubles, creusées, spas)                                                                                                                                                                                                                              - Ajout de contenu de marque (format à définir, magazine?)                                                                                                                                                                                                                               - Ajout de Pinterest                                                                                                                                                                                                                               - Retrait des campagnes performances Google et Facebook                                                                                                                                                                                                                               - Pas de contigence locale/commandite                                                                                                                                                                                                                              - Ajout de campagnes d'envois postaux premium ciblés                                                                                                                                                                                                                               - Ajouts de panneaux (affichage) numérique                                                                                                                                                                                                                          - Ajout de 15305,23$ dans le budget (Référence note de Crédit 4577)                                                                                                                                                                                                                                - Une semaine de hiatus en télé                                                                                                                                                                                                                                                                                                                                                                                                                                                   - Ajout d'un 12k pour le logo BRAND - MEUBLES                                                                                                                                                                                                                               - Retrait de s envois postaux. L'argent est réinvestit en radio                                                                                                                                                                                                                     - Musique à 40k                                                                                                                                                                                                                                - Ajustement de la radio au RÉEL selon le booking                                                                                                                                                                                    - 15k commandite pause famille le budget est pris dans Google et Facebook vers budget Véro                                     - Ajustement de la radio numérique (le tarif est au brut après négo)                                                                                                                                                                                        - On enlève un contenu de marque et on réinvesti dans la presse                                                    - On enlève 45k en bannières web premium pour l'envoyer sur la ligne LaPresse                                                                                                                             - Ajout d'une facture d'octobre dans le budget Flipp (RC458) au mois de novembre                                                                                                                    - On enlève 50k d'affichage prévu au mois de juin pour rebalancer le budget                                                          - Ajout de 20k dans le budget pour la campagne de réouverture de Pierrefonds (Marc)                                                        - Ajout de 6k dans le budget pour les magasins de Thetford et Victoriaville (Marc)                                                                         - Ajout de 3k dans le budget pour le déménagement de Rouyn (Marc)",,,,,,,,,,,TELEVISION,0,,,,0,,,,0,,,,,0,,,,,305634.15,,,,265083.72,,,,173708.26,,,,,0,,,,142483.37,,,,,11113.54,,,,,144175.34000000003,,,,,,,,,1042198.3800000001,0.31704032329037146,,22198.38000000012,0.006427544896457077,,,,,
,,,RADIO,4431.5,,,,0,,,,0,,,,,92077.84,,,,,0,,,,149831.51,,,,137984.92,,,,,135501.52,,,,90000,46914.01,,,,67904.64,,,,,0,,,,61131.1,,,,,785777.04,0.24601944683694407,,875729.99,0.2535677751213772,,,,,,,,,,,,,,RADIO,4411.5,,,,0,,,,0,,,,,88301.47,,,,,3653.8,,,,148859.52,,,,149745.42,,,,,145408.57,,,,162927.33,,,,,66588.53,,,,,5952,,,,60982.54,,,,,836830.68,0.2545667642723657,,51053.640000000014,0.014782590586680435,,,,,
,,,PANNEAUX ET AFFICHAGES NUMÉRIQUES,0,,,,0,,,,65000,,,,,20000,,,,,20000,,,,0,,,,60000,,,,,0,,,,0,0,,,,0,,,,,0,,,,0,,,,,165000,0.05165995780189221,,11155.65,0.0032301204513194657,,,,,,,,,,,,,,PANNEAUX ET AFFICHAGES NUMÉRIQUES,0,,,,0,,,,68408.03,,,,,3555,,,,,42641,,,,0,,,,31617,,,,,32379,,,,0,,,,,9153,,,,,0,,,,,,,,,187753.03,0.05711511596280432,,22753.03,0.006588143903088152,,,,,
,,,ENVOIS POSTAUX,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,,0,,,,0,0,,,,0,,,,,0,,,,0,,,,,0,0,,0,0,,,,,,,,,,,,,,ENVOIS POSTAUX,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,0,0,,0,0,,,,,
,,,TOTAL TRADITIONNEL,4431.5,,,,0,,,,65000,,,,,112077.84,,,,,295000,,,,424831.51,,,,377984.92000000004,,,,,135501.52,,,,90000,196914.01,,,,67904.64,,,,,140000,,,,61131.1,,,,,1970777.04,0.6170318710505336,,2230226.139,0.6457623771497986,,,,,,,,,,,,,,TOTAL TRADITIONNEL,4411.5,,,,0,,,,68408.03,,,,,91856.47,,,,,351928.95,,,,413943.24,,,,355070.68000000005,,,,,177787.57,,,,305410.69999999995,,,,,86855.07,,,,,150127.34000000003,,,,60982.54,,,,,2066782.0900000003,0.6287222035255415,,96005.05000000013,0.027798279386225665,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970777.04,0.532791751651744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066782.0900000003,0.544998105226524,,,,,,,,
,,,NUMÉRIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUMÉRIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIRCULAIRE DIGITALE,15950,,,,7350,,,,9150,,,,,16000,,,,,0,,,,40000,,,,40000,,,,,0,,,,0,40000,,,,0,,,,,0,,,,0,,,,,168450,0.052740120555931774,,150261.2,0.0435081573157821,,,,,,,,,,,,,,CIRCULAIRE DIGITALE,15950,,,,12350,,,,12350,,,,,16000,,,,,0,,,,38270.57,,,,30000,,,,,0,,,,48118.31,,,,,1881.69,,,,,0,,,,,,,,,174920.57,0.05321143759879578,,6470.570000000007,0.08262681076602735,,,,,
,,,RADIO NUMÉRIQUE,0,,,,0,,,,0,,,,,8500,,,,,0,,,,8500,,,,8500,,,,,8500,,,,0,0,,,,8500,,,,,0,,,,8500,,,,,51000,0.015967623320584864,,0,,,,,,,,,,,,,,,RADIO NUMÉRIQUE,0,,,,0,,,,0,,,,,8499.98,,,,,0,,,,9860,,,,8840,,,,,9350,,,,0,,,,,6799.99,,,,,0,,,,7650,,,,,50999.969999999994,0.015514365870151557,,-0.030000000006111804,,,,,,
,,,AUDIO ET PODCAST,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,,0,,,,0,0,,,,0,,,,,0,,,,0,,,,,0,0,,0,,,,,,,,,,,,,,,AUDIO ET PODCAST,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,0,0,,0,,,,,,
