year,month,month_num,piscines_hors_terre,piscines_creusees,spas,autres_produits,services,autre,total_main_quotes,total_all_quotes
2024,Janvier,1,126.0,126.0,14.0,45.0,20.0,286.0,266.0,617.0
2024,Février,2,240.0,229.0,26.0,74.0,33.0,184.0,495.0,786.0
2024,Mars,3,445.0,388.0,46.0,146.0,120.0,219.0,879.0,1364.0
2024,Avril,4,553.0,486.0,71.0,313.0,252.0,261.0,1110.0,1936.0
2024,Mai,5,805.0,324.0,55.0,304.0,309.0,478.0,1184.0,2275.0
2024,Juin,6,789.0,187.0,20.0,195.0,151.0,442.0,996.0,1784.0
2024,Juillet,7,605.0,190.0,25.0,121.0,69.0,254.0,820.0,1264.0
2024,Août,8,472.0,149.0,25.0,116.0,14.0,126.0,646.0,902.0
2024,Septembre,9,207.0,72.0,50.0,79.0,243.0,92.0,329.0,743.0
2024,Octobre,10,101.0,42.0,21.0,58.0,276.0,56.0,164.0,554.0
2024,Novembre,11,,,,,,,0.0,0.0
2024,Décembre,12,,,,,,,0.0,0.0
2025,Janvier,1,215.0,145.0,21.0,86.0,35.0,36.0,381.0,538.0
2025,Février,2,389.0,251.0,52.0,83.0,47.0,30.0,692.0,852.0
2025,Mars,3,815.0,279.0,83.0,42.0,162.0,68.0,1177.0,1449.0
2025,Avril,4,1011.0,380.0,94.0,0.0,266.0,105.0,1485.0,1856.0
2025,Mai,5,953.0,469.0,100.0,0.0,391.0,299.0,1522.0,2212.0
2025,Juin,6,1137.0,450.0,93.0,0.0,449.0,238.0,1680.0,2367.0
2025,Juillet,7,842.0,482.0,79.0,0.0,333.0,180.0,1403.0,1916.0
2025,Août,8,710.0,361.0,59.0,0.0,343.0,111.0,1130.0,1584.0
2025,Septembre,9,87.0,52.0,14.0,0.0,381.0,30.0,153.0,564.0
2025,Octobre,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Novembre,11,,,,,,,0.0,0.0
2025,Décembre,12,,,,,,,0.0,0.0
