Unnamed: 0,2025,Unnamed: 2,Unnamed: 3,Unnamed: 4,2024,Unnamed: 6,Unnamed: 7,Unnamed: 8,2023,Unnamed: 10
Date,,Semaine,Période,,Date,,Semaine,,Date,Semaine
2024-10-28,45593.0,1,1,,2023-10-30,45229.0,1,,2022-10-31,1
2024-10-29,45594.0,1,1,,2023-10-31,45230.0,1,,2022-11-01,1
2024-10-30,45595.0,1,1,,2023-11-01,45231.0,1,,2022-11-02,1
2024-10-31,45596.0,1,1,,2023-11-02,45232.0,1,,2022-11-03,1
2024-11-01,45597.0,1,1,,2023-11-03,45233.0,1,,2022-11-04,1
2024-11-02,45598.0,1,1,,2023-11-04,45234.0,1,,2022-11-05,1
2024-11-03,45599.0,1,1,,2023-11-05,45235.0,1,,2022-11-06,1
2024-11-04,45600.0,1,1,,2023-11-06,45236.0,2,,2022-11-07,2
2024-11-05,45601.0,1,1,,2023-11-07,45237.0,2,,2022-11-08,2
2024-11-06,45602.0,1,1,,2023-11-08,45238.0,2,,2022-11-09,2
2024-11-07,45603.0,1,1,,2023-11-09,45239.0,2,,2022-11-10,2
2024-11-08,45604.0,1,1,,2023-11-10,45240.0,2,,2022-11-11,2
2024-11-09,45605.0,1,1,,2023-11-11,45241.0,2,,2022-11-12,2
2024-11-10,45606.0,1,1,,2023-11-12,45242.0,2,,2022-11-13,2
2024-11-11,45607.0,2,1,,2023-11-13,45243.0,3,,2022-11-14,3
2024-11-12,45608.0,2,1,,2023-11-14,45244.0,3,,2022-11-15,3
2024-11-13,45609.0,2,1,,2023-11-15,45245.0,3,,2022-11-16,3
2024-11-14,45610.0,2,1,,2023-11-16,45246.0,3,,2022-11-17,3
2024-11-15,45611.0,2,1,,2023-11-17,45247.0,3,,2022-11-18,3
