Date,Année,Mois,Nom Mois,Jour de la semaine,Année fiscale,Trimestre,Semaine fiscale,Formule,Semaine débutant le,Ordre du mois fiscal,Ordre semaine,MoisFiscal,AnnéeNUM,Date début semaine
2021-11-01,2021,11,Novembre,lundi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-02,2021,11,Novembre,mardi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-03,2021,11,Novembre,mercredi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-04,2021,11,Novembre,jeudi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-05,2021,11,Novembre,vendredi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-06,2021,11,Novembre,samedi,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-07,2021,11,Novembre,dimanche,2022 fiscale,Trimestre 1,1,Semaine #1 du 1 novembre 2021 au 7 novembre 2021,Semaine #1 du 1 nov 2021 au 7 nov 2021,1,1,Novembre,2022,1 novembre 2021
2021-11-08,2021,11,Novembre,lundi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-09,2021,11,Novembre,mardi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-10,2021,11,Novembre,mercredi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-11,2021,11,Novembre,jeudi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-12,2021,11,Novembre,vendredi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-13,2021,11,Novembre,samedi,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-14,2021,11,Novembre,dimanche,2022 fiscale,Trimestre 1,2,Semaine #2 du 8 novembre 2021 au 14 novembre 2021,Semaine #2 du 8 nov 2021 au 14 nov 2021,1,2,Novembre,2022,8 novembre 2021
2021-11-15,2021,11,Novembre,lundi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-16,2021,11,Novembre,mardi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-17,2021,11,Novembre,mercredi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-18,2021,11,Novembre,jeudi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-19,2021,11,Novembre,vendredi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-20,2021,11,Novembre,samedi,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-21,2021,11,Novembre,dimanche,2022 fiscale,Trimestre 1,3,Semaine #3 du 15 novembre 2021 au 21 novembre 2021,Semaine #3 du 15 nov 2021 au 21 nov 2021,1,3,Novembre,2022,15 novembre 2021
2021-11-22,2021,11,Novembre,lundi,2022 fiscale,Trimestre 1,4,Semaine #4 du 22 novembre 2021 au 28 novembre 2021,Semaine #4 du 22 nov 2021 au 28 nov 2021,1,4,Novembre,2022,22 novembre 2021
2021-11-23,2021,11,Novembre,mardi,2022 fiscale,Trimestre 1,4,Semaine #4 du 22 novembre 2021 au 28 novembre 2021,Semaine #4 du 22 nov 2021 au 28 nov 2021,1,4,Novembre,2022,22 novembre 2021
2021-11-24,2021,11,Novembre,mercredi,2022 fiscale,Trimestre 1,4,Semaine #4 du 22 novembre 2021 au 28 novembre 2021,Semaine #4 du 22 nov 2021 au 28 nov 2021,1,4,Novembre,2022,22 novembre 2021
2021-11-25,2021,11,Novembre,jeudi,2022 fiscale,Trimestre 1,4,Semaine #4 du 22 novembre 2021 au 28 novembre 2021,Semaine #4 du 22 nov 2021 au 28 nov 2021,1,4,Novembre,2022,22 novembre 2021
