year,month_num,avg_temp_max,avg_temp_min,avg_temp_mean,total_precipitation,total_sunshine_hours,days_above_15,days_above_20,days_above_25,rain_days,heating_degree_days,cooling_degree_days,rolling_temp_7d_eom,month
2023,11,5.1,-2.32,1.28,55.4,165.85,0,0,0,9,501.5,0.0,-1.37,Novembre
2023,12,1.04,-5.24,-1.9,128.4,98.42,0,0,0,12,617.0,0.0,0.33,Décembre
2024,1,-2.78,-10.27,-6.35,77.9,125.93,0,0,0,11,754.7,0.0,-3.31,Janvier
2024,2,0.19,-10.22,-4.57,25.9,203.05,0,0,0,6,654.6,0.0,-2.6,Février
2024,3,6.42,-3.28,1.28,66.8,222.4,0,0,0,11,518.4,0.0,3.97,Mars
2024,4,11.98,1.46,6.66,135.5,232.08,0,0,0,15,340.2,0.0,7.31,Avril
2024,5,20.76,10.55,15.69,72.2,330.82,18,4,0,14,92.6,21.0,16.96,Mai
2024,6,24.76,14.85,19.94,154.2,300.92,29,15,3,15,17.1,75.3,19.4,Juin
2024,7,26.92,17.87,22.35,145.2,362.76,31,28,1,15,0.0,135.0,22.77,Juillet
2024,8,24.67,16.4,20.38,226.8,290.52,30,16,3,16,10.2,84.1,19.86,Août
2024,9,22.59,13.0,17.48,43.0,287.08,25,5,0,5,40.2,24.6,16.03,Septembre
2024,10,15.26,6.16,10.68,33.1,249.05,7,0,0,8,228.0,1.2,8.44,Octobre
2024,11,8.04,1.73,4.8,60.5,160.01,1,0,0,11,396.0,0.0,1.39,Novembre
2024,12,-2.25,-8.7,-5.21,91.5,115.14,0,0,0,14,719.4,0.0,-5.03,Décembre
2025,1,-5.8,-12.97,-9.44,51.7,130.21,0,0,0,14,850.7,0.0,-10.74,Janvier
2025,2,-5.41,-14.73,-9.97,81.4,164.94,0,0,0,12,783.2,0.0,-3.57,Février
2025,3,3.9,-6.12,-1.01,80.8,211.73,0,0,0,17,589.3,0.0,0.87,Mars
2025,4,11.21,0.65,5.91,87.5,249.96,1,0,0,12,362.8,0.0,10.43,Avril
2025,5,17.91,8.93,13.38,133.2,224.35,11,2,0,18,150.1,7.0,15.44,Mai
2025,6,25.04,15.35,20.28,86.1,340.41,27,14,2,9,19.5,87.9,22.33,Juin
2025,7,27.34,18.23,22.72,99.7,384.58,31,24,7,11,0.4,146.8,24.01,Juillet
2025,8,26.02,16.36,21.25,61.5,365.27,30,19,5,8,13.2,113.8,16.77,Août
2025,9,21.25,11.99,16.47,34.4,302.94,21,0,0,5,52.4,6.4,16.34,Septembre
2025,10,15.36,6.54,10.77,94.2,235.32,6,2,0,7,232.1,7.9,6.14,Octobre
