product,channel,total_spend,ridge_coef_std,ridge_coef_orig,marginal_per_1000,marginal_ci_lo,marginal_ci_hi,roas,total_contribution,contribution_pct,saturation_pct
Total Revenue,television,3948951.24,357026.86883929925,1059960.3377544095,4525.301704409562,1155.3114332632654,7246.775095651572,4.5253017044095625,14053535.198998107,2.742626270315655,36.82930047901441
Total Revenue,radio,2167276.6270270273,-976.2620064968154,-3084.256351083952,-28.273737513419324,-5768.187642631934,6615.830783320952,-0.028273737513419325,-49783.266495322365,-0.009715483867854842,44.836367550088696
Total Revenue,panneaux,292495.0237837838,-100167.2620624167,-230479.6085594007,-39393.613232167474,-139609.71222627626,68093.16519494663,-39.393613232167475,-3356425.0356677757,-0.6550251838287541,40.45218115012567
Total Revenue,social_media,827420.59939,121553.23121199169,697629.2307655225,17050.279856527744,-20419.180554426068,49294.71495726481,17.050279856527744,13033472.33402632,2.5435552770580636,51.89588999447788
Total Revenue,preroll,902393.3820270271,400323.4191690486,1277797.7679507253,28226.881265490745,14973.933650509332,39393.57631148707,28.226881265490746,20863982.30504175,4.071723247065116,45.35577370419122
Total Revenue,banniere_web,827607.2448243244,119843.30547761948,540708.8450215651,13438.82882211073,-10217.174479877562,35591.64504071643,13.43882882211073,9699395.829137258,1.892891534443121,49.82860265763431
Total Revenue,circulaire_digitale,446545.72162162163,-8252.568182171917,-24771.088794522213,-1320.5862771223335,-38359.129599510066,38293.86595126497,-1.3205862771223336,-417831.60268920235,-0.08154218236740861,46.85475678646795
Above-Ground Pools (HT),television,3948951.24,66739.34690045353,198139.31907168188,845.9186314510775,264.19726893658793,1354.6725723438365,0.8459186314510776,2627039.706767381,2.112264499348843,36.82930047901441
Above-Ground Pools (HT),radio,2167276.6270270273,14947.458143039394,47222.76643302022,432.8966048219317,-555.6380673376157,1370.065294178908,0.4328966048219317,762227.0325082387,0.6128666791992777,44.836367550088696
Above-Ground Pools (HT),panneaux,292495.0237837838,-2251.2473011601205,-5180.001789591425,-885.366771995834,-18705.105264450933,16973.147645497284,-0.885366771995834,-75435.2534701899,-0.06065352095516419,40.45218115012567
Above-Ground Pools (HT),social_media,827420.59939,18366.94004576685,105413.19328071235,2576.331906325306,-3860.3514062691606,9393.173612629516,2.576331906325306,1969384.133686494,1.5834782323429892,51.89588999447788
Above-Ground Pools (HT),preroll,902393.3820270271,76092.79939118592,242881.64160118965,5365.31791727831,3118.0160777443157,7533.866606461983,5.36531791727831,3965790.5184117723,3.188683635925408,45.35577370419122
Above-Ground Pools (HT),banniere_web,827607.2448243244,49379.74245238235,222791.44756964498,5537.279729166081,1080.0817989876628,9662.371035976892,5.537279729166081,3996499.1459281226,3.2133748286620154,49.82860265763431
Above-Ground Pools (HT),circulaire_digitale,446545.72162162163,-913.1665146786446,-2740.980543263551,-146.12604723671296,-6210.472301301405,5536.453392794216,-0.14612604723671296,-46234.071615979614,-0.037174386014498566,46.85475678646795
In-Ground Pools (CR),television,3948951.24,4688.3141062480145,13918.916018038375,59.42419931806602,-2.6378221338993724,122.33156745502984,0.05942419931806602,184544.6185333807,0.4034844285743537,36.82930047901441
In-Ground Pools (CR),radio,2167276.6270270273,863.3190329607165,2727.4411917098723,25.002771352190205,-100.76970705671484,148.79915907593391,0.025002771352190204,44023.88006739207,0.09625287496207632,44.836367550088696
In-Ground Pools (CR),panneaux,292495.0237837838,-2059.523484468086,-4738.855357984265,-809.9659501439328,-2671.190067309951,1060.6087616447617,-0.8099659501439328,-69010.93273875232,-0.1508840354314749,40.45218115012567
In-Ground Pools (CR),social_media,827420.59939,186.77843499996408,1071.9755833175932,26.19942354604793,-670.128844733445,747.9524507386599,0.026199423546047932,20027.20570150179,0.043787056553750675,51.89588999447788
In-Ground Pools (CR),preroll,902393.3820270271,6072.802090777419,19383.859612582568,428.1944431854797,111.76001398936042,731.2155320356283,0.4281944431854797,316501.1820367584,0.6919914522140875,45.35577370419122
In-Ground Pools (CR),banniere_web,827607.2448243244,3202.047963749671,14446.99517659808,359.06698579050925,-52.2948676127,810.4468680705319,0.3590669857905093,259154.48961052747,0.5666098636957442,49.82860265763431
In-Ground Pools (CR),circulaire_digitale,446545.72162162163,-1473.413234282717,-4422.629326018578,-235.77742767731982,-1125.1361623122618,668.0202804651914,-0.23577742767731982,-74599.6397138284,-0.16310306548625914,46.85475678646795
Spas (SP),television,3948951.24,206891.29807674038,614229.8782744476,2622.339172561245,964.370720288599,4022.5177225606776,2.622339172561245,8143796.430056906,6.040229669496023,36.82930047901441
Spas (SP),radio,2167276.6270270273,-57083.02060156031,-180339.56833082263,-1653.1938457310932,-5149.9712955863915,2442.484995483491,-1.6531938457310933,-2910877.6210218356,-2.158989302074835,44.836367550088696
Spas (SP),panneaux,292495.0237837838,-75963.73537961738,-174788.56499136798,-29874.89075373421,-86493.53385610135,25895.78773428721,-29.87489075373421,-2545408.3298404794,-1.8879218122569583,40.45218115012567
Spas (SP),social_media,827420.59939,70284.96255389297,403385.774873738,9858.876389385718,-7774.22581751665,25473.413109716854,9.858876389385717,7536262.967346502,5.589623901265959,51.89588999447788
Spas (SP),preroll,902393.3820270271,229521.91638978553,732614.1275157164,16183.634460382518,8252.83572136649,22500.933374079712,16.183634460382518,11962181.008834677,8.8723141917903,45.35577370419122
Spas (SP),banniere_web,827607.2448243244,15453.22626198558,69721.84295713999,1732.8732852996357,-12476.907756484685,16513.771773342556,1.7328732852996356,1250691.1233369508,0.927633898444877,49.82860265763431
Spas (SP),circulaire_digitale,446545.72162162163,-200467.98756079117,-601729.0873228055,-32079.137976347894,-53925.50430896107,-6455.97938123304,-32.079137976347894,-10149793.21362722,-7.528071536995936,46.85475678646795
Furniture & Gazebo (ME&GA),television,3948951.24,70085.66170320388,208074.0362544168,888.3330416875048,-56.91213654362556,1792.0449168242997,0.8883330416875047,2758759.633114291,1.4782567099528165,36.82930047901441
Furniture & Gazebo (ME&GA),radio,2167276.6270270273,11746.822875993781,37111.1574753885,340.2023067601177,-1296.653717144492,2143.381565849688,0.3402023067601177,599014.6188392666,0.3209766334950175,44.836367550088696
Furniture & Gazebo (ME&GA),panneaux,292495.0237837838,-6860.568260566771,-15785.807205204228,-2698.1128069692477,-31959.81669951923,26028.664802044615,-2.6981128069692475,-229885.31975971698,-0.12318199540669147,40.45218115012567
