year,month,month_num,piscines_hors_terre,piscines_creusees,spas,autres_produits,services,autre,total_main_quotes,total_all_quotes,date,spend_bannières_web___premium,spend_circulaire_digital,spend_circulaire_digitale,spend_contenu_de_marque,spend_google_ads,spend_google_shopping,"spend_lapresse_(lp+,_preroll,_display)",spend_panneaux,spend_panneaux_et_affichages_numériques,spend_preroll___premium,spend_radio,spend_radio_numérique,spend_social_media,spend_television,spend_total,avg_temp_max,avg_temp_min,avg_temp_mean,total_precipitation,total_sunshine_hours,days_above_15,days_above_20,days_above_25,rain_days,heating_degree_days,cooling_degree_days,rolling_temp_7d_eom,n_holidays,holiday_end_season,holiday_low,holiday_peak,holiday_pool_closing,holiday_pool_opening,holiday_spring_start
2024,Janvier,1,126.0,126.0,14.0,45.0,20.0,286.0,266.0,617.0,2024-01-01,11945.945945945943,14702.702702702702,0.0,0.0,36756.75675675675,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,25729.729729729726,0.0,96135.13513513512,-2.78,-10.27,-6.35,77.9,125.93,0,0,0,11,754.7,0.0,-3.31,1,0,1,0,0,0,0
2024,Février,2,240.0,229.0,26.0,74.0,33.0,184.0,495.0,786.0,2024-02-01,11945.945945945943,0.0,0.0,0.0,45945.94594594594,7000.0,0.0,0.0,0.0,13783.783783783783,0.0,0.0,27567.567567567567,174594.5945945946,280837.8378378378,0.19,-10.22,-4.57,25.9,203.05,0,0,0,6,654.6,0.0,-2.6,0,0,0,0,0,0,0
2024,Mars,3,445.0,388.0,46.0,146.0,120.0,219.0,879.0,1364.0,2024-03-01,13783.783783783783,0.0,0.0,0.0,45945.94594594595,9740.540540540542,0.0,0.0,0.0,18378.37837837838,66838.70702702703,0.0,27567.56756756757,220540.54054054056,402795.46378378384,6.42,-3.28,1.28,66.8,222.4,0,0,0,11,518.4,0.0,3.97,1,0,0,0,0,0,1
2024,Avril,4,553.0,486.0,71.0,313.0,252.0,261.0,1110.0,1936.0,2024-04-01,18378.378378378377,39972.97297297297,0.0,0.0,59729.72972972973,19481.08108108108,0.0,0.0,0.0,32162.16216216216,153026.64864864864,0.0,36756.75675675675,349189.1891891892,708696.9189189188,11.98,1.46,6.66,135.5,232.08,0,0,0,15,340.2,0.0,7.31,0,0,0,0,0,0,0
2024,Mai,5,805.0,324.0,55.0,304.0,309.0,478.0,1184.0,2275.0,2024-05-01,18378.378378378377,39972.97297297297,0.0,0.0,59729.72972972973,19481.08108108108,0.0,13783.783783783783,0.0,32162.16216216216,129940.64864864864,0.0,41351.351351351346,261891.89189189184,616691.9999999999,20.76,10.55,15.69,72.2,330.82,18,4,0,14,92.6,21.0,16.96,1,0,0,0,0,1,0
2024,Juin,6,789.0,187.0,20.0,195.0,151.0,442.0,996.0,1784.0,2024-06-01,13783.783783783783,0.0,0.0,0.0,45945.94594594594,13600.0,0.0,0.0,0.0,0.0,155756.75675675675,0.0,32162.16216216216,0.0,261248.6486486486,24.76,14.85,19.94,154.2,300.92,29,15,3,15,17.1,75.3,19.4,1,0,0,1,0,0,0
2024,Juillet,7,605.0,190.0,25.0,121.0,69.0,254.0,820.0,1264.0,2024-07-01,4594.594594594595,0.0,0.0,0.0,6432.4324324324325,0.0,0.0,0.0,0.0,0.0,93729.72972972972,0.0,4594.594594594595,0.0,109351.35135135135,26.92,17.87,22.35,145.2,362.76,31,28,1,15,0.0,135.0,22.77,1,0,0,1,0,0,0
2024,Août,8,472.0,149.0,25.0,116.0,14.0,126.0,646.0,902.0,2024-08-01,9189.18918918919,0.0,0.0,0.0,36756.75675675676,7810.810810810811,0.0,0.0,0.0,0.0,63313.51351351352,0.0,22972.972972972973,41351.35135135135,181394.59459459462,24.67,16.4,20.38,226.8,290.52,30,16,3,16,10.2,84.1,19.86,0,0,0,0,0,0,0
2024,Septembre,9,207.0,72.0,50.0,79.0,243.0,92.0,329.0,743.0,2024-09-01,4594.594594594595,0.0,0.0,0.0,1837.837837837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4594.594594594595,0.0,11027.027027027028,22.59,13.0,17.48,43.0,287.08,25,5,0,5,40.2,24.6,16.03,1,0,0,0,1,0,0
2024,Octobre,10,101.0,42.0,21.0,58.0,276.0,56.0,164.0,554.0,2024-10-01,0.0,0.0,0.0,0.0,36756.75675675676,5881.081081081082,0.0,0.0,0.0,0.0,0.0,0.0,22972.972972972973,0.0,65610.81081081081,15.26,6.16,10.68,33.1,249.05,7,0,0,8,228.0,1.2,8.44,1,1,0,0,0,0,0
2025,Janvier,1,215.0,145.0,21.0,86.0,35.0,36.0,381.0,538.0,2025-01-01,15000.0,0.0,9150.0,0.0,20000.0,0.0,0.0,0.0,65000.0,0.0,0.0,0.0,25000.0,0.0,134150.0,-5.8,-12.97,-9.44,51.7,130.21,0,0,0,14,850.7,0.0,-10.74,1,0,1,0,0,0,0
2025,Février,2,389.0,251.0,52.0,83.0,47.0,30.0,692.0,852.0,2025-02-01,15000.0,0.0,16000.0,0.0,20000.0,0.0,0.0,0.0,20000.0,0.0,92077.84,8500.0,20000.0,0.0,191577.84,-5.41,-14.73,-9.97,81.4,164.94,0,0,0,12,783.2,0.0,-3.57,0,0,0,0,0,0,0
2025,Mars,3,815.0,279.0,83.0,42.0,162.0,68.0,1177.0,1449.0,2025-03-01,10000.0,0.0,0.0,0.0,25000.0,0.0,16896.0,0.0,20000.0,40000.0,0.0,0.0,15000.0,275000.0,401896.0,3.9,-6.12,-1.01,80.8,211.73,0,0,0,17,589.3,0.0,0.87,0,0,0,0,0,0,0
2025,Avril,4,1011.0,380.0,94.0,0.0,266.0,105.0,1485.0,1856.0,2025-04-01,10000.0,0.0,40000.0,23000.0,20000.0,0.0,26232.0,0.0,0.0,40000.0,149831.51,8500.0,25000.0,275000.0,617563.51,11.21,0.65,5.91,87.5,249.96,1,0,0,12,362.8,0.0,10.43,1,0,0,0,0,0,1
2025,Mai,5,953.0,469.0,100.0,0.0,391.0,299.0,1522.0,2212.0,2025-05-01,10000.0,0.0,40000.0,0.0,25000.0,0.0,25362.0,0.0,60000.0,40000.0,137984.92,8500.0,20000.0,180000.0,546846.92,17.91,8.93,13.38,133.2,224.35,11,2,0,18,150.1,7.0,15.44,1,0,0,0,0,1,0
