year,month_num,piscines_hors_terre_units,piscines_hors_terre_revenue,piscines_creusees_units,piscines_creusees_revenue,spas_units,spas_revenue,meubles_gazebo_revenue,fitness_revenue,bbq_revenue,total_all_revenue,total_units,calendar_year,date,month,fiscal_month_pos,spend_banniere_web,spend_circulaire_digitale,spend_panneaux,spend_preroll,spend_radio,spend_social_media,spend_television,spend_total
2023,11,118,580442,12,348768,134.0,1442912,722398.0,334203.0,25502.0,3454225.0,264.0,2022,2022-11-01,Novembre,1,27605.96,0.0,0.0,7812.98,0.0,22789.55,0.0,58208.490000000005
2023,12,66,324654,6,174384,62.0,667616,315901.0,308733.0,31236.0,1822524.0,134.0,2022,2022-12-01,Décembre,2,16412.025,10883.37,0.0,8206.0125,0.0,13137.25,0.0,48638.6575
2023,1,308,1515052,18,523152,118.0,1270624,748026.0,752187.0,43504.0,4852545.0,444.0,2023,2023-01-01,Janvier,3,23380.415,5005.95,0.0,7737.3675,35741.3,15549.96,0.0,87414.9925
2023,2,575,2828425,27,784728,209.0,2250512,2377433.0,357866.0,58909.0,8657873.0,811.0,2023,2023-02-01,Février,4,44429.92,10011.9,0.0,30663.945,75676.92,8259.939999999999,147871.54,316914.16500000004
2023,3,954,4692726,48,1395072,412.0,4436416,5217697.0,249601.0,213801.0,16205313.0,1414.0,2023,2023-03-01,Mars,5,35894.479999999996,0.0,0.0,29629.56,0.0,15453.88,184066.00000000003,265043.92000000004
2023,4,2144,10546336,42,1220688,532.0,5728576,12170064.0,193512.0,704496.0,30563672.0,2718.0,2023,2023-04-01,Avril,6,73154.68,23895.41,0.0,56089.285,125868.33,49061.37,368584.43999999994,696653.5149999999
2023,5,1723,8475437,62,1801968,787.0,8474416,16149830.0,137389.0,1268306.0,36307346.0,2572.0,2023,2023-05-01,Mai,7,64360.095,26945.78,22921.62,49499.432499999995,115048.13,38440.17,443459.53,760674.7575000001
2023,6,596,2931724,38,1104432,415.0,4468720,7579948.0,112463.0,566550.0,16763837.0,1049.0,2023,2023-06-01,Juin,8,27695.27,21406.95,4089.83,9762.37,142555.71,27699.620000000003,79674.52,312884.27
2023,7,940,4623860,55,1598520,565.0,6083920,11115925.0,165922.0,498741.0,24086888.0,1560.0,2023,2023-07-01,Juillet,9,31659.345,19138.68,78150.45,38395.3675,99568.13999999998,31835.1874875,173507.95,472255.1199875
2023,8,348,1711812,30,871920,376.0,4048768,4993633.0,159663.0,174231.0,11960027.0,754.0,2023,2023-08-01,Août,10,21408.61,18836.06,8549.34,6094.805,87924.0,17594.93,0.0,160407.745
2023,9,390,1918410,28,813792,379.0,4081072,3399893.0,146048.0,123792.0,10483007.0,797.0,2023,2023-09-01,Septembre,11,35494.130000000005,0.0,0.0,37864.31,0.0,17971.3519025,106728.78,198058.5719025
2023,10,262,1288778,30,871920,336.0,3618048,2179321.0,423807.0,91898.0,8473772.0,628.0,2023,2023-10-01,Octobre,12,21004.46,0.0,0.0,10600.34,1308.35,27268.84,65058.48,125240.47
2024,11,137,724182,8,262040,101.0,1124635,556163.0,348280.0,41013.0,3056313.0,246.0,2023,2023-11-01,Novembre,1,20094.1785,7350.0,0.0,8265.0,0.0,7983.55,0.0,43692.728500000005
2024,12,86,454596,9,294795,66.0,734910,249696.0,248349.0,45902.0,2028248.0,161.0,2023,2023-12-01,Décembre,2,47094.594594594586,0.0,0.0,0.0,0.0,9189.189189189188,0.0,56283.78378378377
2024,1,270,1427220,19,622345,113.0,1258255,757272.0,461570.0,20529.0,4547191.0,402.0,2024,2024-01-01,Janvier,3,72594.59459459459,14702.702702702702,0.0,0.0,0.0,25729.729729729726,0.0,113027.02702702701
2024,2,454,2399844,31,1015405,218.0,2427430,1885383.0,241866.0,77172.0,8047100.0,703.0,2024,2024-02-01,Février,4,80864.86486486485,0.0,0.0,25270.270270270263,0.0,27567.567567567567,174594.5945945946,308297.2972972973
