year,month_num,piscines_hors_terre_units,piscines_hors_terre_revenue,piscines_creusees_units,piscines_creusees_revenue,spas_units,spas_revenue,meubles_gazebo_revenue,fitness_revenue,bbq_revenue,total_all_revenue,total_units,calendar_year,date,month,spend_banniere_web,spend_circulaire_digitale,spend_panneaux,spend_preroll,spend_radio,spend_social_media,spend_television,spend_total,avg_temp_max,avg_temp_min,avg_temp_mean,total_precipitation,total_sunshine_hours,days_above_15,days_above_20,days_above_25,rain_days,heating_degree_days,cooling_degree_days,rolling_temp_7d_eom,n_holidays,holiday_end_season,holiday_low,holiday_peak,holiday_pool_closing,holiday_pool_opening,holiday_spring_start
2023,11,118,580442,12,348768,134.0,1442912,722398.0,334203.0,25502.0,3454225.0,264.0,2022,2022-11-01,Novembre,16667.788,0.0,0.0,7812.98,0.0,22789.55,0.0,47270.318,7.69,0.01,4.04,102.4,157.36,2,0,0,11,418.8,0.0,1.04,0,0,0,0,0,0,0
2023,12,66,324654,6,174384,62.0,667616,315901.0,308733.0,31236.0,1822524.0,134.0,2022,2022-12-01,Décembre,4923.6075,10883.369999999999,0.0,8206.0125,0.0,13137.25,0.0,37150.24,1.25,-5.49,-2.0,113.2,126.03,0,0,0,13,619.9,0.0,-2.0,2,0,1,0,0,0,0
2023,1,308,1515052,18,523152,118.0,1270624,748026.0,752187.0,43504.0,4852545.0,444.0,2023,2023-01-01,Janvier,12548.1005,5005.95,0.0,7737.3675,35741.3,15549.960000000001,0.0,76582.67800000001,-1.99,-9.69,-5.25,109.6,101.47,0,0,0,14,720.8,0.0,-8.9,2,0,1,0,0,0,0
2023,2,575,2828425,27,784728,209.0,2250512,2377433.0,357866.0,58909.0,8657873.0,811.0,2023,2023-02-01,Février,22496.854999999996,10011.900000000001,0.0,30663.945,75676.92,8259.939999999999,147871.54,294981.1,-2.53,-13.15,-7.31,76.8,155.23,0,0,0,12,708.6,0.0,-11.27,0,0,0,0,0,0,0
2023,3,954,4692726,48,1395072,412.0,4436416,5217697.0,249601.0,213801.0,16205313.0,1414.0,2023,2023-03-01,Mars,20535.233999999997,0.0,0.0,29629.56,0.0,15453.880000000001,184066.00000000003,249684.67400000003,3.08,-5.08,-0.91,64.0,191.39,0,0,0,10,586.2,0.0,0.44,0,0,0,0,0,0,0
2023,4,2144,10546336,42,1220688,532.0,5728576,12170064.0,193512.0,704496.0,30563672.0,2718.0,2023,2023-04-01,Avril,43637.171,23895.41,0.0,56089.285,125868.33,49061.37,368584.43999999994,667136.0059999999,12.86,1.53,6.94,116.1,233.76,0,0,0,10,331.9,0.0,8.03,1,0,0,0,0,0,1
2023,5,1723,8475437,62,1801968,787.0,8474416,16149830.0,137389.0,1268306.0,36307346.0,2572.0,2023,2023-05-01,Mai,41801.6675,26945.78,22921.62,49499.432499999995,115048.13,38440.17,443459.53,738116.3300000001,19.29,6.8,13.18,87.9,335.85,10,2,0,9,157.8,8.5,17.49,1,0,0,0,0,1,0
2023,6,596,2931724,38,1104432,415.0,4468720,7579948.0,112463.0,566550.0,16763837.0,1049.0,2023,2023-06-01,Juin,14027.952000000001,21406.95,4089.83,9762.37,142555.71,27699.620000000003,79674.52,299216.952,23.68,13.77,18.72,125.0,299.16,26,12,0,13,35.2,56.8,21.97,1,0,0,1,0,0,0
2023,7,940,4623860,55,1598520,565.0,6083920,11115925.0,165922.0,498741.0,24086888.0,1560.0,2023,2023-07-01,Juillet,18089.470500000003,19138.68,78150.45,38395.3675,99568.13999999998,31835.1874875,173507.95,458685.2454875,26.55,18.2,22.11,152.2,334.21,31,28,2,17,0.9,128.4,20.67,1,0,0,1,0,0,0
2023,8,348,1711812,30,871920,376.0,4048768,4993633.0,159663.0,174231.0,11960027.0,754.0,2023,2023-08-01,Août,12875.883,18836.06,8549.34,6094.805,87924.0,17594.93,0.0,151875.01799999998,23.91,15.01,19.29,171.7,312.19,31,9,0,18,5.2,45.3,18.33,0,0,0,0,0,0,0
2023,9,390,1918410,28,813792,379.0,4081072,3399893.0,146048.0,123792.0,10483007.0,797.0,2023,2023-09-01,Septembre,22853.362000000005,0.0,0.0,37864.31,0.0,17971.3519025,106728.78,185417.80390250002,22.61,13.29,17.64,84.2,288.02,21,6,2,5,50.1,39.3,14.5,1,0,0,0,1,0,0
2023,10,262,1288778,30,871920,336.0,3618048,2179321.0,423807.0,91898.0,8473772.0,628.0,2023,2023-10-01,Octobre,6301.338,0.0,0.0,10600.34,1308.35,27268.84,65058.48,110537.348,15.98,8.69,12.21,160.3,180.62,9,3,0,11,189.4,9.8,10.13,1,1,0,0,0,0,0
2024,11,137,724182,8,262040,101.0,1124635,556163.0,348280.0,41013.0,3056313.0,246.0,2023,2023-11-01,Novembre,4262.4015,7350.0,0.0,8265.0,0.0,7983.55,0.0,27860.9515,5.1,-2.32,1.28,55.4,165.85,0,0,0,9,501.5,0.0,-1.37,0,0,0,0,0,0,0
2024,12,86,454596,9,294795,66.0,734910,249696.0,248349.0,45902.0,2028248.0,161.0,2023,2023-12-01,Décembre,17229.729729729726,0.0,0.0,0.0,0.0,9189.189189189188,0.0,26418.918918918913,1.04,-5.24,-1.9,128.4,98.42,0,0,0,12,617.0,0.0,0.33,1,0,1,0,0,0,0
2024,1,270,1427220,19,622345,113.0,1258255,757272.0,461570.0,20529.0,4547191.0,402.0,2024,2024-01-01,Janvier,24810.810810810806,14702.702702702702,0.0,0.0,0.0,25729.729729729726,0.0,65243.24324324323,-2.78,-10.27,-6.35,77.9,125.93,0,0,0,11,754.7,0.0,-3.31,1,0,1,0,0,0,0
2024,2,454,2399844,31,1015405,218.0,2427430,1885383.0,241866.0,77172.0,8047100.0,703.0,2024,2024-02-01,Février,23432.43243243243,0.0,0.0,25270.270270270266,0.0,27567.567567567567,174594.5945945946,250864.86486486485,0.19,-10.22,-4.57,25.9,203.05,0,0,0,6,654.6,0.0,-2.6,0,0,0,0,0,0,0
2024,3,690,3647340,34,1113670,357.0,3975195,4583123.0,146431.0,217712.0,13683471.0,1081.0,2024,2024-03-01,Mars,25270.270270270274,0.0,0.0,29864.864864864867,66838.70702702703,27567.56756756757,220540.54054054056,370081.95027027035,6.42,-3.28,1.28,66.8,222.4,0,0,0,11,518.4,0.0,3.97,1,0,0,0,0,0,1
2024,4,1156,6110616,91,2980705,617.0,6870295,13725656.0,140286.0,831200.0,30658758.0,1864.0,2024,2024-04-01,Avril,33310.810810810806,39972.97297297297,0.0,47094.59459459459,153026.64864864864,36756.75675675675,349189.1891891892,659350.9729729729,11.98,1.46,6.66,135.5,232.08,0,0,0,15,340.2,0.0,7.31,0,0,0,0,0,0,0
2024,5,1186,6269196,71,2325605,489.0,5445015,12422359.0,93230.0,989916.0,27545321.0,1746.0,2024,2024-05-01,Mai,33310.810810810806,39972.97297297297,13783.783783783783,47094.59459459459,129940.64864864864,41351.351351351346,261891.89189189186,567346.054054054,20.76,10.55,15.69,72.2,330.82,18,4,0,14,92.6,21.0,16.96,1,0,0,0,0,1,0
2024,6,800,4228800,41,1342955,444.0,4943940,8089771.0,124174.0,779942.0,19509582.0,1285.0,2024,2024-06-01,Juin,29864.86486486486,0.0,0.0,0.0,155756.75675675675,32162.16216216216,0.0,217783.78378378376,24.76,14.85,19.94,154.2,300.92,29,15,3,15,17.1,75.3,19.4,1,0,0,1,0,0,0
2024,7,865,4572390,59,1932545,593.0,6603055,9316565.0,108587.0,772051.0,23305193.0,1517.0,2024,2024-07-01,Juillet,25270.270270270274,39972.97297297297,0.0,39054.05405405405,55870.27027027027,36756.75675675676,137837.83783783784,334762.16216216213,26.92,17.87,22.35,145.2,362.76,31,28,1,15,0.0,135.0,22.77,1,0,0,1,0,0,0
2024,8,492,2600712,52,1703260,303.0,3373905,3670985.0,108400.0,258964.0,11716226.0,847.0,2024,2024-08-01,Août,18378.37837837838,0.0,0.0,9189.18918918919,63313.51351351352,22972.972972972973,41351.35135135135,155205.4054054054,24.67,16.4,20.38,226.8,290.52,30,16,3,16,10.2,84.1,19.86,0,0,0,0,0,0,0
2024,9,540,2854440,57,1867035,481.0,5355935,3109480.0,228930.0,195360.0,13611180.0,1078.0,2024,2024-09-01,Septembre,16081.081081081084,0.0,0.0,34459.45945945946,112062.16216216217,22972.972972972973,174594.59459459462,360170.2702702703,22.59,13.0,17.48,43.0,287.08,25,5,0,5,40.2,24.6,16.03,1,0,0,0,1,0,0
2024,10,237,1252782,14,458570,258.0,2872830,1335998.0,244997.0,110740.0,6275917.0,509.0,2024,2024-10-01,Octobre,12864.864864864865,0.0,0.0,0.0,0.0,22972.972972972973,0.0,35837.83783783784,15.26,6.16,10.68,33.1,249.05,7,0,0,8,228.0,1.2,8.44,1,1,0,0,0,0,0
2025,11,194,1115500,25,866925,173.0,2028598,627635.2,204476.52,64559.090000000004,4907693.81,392.0,2024,2024-11-01,Novembre,7423.55,15950.0,0.0,0.0,4431.5,18375.0,0.0,46180.05,8.04,1.73,4.8,60.5,160.01,1,0,0,11,396.0,0.0,1.39,0,0,0,0,0,0,0
2025,12,138,793500,16,554832,70.0,820820,403483.07,246121.36000000002,44182.04,2862938.4699999997,224.0,2024,2024-12-01,Décembre,16104.6,7350.0,0.0,0.0,0.0,15000.0,0.0,38454.6,-2.25,-8.7,-5.21,91.5,115.14,0,0,0,14,719.4,0.0,-5.03,1,0,1,0,0,0,0
2025,1,181,1040750,27,936279,106.0,1242956,438807.16,295548.85,27562.2,3981903.2100000004,314.0,2025,2025-01-01,Janvier,20818.23,9150.0,65000.0,0.0,0.0,25000.0,0.0,119968.23,-5.8,-12.97,-9.44,51.7,130.21,0,0,0,14,850.7,0.0,-10.74,1,0,1,0,0,0,0
2025,2,419,2409250,34,1179018,151.0,1770626,1220604.05,262939.29,49740.39,6892177.7299999995,604.0,2025,2025-02-01,Février,29313.45,16000.0,20000.0,0.0,100577.84,20000.0,0.0,185891.28999999998,-5.41,-14.73,-9.97,81.4,164.94,0,0,0,12,783.2,0.0,-3.57,0,0,0,0,0,0,0
2025,3,1461,8400750,62,2149974,406.0,4760756,5970812.58,252647.08,458171.24,21993110.899999995,1929.0,2025,2025-03-01,Mars,38423.01,0.0,20000.0,54983.729999999996,0.0,15000.0,275000.0,403406.74,3.9,-6.12,-1.01,80.8,211.73,0,0,0,17,589.3,0.0,0.87,0,0,0,0,0,0,0
2025,4,1200,6900000,47,1629819,429.0,5030454,10944569.290000001,101646.43000000001,864550.86,25471039.58,1676.0,2025,2025-04-01,Avril,70547.26,40000.0,0.0,54501.31,158331.51,25000.0,275000.0,623380.0800000001,11.21,0.65,5.91,87.5,249.96,1,0,0,12,362.8,0.0,10.43,1,0,0,0,0,0,1
2025,5,949,5456750,47,1629819,464.0,5440864,11745004.32,153426.19,939261.48,25365124.990000002,1460.0,2025,2025-05-01,Mai,47477.01,40000.0,60000.0,56217.79,146484.92,20000.0,180000.0,550179.72,17.91,8.93,13.38,133.2,224.35,11,2,0,18,150.1,7.0,15.44,1,0,0,0,0,1,0
2025,6,1156,6647000,60,2080620,540.0,6332040,11114256.81,108286.8,946276.05,27228479.660000004,1756.0,2025,2025-06-01,Juin,38064.0,0.0,0.0,45444.62,144001.52,20000.0,0.0,247510.13999999998,25.04,15.35,20.28,86.1,340.41,27,14,2,9,19.5,87.9,22.33,1,0,0,1,0,0,0
2025,7,815,4686250,55,1907235,357.0,4186182,7205053.28,105056.52,475814.14,18565590.94,1227.0,2025,2025-07-01,Juillet,13133.64,40000.0,0.0,51438.63,46914.01,20000.0,150000.0,321486.28,27.34,18.23,22.72,99.7,384.58,31,24,7,11,0.4,146.8,24.01,1,0,0,1,0,0,0
