year,month,month_num,piscines_hors_terre,piscines_creusees,spas,autres_produits,services,autre,total_main_quotes,total_all_quotes
2022,Janvier,1,1012.0,351.0,56.0,68.0,60.0,,1419.0,1547.0
2022,Février,2,1325.0,519.0,48.0,74.0,61.0,,1892.0,2027.0
2022,Mars,3,1731.0,679.0,75.0,139.0,96.0,,2485.0,2720.0
2022,Avril,4,1883.0,899.0,90.0,196.0,214.0,,2872.0,3282.0
2022,Mai,5,2812.0,787.0,103.0,326.0,326.0,,3702.0,4354.0
2022,Juin,6,1228.0,436.0,99.0,182.0,182.0,,1763.0,2127.0
2022,Juillet,7,1932.0,718.0,124.0,119.0,120.0,,2774.0,3013.0
2022,Août,8,1172.0,534.0,106.0,62.0,107.0,,1812.0,1981.0
2022,Septembre,9,408.0,200.0,82.0,86.0,349.0,,690.0,1125.0
2022,Octobre,10,247.0,137.0,65.0,37.0,215.0,,449.0,701.0
2022,Novembre,11,257.0,117.0,48.0,37.0,62.0,,422.0,521.0
2022,Décembre,12,236.0,70.0,27.0,24.0,17.0,,333.0,374.0
2023,Janvier,1,788.0,173.0,56.0,33.0,26.0,0.0,1017.0,1076.0
2023,Février,2,505.0,147.0,48.0,98.0,21.0,148.0,700.0,967.0
2023,Mars,3,639.0,274.0,75.0,157.0,31.0,188.0,988.0,1364.0
2023,Avril,4,1172.0,583.0,90.0,342.0,88.0,275.0,1845.0,2550.0
2023,Mai,5,991.0,401.0,103.0,379.0,332.0,494.0,1495.0,2700.0
2023,Juin,6,604.0,403.0,99.0,191.0,172.0,1147.0,1106.0,2616.0
2023,Juillet,7,780.0,588.0,124.0,142.0,120.0,987.0,1492.0,2741.0
2023,Août,8,299.0,380.0,106.0,127.0,169.0,806.0,785.0,1887.0
2023,Septembre,9,264.0,205.0,82.0,104.0,206.0,715.0,551.0,1576.0
2023,Octobre,10,98.0,112.0,65.0,72.0,226.0,459.0,275.0,1032.0
2023,Novembre,11,88.0,61.0,48.0,34.0,52.0,401.0,197.0,684.0
2023,Décembre,12,91.0,56.0,27.0,27.0,17.0,355.0,174.0,573.0
2024,Janvier,1,126.0,145.0,42.0,86.0,35.0,36.0,313.0,470.0
2024,Février,2,240.0,251.0,56.0,83.0,47.0,30.0,547.0,707.0
2024,Mars,3,445.0,279.0,64.0,42.0,162.0,68.0,788.0,1060.0
2024,Avril,4,553.0,380.0,92.0,0.0,266.0,105.0,1025.0,1396.0
2024,Mai,5,805.0,469.0,102.0,0.0,391.0,299.0,1376.0,2066.0
2024,Juin,6,789.0,450.0,61.0,0.0,449.0,238.0,1300.0,1987.0
2024,Juillet,7,605.0,482.0,84.0,0.0,333.0,180.0,1171.0,1684.0
2024,Août,8,472.0,361.0,63.0,0.0,343.0,111.0,896.0,1350.0
2024,Septembre,9,207.0,52.0,53.0,0.0,381.0,30.0,312.0,723.0
2024,Octobre,10,101.0,0.0,39.0,0.0,0.0,0.0,140.0,140.0
2024,Novembre,11,,,19.0,,,,19.0,19.0
2024,Décembre,12,,,12.0,,,,12.0,12.0
2025,Janvier,1,215.0,,21.0,,,,236.0,236.0
2025,Février,2,389.0,,52.0,,,,441.0,441.0
2025,Mars,3,815.0,,83.0,,,,898.0,898.0
2025,Avril,4,1011.0,,94.0,,,,1105.0,1105.0
2025,Mai,5,953.0,,100.0,,,,1053.0,1053.0
2025,Juin,6,1137.0,,93.0,,,,1230.0,1230.0
2025,Juillet,7,842.0,,79.0,,,,921.0,921.0
2025,Août,8,710.0,,59.0,,,,769.0,769.0
2025,Septembre,9,87.0,,14.0,,,,101.0,101.0
2025,Octobre,10,0.0,,0.0,,,,0.0,0.0
2025,Novembre,11,,,,,,,0.0,0.0
2025,Décembre,12,,,,,,,0.0,0.0
