store_code,city,division_code,Naive_wMAPE,Naive_RMSE,MA_wMAPE,MA_RMSE,XGB_wMAPE,XGB_RMSE,best_model,best_wMAPE
CP02,Blainville,PC,0.0102,0.5,15.1293,741.34,0.7017,34.84,Naive,0.0102
CP04,Drummondville,PC,0.7935,36.5,13.6981,630.11,0.3147,28.28,XGBoost,0.3147
CP05,Sherbrooke,PC,1.271,151.25,11.479,1366.0,0.3824,113.42,XGBoost,0.3824
CP06,Granby,PC,1.1587,60.25,18.8615,980.8,0.4764,53.99,XGBoost,0.4764
CP07,Laval,PC,1.4573,59.75,30.8253,1263.84,0.7651,62.62,XGBoost,0.7651
CP08,Longueuil,PC,0.7432,27.5,20.0263,740.97,0.7335,59.19,XGBoost,0.7335
CP10,Saint-Jérôme,PC,0.7885,71.75,8.2383,749.69,0.3716,42.88,XGBoost,0.3716
CP15,Repentigny,PC,0.25,13.0,14.3659,747.02,0.2887,20.68,Naive,0.25
CP16,Chicoutimi,PC,1.0739,47.25,16.6554,732.84,0.3814,27.86,XGBoost,0.3814
CP17,Trois-Rivières,PC,1.8365,47.75,29.7683,773.98,0.5442,39.63,XGBoost,0.5442
CP202,Nepean,PC,1.0364,57.0,12.4795,686.38,0.4695,43.12,XGBoost,0.4695
CP28,Pointe-aux-Trembles,PC,0.1034,3.0,23.7116,687.64,1.8085,46.61,Naive,0.1034
CP32,St-Hyacinthe,PC,2.131,44.75,35.7155,750.02,0.665,37.47,XGBoost,0.665
CP35,Saint-Jean-sur-Richelieu,PC,1.1652,65.25,19.3696,1084.7,0.3455,56.67,XGBoost,0.3455
CP36,Saint-Eustache,PC,0.9091,30.0,29.3492,968.52,0.5244,37.96,XGBoost,0.5244
CP37,Gatineau,PC,0.6123,72.25,10.0663,1187.82,0.2157,50.9,XGBoost,0.2157
CP48,Beloeil,PC,0.6,18.0,24.4236,732.71,0.5472,32.44,XGBoost,0.5472
