Fin de semaine,FiscalYear,FiscalQuarter,FiscalMonthNum,FiscalMonth,_Semaine fiscale NEW,CurWeekOffset,FutureDate
2023-11-05,2024 (fiscale),Trimestre 1,1,nov,1,-97,Past
2023-11-12,2024 (fiscale),Trimestre 1,1,nov,2,-96,Past
2023-11-19,2024 (fiscale),Trimestre 1,1,nov,3,-95,Past
2023-11-26,2024 (fiscale),Trimestre 1,1,nov,4,-94,Past
2023-12-03,2024 (fiscale),Trimestre 1,1,nov,5,-93,Past
2023-12-10,2024 (fiscale),Trimestre 1,2,déc,6,-92,Past
2023-12-17,2024 (fiscale),Trimestre 1,2,déc,7,-91,Past
2023-12-24,2024 (fiscale),Trimestre 1,2,déc,8,-90,Past
2023-12-31,2024 (fiscale),Trimestre 1,2,déc,9,-89,Past
2024-01-07,2024 (fiscale),Trimestre 1,3,jan,10,-88,Past
2024-01-14,2024 (fiscale),Trimestre 1,3,jan,11,-87,Past
2024-01-21,2024 (fiscale),Trimestre 1,3,jan,12,-86,Past
2024-01-28,2024 (fiscale),Trimestre 1,3,jan,13,-85,Past
2024-02-04,2024 (fiscale),Trimestre 1,3,jan,14,-84,Past
2024-02-11,2024 (fiscale),Trimestre 2,4,fév,15,-83,Past
2024-02-18,2024 (fiscale),Trimestre 2,4,fév,16,-82,Past
2024-02-25,2024 (fiscale),Trimestre 2,4,fév,17,-81,Past
2024-03-03,2024 (fiscale),Trimestre 2,4,fév,18,-80,Past
2024-03-10,2024 (fiscale),Trimestre 2,5,mar,19,-79,Past
2024-03-17,2024 (fiscale),Trimestre 2,5,mar,20,-78,Past
2024-03-24,2024 (fiscale),Trimestre 2,5,mar,21,-77,Past
2024-03-31,2024 (fiscale),Trimestre 2,5,mar,22,-76,Past
2024-04-07,2024 (fiscale),Trimestre 2,6,avr,23,-75,Past
2024-04-14,2024 (fiscale),Trimestre 2,6,avr,24,-74,Past
2024-04-21,2024 (fiscale),Trimestre 2,6,avr,25,-73,Past
2024-04-28,2024 (fiscale),Trimestre 2,6,avr,26,-72,Past
2024-05-05,2024 (fiscale),Trimestre 2,6,avr,27,-71,Past
2024-05-12,2024 (fiscale),Trimestre 3,7,mai,28,-70,Past
2024-05-19,2024 (fiscale),Trimestre 3,7,mai,29,-69,Past
2024-05-26,2024 (fiscale),Trimestre 3,7,mai,30,-68,Past
2024-06-02,2024 (fiscale),Trimestre 3,7,mai,31,-67,Past
2024-06-09,2024 (fiscale),Trimestre 3,8,jui,32,-66,Past
2024-06-16,2024 (fiscale),Trimestre 3,8,jui,33,-65,Past
2024-06-23,2024 (fiscale),Trimestre 3,8,jui,34,-64,Past
2024-06-30,2024 (fiscale),Trimestre 3,8,jui,35,-63,Past
2024-07-07,2024 (fiscale),Trimestre 3,9,jui,36,-62,Past
2024-07-14,2024 (fiscale),Trimestre 3,9,jui,37,-61,Past
2024-07-21,2024 (fiscale),Trimestre 3,9,jui,38,-60,Past
2024-07-28,2024 (fiscale),Trimestre 3,9,jui,39,-59,Past
2024-08-04,2024 (fiscale),Trimestre 3,9,jui,40,-58,Past
2024-08-11,2024 (fiscale),Trimestre 4,10,aoû,41,-57,Past
2024-08-18,2024 (fiscale),Trimestre 4,10,aoû,42,-56,Past
2024-08-25,2024 (fiscale),Trimestre 4,10,aoû,43,-55,Past
2024-09-01,2024 (fiscale),Trimestre 4,10,aoû,44,-54,Past
2024-09-08,2024 (fiscale),Trimestre 4,11,sep,45,-53,Past
2024-09-15,2024 (fiscale),Trimestre 4,11,sep,46,-52,Past
2024-09-22,2024 (fiscale),Trimestre 4,11,sep,47,-51,Past
2024-09-29,2024 (fiscale),Trimestre 4,11,sep,48,-50,Past
2024-10-06,2024 (fiscale),Trimestre 4,11,sep,49,-49,Past
2024-10-13,2024 (fiscale),Trimestre 4,12,oct,50,-48,Past
2024-10-20,2024 (fiscale),Trimestre 4,12,oct,51,-47,Past
2024-10-27,2024 (fiscale),Trimestre 4,12,oct,52,-46,Past
2024-11-03,2024 (fiscale),Trimestre 4,12,oct,53,-45,Past
2024-11-10,2025 (fiscale),Trimestre 1,1,nov,1,-44,Past
2024-11-17,2025 (fiscale),Trimestre 1,1,nov,2,-43,Past
2024-11-24,2025 (fiscale),Trimestre 1,1,nov,3,-42,Past
2024-12-01,2025 (fiscale),Trimestre 1,1,nov,4,-41,Past
2024-12-08,2025 (fiscale),Trimestre 1,2,déc,5,-40,Past
2024-12-15,2025 (fiscale),Trimestre 1,2,déc,6,-39,Past
2024-12-22,2025 (fiscale),Trimestre 1,2,déc,7,-38,Past
2024-12-29,2025 (fiscale),Trimestre 1,2,déc,8,-37,Past
2025-01-05,2025 (fiscale),Trimestre 1,2,déc,9,-36,Past
2025-01-12,2025 (fiscale),Trimestre 1,3,jan,10,-35,Past
2025-01-19,2025 (fiscale),Trimestre 1,3,jan,11,-34,Past
2025-01-26,2025 (fiscale),Trimestre 1,3,jan,12,-33,Past
2025-02-02,2025 (fiscale),Trimestre 1,3,jan,13,-32,Past
2025-02-09,2025 (fiscale),Trimestre 2,4,fév,14,-31,Past
2025-02-16,2025 (fiscale),Trimestre 2,4,fév,15,-30,Past
2025-02-23,2025 (fiscale),Trimestre 2,4,fév,16,-29,Past
2025-03-02,2025 (fiscale),Trimestre 2,4,fév,17,-28,Past
2025-03-09,2025 (fiscale),Trimestre 2,5,mar,18,-27,Past
2025-03-16,2025 (fiscale),Trimestre 2,5,mar,19,-26,Past
2025-03-23,2025 (fiscale),Trimestre 2,5,mar,20,-25,Past
2025-03-30,2025 (fiscale),Trimestre 2,5,mar,21,-24,Past
2025-04-06,2025 (fiscale),Trimestre 2,5,mar,22,-23,Past
2025-04-13,2025 (fiscale),Trimestre 2,6,avr,23,-22,Past
2025-04-20,2025 (fiscale),Trimestre 2,6,avr,24,-21,Past
2025-04-27,2025 (fiscale),Trimestre 2,6,avr,25,-20,Past
2025-05-04,2025 (fiscale),Trimestre 2,6,avr,26,-19,Past
2025-05-11,2025 (fiscale),Trimestre 3,7,mai,27,-18,Past
2025-05-18,2025 (fiscale),Trimestre 3,7,mai,28,-17,Past
2025-05-25,2025 (fiscale),Trimestre 3,7,mai,29,-16,Past
2025-06-01,2025 (fiscale),Trimestre 3,7,mai,30,-15,Past
2025-06-08,2025 (fiscale),Trimestre 3,8,jui,31,-14,Past
2025-06-15,2025 (fiscale),Trimestre 3,8,jui,32,-13,Past
2025-06-22,2025 (fiscale),Trimestre 3,8,jui,33,-12,Past
2025-06-29,2025 (fiscale),Trimestre 3,8,jui,34,-11,Past
2025-07-06,2025 (fiscale),Trimestre 3,8,jui,35,-10,Past
2025-07-13,2025 (fiscale),Trimestre 3,9,jui,36,-9,Past
2025-07-20,2025 (fiscale),Trimestre 3,9,jui,37,-8,Past
2025-07-27,2025 (fiscale),Trimestre 3,9,jui,38,-7,Past
2025-08-03,2025 (fiscale),Trimestre 3,9,jui,39,-6,Past
2025-08-10,2025 (fiscale),Trimestre 4,10,aoû,40,-5,Past
2025-08-17,2025 (fiscale),Trimestre 4,10,aoû,41,-4,Past
2025-08-24,2025 (fiscale),Trimestre 4,10,aoû,42,-3,Past
2025-08-31,2025 (fiscale),Trimestre 4,10,aoû,43,-2,Past
2025-09-07,2025 (fiscale),Trimestre 4,11,sep,44,-1,Past
2025-09-14,2025 (fiscale),Trimestre 4,11,sep,45,0,Past
2025-09-21,2025 (fiscale),Trimestre 4,11,sep,46,1,Future
2025-09-28,2025 (fiscale),Trimestre 4,11,sep,47,2,Future
2025-10-05,2025 (fiscale),Trimestre 4,11,sep,48,3,Future
2025-10-12,2025 (fiscale),Trimestre 4,12,oct,49,4,Future
2025-10-19,2025 (fiscale),Trimestre 4,12,oct,50,5,Future
2025-10-26,2025 (fiscale),Trimestre 4,12,oct,51,6,Future
2025-11-02,2025 (fiscale),Trimestre 4,12,oct,52,7,Future
2025-11-09,2026 (fiscale),Trimestre 1,1,nov,1,8,Future
2025-11-16,2026 (fiscale),Trimestre 1,1,nov,2,9,Future
2025-11-23,2026 (fiscale),Trimestre 1,1,nov,3,10,Future
2025-11-30,2026 (fiscale),Trimestre 1,1,nov,4,11,Future
2025-12-07,2026 (fiscale),Trimestre 1,2,déc,5,12,Future
2025-12-14,2026 (fiscale),Trimestre 1,2,déc,6,13,Future
2025-12-21,2026 (fiscale),Trimestre 1,2,déc,7,14,Future
2025-12-28,2026 (fiscale),Trimestre 1,2,déc,8,15,Future
2026-01-04,2026 (fiscale),Trimestre 1,2,déc,9,16,Future
2026-01-11,2026 (fiscale),Trimestre 1,3,jan,10,17,Future
2026-01-18,2026 (fiscale),Trimestre 1,3,jan,11,18,Future
2026-01-25,2026 (fiscale),Trimestre 1,3,jan,12,19,Future
2026-02-01,2026 (fiscale),Trimestre 1,3,jan,13,20,Future
2026-02-08,2026 (fiscale),Trimestre 2,4,fév,14,21,Future
2026-02-15,2026 (fiscale),Trimestre 2,4,fév,15,22,Future
2026-02-22,2026 (fiscale),Trimestre 2,4,fév,16,23,Future
2026-03-01,2026 (fiscale),Trimestre 2,4,fév,17,24,Future
2026-03-08,2026 (fiscale),Trimestre 2,5,mar,18,25,Future
2026-03-15,2026 (fiscale),Trimestre 2,5,mar,19,26,Future
2026-03-22,2026 (fiscale),Trimestre 2,5,mar,20,27,Future
