store_code,city,division_code,regime,ADI,CV2,n_weeks,mean_units,pct_zero
CP01 - Québec,Québec,AM,erratic,1.0,0.777,31,4.97,0.0
CP01 - Québec,Québec,AP,erratic,1.0,1.622,87,904.14,0.0
CP01 - Québec,Québec,AS,erratic,1.0,0.63,86,74.34,0.0
CP01 - Québec,Québec,AZ,erratic,1.0,2.976,54,78.52,0.0
CP01 - Québec,Québec,BQ,erratic,1.0,1.025,61,15.38,0.0
CP01 - Québec,Québec,CC,erratic,1.023,3.288,45,5.38,2.2
CP01 - Québec,Québec,CH,erratic,1.0,0.944,71,9.14,0.0
CP01 - Québec,Québec,CR,erratic,1.028,15.231,37,5.14,2.7
CP01 - Québec,Québec,DI,smooth,1.0,0.0,5,1.0,0.0
CP01 - Québec,Québec,FI,erratic,1.016,0.72,64,10.38,1.6
CP01 - Québec,Québec,GA,erratic,1.013,2.137,80,16.84,1.2
CP01 - Québec,Québec,HT,lumpy,16.25,0.708,65,0.14,93.8
CP01 - Québec,Québec,IN,erratic,1.158,1.017,66,4.44,13.6
CP01 - Québec,Québec,LO,erratic,1.0,2.097,68,74.65,0.0
CP01 - Québec,Québec,ME,erratic,1.0,2.045,88,127.14,0.0
CP01 - Québec,Québec,PA,erratic,1.0,2.717,44,25.8,0.0
CP01 - Québec,Québec,PC,erratic,1.0,1.454,81,533.19,0.0
CP01 - Québec,Québec,PI,erratic,1.0,1.698,85,233.32,0.0
CP01 - Québec,Québec,SA,erratic,1.0,1.057,12,2.92,0.0
CP01 - Québec,Québec,SP,erratic,1.015,0.565,66,4.64,1.5
CP01 - Québec,Québec,TO,erratic,1.0,0.764,70,11.71,0.0
CP02 - Blainville,Blainville,AP,erratic,1.0,1.813,114,322.97,0.0
CP02 - Blainville,Blainville,AS,smooth,1.0,0.339,117,26.05,0.0
CP02 - Blainville,Blainville,BQ,erratic,1.028,0.801,74,5.42,2.7
CP02 - Blainville,Blainville,CA,smooth,1.0,0.0,5,1.0,0.0
CP02 - Blainville,Blainville,CC,lumpy,inf,inf,57,0.0,100.0
CP02 - Blainville,Blainville,CH,erratic,1.0,0.674,76,6.83,0.0
CP02 - Blainville,Blainville,CR,smooth,1.0,0.0,12,1.0,0.0
CP02 - Blainville,Blainville,FI,erratic,1.036,1.809,86,4.73,3.5
CP02 - Blainville,Blainville,GA,erratic,1.0,0.748,96,9.71,0.0
CP02 - Blainville,Blainville,HT,erratic,1.0,0.669,84,5.64,0.0
CP02 - Blainville,Blainville,IN,erratic,1.0,2.58,95,52.49,0.0
CP02 - Blainville,Blainville,LI,erratic,1.0,0.58,96,3.34,0.0
CP02 - Blainville,Blainville,LO,erratic,1.0,1.816,116,70.15,0.0
CP02 - Blainville,Blainville,ME,erratic,1.009,1.257,108,88.44,0.9
CP02 - Blainville,Blainville,MK,smooth,1.0,0.222,2,1.5,0.0
CP02 - Blainville,Blainville,PA,erratic,1.045,0.719,70,12.27,4.3
CP02 - Blainville,Blainville,PB,smooth,1.0,0.062,14,1.07,0.0
CP02 - Blainville,Blainville,PC,erratic,1.0,1.294,116,624.88,0.0
CP02 - Blainville,Blainville,PI,erratic,1.0,1.343,116,834.61,0.0
CP02 - Blainville,Blainville,SA,smooth,1.167,0.0,7,0.86,14.3
CP02 - Blainville,Blainville,SE,erratic,1.01,0.585,106,17.64,0.9
CP02 - Blainville,Blainville,SP,smooth,1.023,0.3,88,2.12,2.3
CP02 - Blainville,Blainville,TO,erratic,1.011,0.886,90,8.49,1.1
CP04 - Drummondville,Drummondville,AM,erratic,1.05,2.165,21,2.33,4.8
CP04 - Drummondville,Drummondville,AP,erratic,1.008,1.954,123,495.29,0.8
CP04 - Drummondville,Drummondville,AS,erratic,1.0,1.194,124,239.95,0.0
CP04 - Drummondville,Drummondville,AZ,erratic,1.024,3.588,85,34.94,2.4
CP04 - Drummondville,Drummondville,BQ,erratic,1.0,0.882,65,4.71,0.0
CP04 - Drummondville,Drummondville,CA,smooth,1.0,0.0,1,1.0,0.0
CP04 - Drummondville,Drummondville,CC,smooth,1.048,0.287,44,1.43,4.5
CP04 - Drummondville,Drummondville,CH,erratic,1.0,0.566,98,5.77,0.0
CP04 - Drummondville,Drummondville,CR,erratic,1.0,2.247,12,3.33,0.0
CP04 - Drummondville,Drummondville,DI,smooth,1.0,0.367,6,5.5,0.0
CP04 - Drummondville,Drummondville,DO,smooth,1.0,0.226,5,35.8,0.0
CP04 - Drummondville,Drummondville,FI,erratic,1.027,1.455,115,5.18,2.6
CP04 - Drummondville,Drummondville,GA,erratic,1.0,0.958,88,7.9,0.0
CP04 - Drummondville,Drummondville,HT,erratic,1.0,0.8,91,9.78,0.0
CP04 - Drummondville,Drummondville,IN,erratic,1.0,0.553,89,5.27,0.0
CP04 - Drummondville,Drummondville,INM,erratic,1.01,0.675,102,14.85,1.0
CP04 - Drummondville,Drummondville,LI,erratic,1.0,0.675,105,9.07,0.0
CP04 - Drummondville,Drummondville,LO,erratic,1.0,1.667,124,86.12,0.0
CP04 - Drummondville,Drummondville,ME,erratic,1.009,1.41,116,46.07,0.9
CP04 - Drummondville,Drummondville,MK,erratic,1.019,0.94,53,2.6,1.9
CP04 - Drummondville,Drummondville,PA,erratic,1.015,0.709,66,7.12,1.5
CP04 - Drummondville,Drummondville,PB,smooth,1.0,0.187,3,1.33,0.0
CP04 - Drummondville,Drummondville,PC,erratic,1.0,1.373,124,536.22,0.0
CP04 - Drummondville,Drummondville,PI,erratic,1.008,1.722,124,93.65,0.8
CP04 - Drummondville,Drummondville,SE,erratic,1.0,0.724,105,14.54,0.0
CP04 - Drummondville,Drummondville,SP,smooth,1.0,0.473,82,2.89,0.0
CP04 - Drummondville,Drummondville,TO,erratic,1.042,0.85,50,8.18,4.0
CP05 - Sherbrooke,Sherbrooke,AB,erratic,1.023,1.457,44,15.64,2.3
CP05 - Sherbrooke,Sherbrooke,AP,erratic,1.0,2.478,79,1302.28,0.0
CP05 - Sherbrooke,Sherbrooke,AS,smooth,1.014,0.425,72,12.11,1.4
CP05 - Sherbrooke,Sherbrooke,AZ,erratic,1.014,60.424,74,3759.88,1.4
CP05 - Sherbrooke,Sherbrooke,BI,erratic,1.016,0.576,64,5.91,1.6
CP05 - Sherbrooke,Sherbrooke,BQ,erratic,1.0,1.177,58,13.93,0.0
CP05 - Sherbrooke,Sherbrooke,CA,lumpy,1.333,1.491,8,4.12,25.0
CP05 - Sherbrooke,Sherbrooke,CC,intermittent,1.55,0.189,31,0.87,35.5
CP05 - Sherbrooke,Sherbrooke,CH,erratic,1.079,0.866,41,11.24,7.3
CP05 - Sherbrooke,Sherbrooke,CR,smooth,1.15,0.477,23,1.52,13.0
CP05 - Sherbrooke,Sherbrooke,DI,erratic,1.146,12.779,47,58.83,12.8
CP05 - Sherbrooke,Sherbrooke,FI,erratic,1.014,1.462,70,6.17,1.4
