feature,importance
units_lag_1w,0.37603822
revenue_lag_1w,0.15212008
week_of_yr,0.09084696
sin_week_1,0.06635479
temp_warming_x_spr,0.04981104
units_roll4_std,0.0335593
cos_week_1,0.03131941
sin_week_2,0.0280573
revenue_roll4_mean,0.019620813
units_lag_52w,0.01691319
has_holiday,0.015382158
sunshine_hours,0.014142479
price_lag_1w,0.013321977
units_roll12_std,0.009569705
avg_temp_lag_2w,0.0071758535
temp_warming,0.0069551384
avg_temp_dev_z,0.0066064773
heating_degree_days,0.0065318835
outdoor_x_temp,0.00580026
is_spring_opening,0.004512813
rain_days_dev_z,0.0041767396
temp_below_0,0.003779585
units_volatility,0.0035862182
bad_wx_x_summer,0.0034547308
sunshine_hours_dev_z,0.0033559827
bad_weather_days,0.0029563874
store_enc,0.0027597796
total_precip_dev_z,0.0025408608
rain_days,0.002182338
avg_price_per_unit,0.0021437223
revenue_lag_4w,0.0020260387
total_precip,0.0020173038
cooling_degree_days,0.002000632
cos_week_2,0.0019290338
temp_shock,0.0018552756
precip_x_summer,0.0015869648
bad_weather_days_dev_z,0.0012755885
snow_days,0.0010229183
snow_days_dev_z,0.00071002496
is_outdoor_div,0.0
pool_x_summer,0.0
pool_x_temp,0.0
is_fitness_div,0.0
temp_above_25,0.0
is_pool_div,0.0
temp_above_25_x_sum,0.0
is_fall_closing,0.0
is_summer_peak,0.0
year_idx,0.0
div_enc,0.0
