feature,importance
units_lag_1w,0.4209016
units_roll12_std,0.09625915
sin_week_1,0.052703876
has_holiday,0.044709273
div_enc,0.037834067
revenue_roll4_mean,0.0367872
week_of_yr,0.03503466
units_roll4_std,0.03339455
units_lag_52w,0.029301643
revenue_lag_1w,0.02809915
temp_warming_x_spr,0.027670473
cos_week_1,0.015805544
sunshine_hours,0.012948407
temp_below_0,0.012003068
temp_warming,0.011282996
avg_temp_dev_z,0.009952219
rain_days,0.008230801
price_lag_1w,0.0075608096
sin_week_2,0.007375049
avg_temp_lag_2w,0.0069238306
snow_days,0.0062185116
heating_degree_days,0.0051610526
avg_price_per_unit,0.00428193
units_volatility,0.004046833
cos_week_2,0.003977813
temp_shock,0.0038164407
total_precip,0.0037325865
rain_days_dev_z,0.0031855141
outdoor_x_temp,0.0031633852
is_spring_opening,0.0028503954
bad_weather_days_dev_z,0.0027326767
sunshine_hours_dev_z,0.0025065
cooling_degree_days,0.0024909263
total_precip_dev_z,0.0022473028
revenue_lag_4w,0.0021965806
bad_weather_days,0.0021608341
precip_x_summer,0.0021461206
bad_wx_x_summer,0.0019130356
snow_days_dev_z,0.0018131968
store_enc,0.0017399607
is_summer_peak,0.0015269504
pool_x_temp,0.0009452383
year_idx,0.00036778804
temp_above_25_x_sum,0.0
is_pool_div,0.0
is_outdoor_div,0.0
is_fitness_div,0.0
pool_x_summer,0.0
is_fall_closing,0.0
temp_above_25,0.0
