store_code,city,Week,Forecast_Sales
CP02,Blainville,2026-03-29,80.52000045776367
CP02,Blainville,2026-04-05,82.02999877929688
CP02,Blainville,2026-04-12,73.20999908447266
CP02,Blainville,2026-04-19,80.52000045776367
CP04,Drummondville,2026-03-29,105.47000122070312
CP04,Drummondville,2026-04-05,114.26000213623047
CP04,Drummondville,2026-04-12,108.36999893188477
CP04,Drummondville,2026-04-19,96.9900016784668
CP05,Sherbrooke,2026-03-29,203.57000732421875
CP05,Sherbrooke,2026-04-05,244.6300048828125
CP05,Sherbrooke,2026-04-12,254.5500030517578
CP05,Sherbrooke,2026-04-19,235.69000244140625
CP06,Granby,2026-03-29,187.95999908447266
CP06,Granby,2026-04-05,210.97999572753906
CP06,Granby,2026-04-12,220.22000122070312
CP06,Granby,2026-04-19,199.2699966430664
CP07,Laval,2026-03-29,170.7699966430664
CP07,Laval,2026-04-05,169.2699966430664
CP07,Laval,2026-04-12,166.9499969482422
CP07,Laval,2026-04-19,155.56999969482422
CP08,Longueuil,2026-03-29,92.54999923706055
CP08,Longueuil,2026-04-05,93.56999969482422
CP08,Longueuil,2026-04-12,120.66999816894531
CP08,Longueuil,2026-04-19,94.13999938964844
CP10,Saint-Jérôme,2026-03-29,129.04000091552734
CP10,Saint-Jérôme,2026-04-05,127.25
CP10,Saint-Jérôme,2026-04-12,117.41999816894531
CP10,Saint-Jérôme,2026-04-19,115.36000061035156
CP12,St-Georges-de-Beauce,2026-03-29,65.75
CP12,St-Georges-de-Beauce,2026-04-05,65.75
CP12,St-Georges-de-Beauce,2026-04-12,65.75
CP12,St-Georges-de-Beauce,2026-04-19,65.75
CP13,Victoriaville,2026-03-29,95.0
CP13,Victoriaville,2026-04-05,95.0
CP13,Victoriaville,2026-04-12,95.0
CP13,Victoriaville,2026-04-19,95.0
CP15,Repentigny,2026-03-29,98.08999633789062
CP15,Repentigny,2026-04-05,80.81999969482422
CP15,Repentigny,2026-04-12,88.04000091552734
CP15,Repentigny,2026-04-19,80.81999969482422
CP16,Chicoutimi,2026-03-29,128.36000061035156
CP16,Chicoutimi,2026-04-05,114.08999633789062
CP16,Chicoutimi,2026-04-12,115.16000366210938
CP16,Chicoutimi,2026-04-19,100.6500015258789
CP17,Trois-Rivières,2026-03-29,74.91999816894531
CP17,Trois-Rivières,2026-04-05,89.22000122070312
CP17,Trois-Rivières,2026-04-12,75.52000045776367
CP17,Trois-Rivières,2026-04-19,53.55999946594238
CP202,Nepean,2026-03-29,94.25
CP202,Nepean,2026-04-05,97.30999755859375
CP202,Nepean,2026-04-12,80.77999877929688
CP202,Nepean,2026-04-19,69.4000015258789
CP28,Pointe-aux-Trembles,2026-03-29,187.22999954223633
CP28,Pointe-aux-Trembles,2026-04-05,188.25
CP28,Pointe-aux-Trembles,2026-04-12,162.18000030517578
CP28,Pointe-aux-Trembles,2026-04-19,165.36999893188477
CP32,St-Hyacinthe,2026-03-29,78.84000015258789
CP32,St-Hyacinthe,2026-04-05,69.95000076293945
CP32,St-Hyacinthe,2026-04-12,82.08000183105469
CP32,St-Hyacinthe,2026-04-19,80.36999893188477
CP33,Sorel-Tracy,2026-03-29,42.75
CP33,Sorel-Tracy,2026-04-05,42.75
CP33,Sorel-Tracy,2026-04-12,42.75
CP33,Sorel-Tracy,2026-04-19,42.75
CP35,Saint-Jean-sur-Richelieu,2026-03-29,113.86000061035156
CP35,Saint-Jean-sur-Richelieu,2026-04-05,120.62999725341797
CP35,Saint-Jean-sur-Richelieu,2026-04-12,125.76000213623047
CP35,Saint-Jean-sur-Richelieu,2026-04-19,97.29000091552734
CP36,Saint-Eustache,2026-03-29,259.060001373291
CP36,Saint-Eustache,2026-04-05,272.20999908447266
CP36,Saint-Eustache,2026-04-12,260.0800018310547
CP36,Saint-Eustache,2026-04-19,253.06999969482422
CP37,Gatineau,2026-03-29,186.8300018310547
CP37,Gatineau,2026-04-05,216.75
CP37,Gatineau,2026-04-12,228.60000610351562
CP37,Gatineau,2026-04-19,220.49000549316406
CP39,Joliette,2026-03-29,62.75
CP39,Joliette,2026-04-05,62.75
CP39,Joliette,2026-04-12,62.75
CP39,Joliette,2026-04-19,62.75
CP40,Thetford Mines,2026-03-29,60.75
CP40,Thetford Mines,2026-04-05,60.75
CP40,Thetford Mines,2026-04-12,60.75
CP40,Thetford Mines,2026-04-19,60.75
CP44,St-Constant,2026-03-29,65.0
CP44,St-Constant,2026-04-05,65.0
CP44,St-Constant,2026-04-12,65.0
CP44,St-Constant,2026-04-19,65.0
CP45,Cowansville,2026-03-29,81.0
CP45,Cowansville,2026-04-05,81.0
CP45,Cowansville,2026-04-12,81.0
CP45,Cowansville,2026-04-19,81.0
CP46,Sainte-Agathe-des-Monts,2026-03-29,83.75
CP46,Sainte-Agathe-des-Monts,2026-04-05,83.75
CP46,Sainte-Agathe-des-Monts,2026-04-12,83.75
CP46,Sainte-Agathe-des-Monts,2026-04-19,83.75
CP47,Riviere-du-Loup,2026-03-29,65.25
CP47,Riviere-du-Loup,2026-04-05,65.25
CP47,Riviere-du-Loup,2026-04-12,65.25
CP47,Riviere-du-Loup,2026-04-19,65.25
CP48,Beloeil,2026-03-29,77.11999893188477
CP48,Beloeil,2026-04-05,78.56000137329102
CP48,Beloeil,2026-04-12,78.13999938964844
CP48,Beloeil,2026-04-19,67.7400016784668
CP77,Liquidation,2026-03-29,39.25
CP77,Liquidation,2026-04-05,39.25
CP77,Liquidation,2026-04-12,39.25
CP77,Liquidation,2026-04-19,39.25
