store_code,city,Week,Forecast_Units,Forecast_Revenue
CP02,Blainville,2026-03-29,76.38000106811523,25186.329999999998
CP02,Blainville,2026-04-05,71.3499984741211,23934.89
CP02,Blainville,2026-04-12,94.69999885559082,27612.66
CP02,Blainville,2026-04-19,92.21999740600586,27904.2
CP04,Drummondville,2026-03-29,109.53000164031982,43483.61
CP04,Drummondville,2026-04-05,127.7100019454956,42746.41
CP04,Drummondville,2026-04-12,140.39999675750732,43032.170000000006
CP04,Drummondville,2026-04-19,169.25000381469727,43595.490000000005
CP05,Sherbrooke,2026-03-29,229.04000854492188,31304.37
CP05,Sherbrooke,2026-04-05,296.9799995422363,48113.75
CP05,Sherbrooke,2026-04-12,387.4300117492676,52347.16
CP05,Sherbrooke,2026-04-19,727.5600051879883,68503.67
CP06,Granby,2026-03-29,231.2100067138672,70848.49
CP06,Granby,2026-04-05,240.18000030517578,113092.94
CP06,Granby,2026-04-12,286.75999450683594,110970.7
CP06,Granby,2026-04-19,396.5899963378906,113973.88
CP07,Laval,2026-03-29,193.09999752044678,54382.270000000004
CP07,Laval,2026-04-05,200.8299961090088,51569.35
CP07,Laval,2026-04-12,231.2100019454956,54897.549999999996
CP07,Laval,2026-04-19,294.65000343322754,56089.15
CP07,Liquidation,2026-03-29,123.8700008392334,21999.129999999997
CP07,Liquidation,2026-04-05,115.77000188827515,20629.57
CP07,Liquidation,2026-04-12,104.01999807357788,19973.02
CP07,Liquidation,2026-04-19,92.38999915122986,18497.559999999998
CP08,Longueuil,2026-03-29,91.42000102996826,23168.76
CP08,Longueuil,2026-04-05,68.80999851226807,22968.99
CP08,Longueuil,2026-04-12,88.39000034332275,23450.89
CP08,Longueuil,2026-04-19,107.79000091552734,26611.07
CP10,Saint-Jérôme,2026-03-29,124.12999665737152,30763.92
CP10,Saint-Jérôme,2026-04-05,122.27000367641449,26227.149999999998
CP10,Saint-Jérôme,2026-04-12,147.17999649047852,29109.66
CP10,Saint-Jérôme,2026-04-19,183.54000091552734,35640.47
CP12,St-Georges-de-Beauce,2026-03-29,72.8499984741211,17274.13
CP12,St-Georges-de-Beauce,2026-04-05,86.20999908447266,24871.54
CP12,St-Georges-de-Beauce,2026-04-12,90.13999938964844,24984.699999999997
CP12,St-Georges-de-Beauce,2026-04-19,98.98999786376953,25239.54
CP13,Victoriaville,2026-03-29,86.4900016784668,23554.1
CP13,Victoriaville,2026-04-05,115.19000244140625,26101.69
CP13,Victoriaville,2026-04-12,118.36000061035156,26181.05
CP13,Victoriaville,2026-04-19,131.6999969482422,26515.02
CP15,Repentigny,2026-03-29,105.18999862670898,46088.619999999995
CP15,Repentigny,2026-04-05,113.69999694824219,51130.09
CP15,Repentigny,2026-04-12,136.33000373840332,50960.57
CP15,Repentigny,2026-04-19,167.90999794006348,51863.49
