store_code,division_code,forecast_demand_total,qty_available,inventory_value,demand_vs_stock,gap_flag
CP08,AM,0.0,257.0,16661.28,-16661.28,✅ OK
CP08,AP,7191.079864501953,30246.2,606618.5,-599427.420135498,✅ OK
CP08,AS,294.2400093078613,4610.0,86587.85,-86293.60999069214,✅ OK
CP08,AZ,6796.6,3791.0,28818.89,-22022.29,✅ OK
CP08,BQ,987.8800201416016,701.0,101572.83,-100584.9499798584,✅ OK
CP08,CH,4441.890075683594,268.0,249830.8,-245388.9099243164,✅ OK
CP08,FI,3363.3400268554688,771.0,187227.4,-183864.05997314453,✅ OK
CP08,GA,14168.27001953125,585.0,478400.08,-464231.80998046877,✅ OK
CP08,HT,5133.889953613281,73.0,115622.35,-110488.46004638672,✅ OK
CP08,IN,3311.5799865722656,7.0,6796.93,-3485.3500134277347,✅ OK
CP08,INM,1573.760009765625,0.0,0.0,1573.760009765625,⚠️ Potential gap
CP08,LI,442.55999755859375,0.0,0.0,442.55999755859375,⚠️ Potential gap
CP08,LO,0.0,3722.0,42682.14,-42682.14,✅ OK
CP08,ME,3122.8299255371094,9918.0,1110425.95,-1107303.1200744628,✅ OK
CP08,MK,25.0,1763.0,2587.2,-2562.2,✅ OK
CP08,PA,0.0,862.0,268636.76,-268636.76,✅ OK
CP08,PC,8482.2001953125,21720.0,220567.25,-212085.0498046875,✅ OK
CP08,PI,59.88999938964844,19781.0,336912.05,-336852.16000061034,✅ OK
CP08,SE,1775.9900512695312,0.0,0.0,1775.9900512695312,⚠️ Potential gap
CP08,SP,39043.94921875,62.0,488831.02,-449787.07078125,✅ OK
CP08,TO,4435.6500244140625,170.0,69768.75,-65333.09997558594,✅ OK
CP202,AP,757.9199829101562,3617.0,83574.36,-82816.44001708984,✅ OK
CP202,AS,585.2400054931641,565.0,22544.94,-21959.699994506835,✅ OK
CP202,BQ,2603.8798828125,66.0,16023.54,-13419.6601171875,✅ OK
CP202,CH,7341.7401123046875,-1.0,1070.0,6271.7401123046875,⚠️ Potential gap
CP202,DI,215.84,-73.0,0.0,215.84,⚠️ Potential gap
CP202,GA,16154.889892578125,30.0,54591.42,-38436.53010742187,✅ OK
CP202,IN,3115.0,386.0,249760.0,-246645.0,✅ OK
CP202,LI,1441.9200439453125,-3.0,0.0,1441.9200439453125,⚠️ Potential gap
CP202,LO,0.0,909.0,11290.039999999999,-11290.039999999999,✅ OK
CP202,ME,2792.6400756835938,546.0,77523.12,-74730.4799243164,✅ OK
CP202,MK,223.76,5768.0,14548.95,-14325.19,✅ OK
CP202,PA,3440.6900024414062,128.0,20277.92,-16837.229997558592,✅ OK
CP202,PC,4575.949996948242,3182.0,32499.99,-27924.04000305176,✅ OK
CP202,PI,133.78000164031982,6031.0,43027.22,-42893.43999835968,✅ OK
CP202,SP,32165.91015625,24.0,215438.91999999998,-183273.00984374998,✅ OK
CP37,AM,1482.8099670410156,12.0,3666.67,-2183.8600329589844,✅ OK
CP37,AP,3044.8800048828125,15618.0,334243.64,-331198.7599951172,✅ OK
CP37,AS,0.0,1296.0,115674.53,-115674.53,✅ OK
CP37,BQ,0.0,250.0,32414.57,-32414.57,✅ OK
CP37,CH,1161.3599472045898,39.0,99431.02,-98269.66005279541,✅ OK
CP37,DI,356.96,74.0,14271.04,-13914.080000000002,✅ OK
CP37,FI,1522.6500244140625,35.0,12980.65,-11457.999975585937,✅ OK
CP37,GA,2684.7000122070312,382.0,661811.62,-659126.919987793,✅ OK
CP37,HT,15915.310302734375,80.0,147623.72,-131708.40969726563,✅ OK
CP37,IN,1470.5600280761719,3218.0,1258979.75,-1257509.1899719238,✅ OK
CP37,LI,583.8800048828125,1300.0,184537.0,-183953.1199951172,✅ OK
CP37,LO,583.8800048828125,1334.0,24908.77,-24324.889995117188,✅ OK
CP37,ME,3131.3800659179688,4194.0,581120.81,-577989.4299340821,✅ OK
CP37,MK,158.76,8545.0,22123.65,-21964.890000000003,✅ OK
CP37,PA,1421.4000244140625,586.0,87826.03,-86404.62997558594,✅ OK
CP37,PC,2651.550018310547,9585.0,155575.23,-152923.67998168946,✅ OK
CP37,PI,0.0,15583.0,159903.81,-159903.81,✅ OK
CP37,SE,1255.0,1195.0,70980.0,-69725.0,✅ OK
CP37,SP,58735.4697265625,85.0,892580.75,-833845.2802734375,✅ OK
CP37,TO,66.53000068664551,80.0,35212.15,-35145.619999313356,✅ OK
CP44,AM,620.92,100.0,4834.03,-4213.11,✅ OK
CP44,AP,3818.9998779296875,12622.0,202106.57,-198287.57012207032,✅ OK
CP44,AS,614.8499755859375,2773.0,21951.87,-21337.02002441406,✅ OK
CP44,AZ,2815.16,8312.0,17746.28,-14931.119999999999,✅ OK
CP44,BQ,564.5999755859375,568.0,48794.1,-48229.50002441406,✅ OK
CP44,CH,955.5800018310547,59.0,28009.86,-27054.279998168946,✅ OK
CP44,FI,1227.3900146484375,358.0,34447.54,-33220.14998535156,✅ OK
CP44,GA,2129.6400146484375,95.0,53156.75,-51027.10998535156,✅ OK
CP44,HT,10381.869873046875,9.0,3940.14,6441.729873046876,⚠️ Potential gap
CP44,IN,645.3700180053711,0.0,0.0,645.3700180053711,⚠️ Potential gap
CP44,INM,707.8400268554688,0.0,0.0,707.8400268554688,⚠️ Potential gap
CP44,LI,24.280000686645508,0.0,0.0,24.280000686645508,⚠️ Potential gap
CP44,LO,36.9300012588501,2908.0,30909.43,-30872.49999874115,✅ OK
CP44,ME,4.260000228881836,2446.0,186392.59,-186388.32999977111,✅ OK
CP44,MK,10.0,588.0,685.35,-675.35,✅ OK
CP44,PA,275.6000061035156,124.0,14716.08,-14440.479993896484,✅ OK
CP44,PC,5759.900054931641,12147.0,131935.51,-126175.60994506837,✅ OK
CP44,PI,275.0799865722656,5561.0,61041.4,-60766.320013427736,✅ OK
CP44,SE,60.0,0.0,0.0,60.0,⚠️ Potential gap
CP44,SP,64080.0908203125,16.0,95801.62,-31721.529179687495,✅ OK
CP44,TO,3436.2399291992188,20.0,4833.69,-1397.4500708007808,✅ OK
CP48,AM,722.92,154.0,7962.46,-7239.54,✅ OK
CP48,AP,2552.239990234375,10333.5,202011.61,-199459.3700097656,✅ OK
CP48,AS,613.4600067138672,1857.0,19672.51,-19059.04999328613,✅ OK
CP48,AZ,6070.36,2148.0,18352.45,-12282.09,✅ OK
CP48,BQ,563.2000122070312,419.0,51172.46,-50609.25998779297,✅ OK
CP48,CH,518.0400085449219,78.0,29197.5,-28679.459991455078,✅ OK
CP48,FI,1016.719970703125,286.0,27720.94,-26704.220029296874,✅ OK
CP48,GA,2567.8500366210938,49.0,39057.93,-36490.07996337891,✅ OK
CP48,HT,9361.639892578125,12.0,4773.5599999999995,4588.0798925781255,⚠️ Potential gap
CP48,IN,753.7999877929688,0.0,0.0,753.7999877929688,⚠️ Potential gap
CP48,INM,954.8800048828125,0.0,0.0,954.8800048828125,⚠️ Potential gap
CP48,LI,373.7699966430664,0.0,0.0,373.7699966430664,⚠️ Potential gap
CP48,LO,17.15999937057495,2631.0,24862.46,-24845.300000629424,✅ OK
CP48,ME,81.5199966430664,4108.0,226186.95,-226105.43000335695,✅ OK
CP48,MK,9.96,421.0,366.65,-356.69,✅ OK
CP48,PA,643.9600219726562,167.0,22317.14,-21673.179978027343,✅ OK
CP48,PC,5141.18994140625,21732.0,142602.7,-137461.51005859376,✅ OK
CP48,PI,134.16000366210938,5046.0,65270.520000000004,-65136.359996337895,✅ OK
CP48,SE,1014.88,0.0,0.0,1014.88,⚠️ Potential gap
CP48,SP,34057.8798828125,19.0,97173.61,-63115.7301171875,✅ OK
CP48,TO,2682.18994140625,33.0,6830.58,-4148.39005859375,✅ OK
