store_code,city,division_code,wMAPE,RMSE,MAE,Bias,Avg_Sales,model
CP08,Longueuil,AM,3.6014,1262.44,1262.13,1262.13,350.46,XGBoost_Global
CP08,Longueuil,AP,0.1662,3596.64,3118.85,1717.83,18766.67,XGBoost_Global
CP08,Longueuil,AS,0.6018,1489.79,1255.84,22.42,2086.77,XGBoost_Global
CP08,Longueuil,BQ,1.3588,2350.38,2295.37,625.51,1689.26,XGBoost_Global
CP08,Longueuil,CH,0.8768,4995.35,4406.76,85.4,5025.98,XGBoost_Global
CP08,Longueuil,FI,0.9918,1221.27,1184.6,484.88,1194.42,XGBoost_Global
CP08,Longueuil,GA,1.3419,6760.53,6266.45,1197.39,4669.96,XGBoost_Global
CP08,Longueuil,HT,0.5891,1884.59,1884.39,1884.39,3199.0,XGBoost_Global
CP08,Longueuil,INM,1.7275,678.53,604.6,604.6,350.0,XGBoost_Global
CP08,Longueuil,LI,0.6863,480.16,382.02,382.02,556.63,XGBoost_Global
CP08,Longueuil,LO,0.8891,734.02,682.25,459.81,767.34,XGBoost_Global
CP08,Longueuil,ME,0.7329,14536.67,14209.0,-4666.19,19388.39,XGBoost_Global
CP08,Longueuil,PA,1.2477,2841.68,2404.69,2404.69,1927.25,XGBoost_Global
CP08,Longueuil,PC,0.1722,3178.77,2907.61,-833.68,16889.41,XGBoost_Global
CP08,Longueuil,PI,1.0001,2020.3,1968.31,1968.31,1968.07,XGBoost_Global
CP08,Longueuil,SE,7.9538,1415.42,1378.58,1378.58,173.32,XGBoost_Global
CP08,Longueuil,SP,1.1381,14630.35,14453.32,-2269.08,12699.0,XGBoost_Global
CP08,Longueuil,TO,0.5277,1293.27,1253.54,-717.76,2375.5,XGBoost_Global
CP202,Nepean,AP,0.3067,2788.56,1956.06,1956.06,6377.5,XGBoost_Global
CP202,Nepean,AS,0.1703,596.56,491.7,-478.76,2887.83,XGBoost_Global
CP202,Nepean,BQ,0.8997,1516.24,1511.42,-120.84,1679.98,XGBoost_Global
CP202,Nepean,GA,0.675,7820.3,6817.52,-4493.37,10099.63,XGBoost_Global
CP202,Nepean,LI,1.1787,525.43,447.86,447.86,379.97,XGBoost_Global
CP202,Nepean,LO,0.6099,308.42,289.29,289.29,474.36,XGBoost_Global
CP202,Nepean,ME,0.6386,8304.31,7037.16,3959.59,11019.26,XGBoost_Global
CP202,Nepean,PA,0.5195,2625.59,2252.31,145.74,4335.53,XGBoost_Global
CP202,Nepean,PC,0.1655,2516.01,2404.32,-341.88,14526.12,XGBoost_Global
CP202,Nepean,PI,0.3393,809.44,769.52,-19.98,2267.79,XGBoost_Global
CP202,Nepean,SP,0.8234,15655.85,11563.6,10554.09,14044.0,XGBoost_Global
CP37,Gatineau,AM,1.0481,883.51,786.06,786.06,749.98,XGBoost_Global
CP37,Gatineau,AP,0.5551,10318.87,9845.6,9845.6,17736.17,XGBoost_Global
CP37,Gatineau,AS,0.4105,1368.43,1235.95,-728.22,3010.87,XGBoost_Global
CP37,Gatineau,BQ,0.5625,627.82,604.64,354.11,1074.91,XGBoost_Global
CP37,Gatineau,CH,0.6447,4923.01,4044.93,-2806.17,6273.99,XGBoost_Global
CP37,Gatineau,FI,0.7719,615.85,602.1,129.38,779.98,XGBoost_Global
CP37,Gatineau,GA,5.6773,16190.57,13252.67,13252.67,2334.32,XGBoost_Global
CP37,Gatineau,HT,1.8768,9808.56,9808.38,9808.38,5226.16,XGBoost_Global
CP37,Gatineau,LI,1.5259,766.37,731.9,731.9,479.64,XGBoost_Global
CP37,Gatineau,LO,0.5305,669.76,656.41,123.46,1237.25,XGBoost_Global
CP37,Gatineau,ME,0.2759,7930.55,6465.87,6465.87,23432.2,XGBoost_Global
CP37,Gatineau,PA,0.3057,996.98,850.13,-338.52,2780.52,XGBoost_Global
CP37,Gatineau,PC,0.2217,7140.33,6280.36,-1301.17,28333.29,XGBoost_Global
CP37,Gatineau,PI,0.4537,1811.99,1542.95,1542.95,3400.79,XGBoost_Global
CP37,Gatineau,SP,0.5893,19001.45,15689.23,-10719.28,26624.84,XGBoost_Global
CP37,Gatineau,TO,2.4681,1849.17,1641.23,1641.23,664.99,XGBoost_Global
CP44,St-Constant,AP,0.3497,3843.78,3155.54,882.82,9024.76,XGBoost_Global
CP44,St-Constant,AS,0.4905,736.64,630.04,-81.62,1284.46,XGBoost_Global
CP44,St-Constant,BQ,1.0041,1047.64,695.95,695.95,693.13,XGBoost_Global
CP44,St-Constant,CH,0.4755,1576.09,1511.38,1511.38,3178.3,XGBoost_Global
CP44,St-Constant,GA,2.0641,1452.48,1300.32,1300.32,629.98,XGBoost_Global
CP44,St-Constant,IN,1.2728,867.04,791.27,791.27,621.66,XGBoost_Global
CP44,St-Constant,INM,0.5883,326.7,260.3,197.43,442.5,XGBoost_Global
CP44,St-Constant,LI,0.9805,526.04,441.19,441.19,449.97,XGBoost_Global
CP44,St-Constant,LO,0.6469,456.07,451.64,451.64,698.16,XGBoost_Global
CP44,St-Constant,ME,0.6969,3245.66,2801.82,2801.82,4020.48,XGBoost_Global
CP44,St-Constant,PA,0.3,533.35,528.88,68.96,1762.9,XGBoost_Global
CP44,St-Constant,PC,0.2027,2795.03,2300.08,-270.83,11349.67,XGBoost_Global
CP44,St-Constant,PI,0.879,784.75,695.73,564.03,791.5,XGBoost_Global
CP44,St-Constant,TO,2.5923,956.5,835.99,835.99,322.49,XGBoost_Global
CP48,Beloeil,AP,0.4687,7436.6,7110.04,1735.31,15170.72,XGBoost_Global
CP48,Beloeil,AS,0.5235,814.47,648.36,350.9,1238.58,XGBoost_Global
CP48,Beloeil,BQ,0.1902,375.15,321.09,-36.81,1688.47,XGBoost_Global
CP48,Beloeil,CH,0.3663,1799.58,1090.73,1000.96,2977.81,XGBoost_Global
CP48,Beloeil,FI,0.3394,508.36,370.72,347.85,1092.23,XGBoost_Global
CP48,Beloeil,GA,1.4095,3859.06,3850.25,1151.4,2731.64,XGBoost_Global
CP48,Beloeil,IN,0.5044,580.06,573.8,573.8,1137.5,XGBoost_Global
CP48,Beloeil,LI,0.8847,500.08,412.83,381.79,466.64,XGBoost_Global
CP48,Beloeil,LO,0.5206,522.76,449.2,379.66,862.8,XGBoost_Global
CP48,Beloeil,ME,1.3277,10027.15,9317.63,9317.63,7017.65,XGBoost_Global
CP48,Beloeil,PA,1.9484,1863.42,1598.43,1598.43,820.37,XGBoost_Global
CP48,Beloeil,PC,0.2624,5808.39,4228.06,2316.98,16110.05,XGBoost_Global
CP48,Beloeil,PI,0.9365,1360.8,1122.34,322.21,1198.41,XGBoost_Global
CP48,Beloeil,SP,1.1105,13441.98,13103.25,1573.35,11799.0,XGBoost_Global
CP48,Beloeil,TO,1.7969,1149.38,988.26,988.26,549.99,XGBoost_Global
CP08,Longueuil,AP,0.9049,10129.94,10129.94,10129.94,11194.0,Prophet
CP08,Longueuil,AS,1.0,2836.35,2836.35,-2836.35,2836.35,Prophet
CP08,Longueuil,BQ,1.0,92.96,92.96,-92.96,92.96,Prophet
CP08,Longueuil,CH,1.0,2399.99,2399.99,-2399.99,2399.99,Prophet
CP08,Longueuil,FI,1.0,2035.8,2035.8,-2035.8,2035.8,Prophet
CP08,Longueuil,GA,1.0,12883.99,12883.99,-12883.99,12883.99,Prophet
CP08,Longueuil,HT,2.128,6594.56,6594.56,6594.56,3099.0,Prophet
CP08,Longueuil,INM,1.0,469.99,469.99,-469.99,469.99,Prophet
CP08,Longueuil,ME,0.8501,20297.75,20297.75,-20297.75,23876.58,Prophet
CP08,Longueuil,PA,2.5511,3405.62,3405.62,3405.62,1334.94,Prophet
CP08,Longueuil,PC,0.1216,1568.63,1568.63,-1568.63,12897.64,Prophet
CP08,Longueuil,PI,0.5878,872.7,872.7,872.7,1484.8,Prophet
CP08,Longueuil,TO,0.9839,1574.2,1574.2,1574.2,1599.9,Prophet
CP202,Nepean,AP,1.0,4263.26,4263.26,-4263.26,4263.26,Prophet
CP202,Nepean,AS,0.6749,1777.65,1777.65,-1777.65,2633.85,Prophet
CP202,Nepean,GA,1.0,16898.97,16898.97,-16898.97,16898.97,Prophet
CP202,Nepean,ME,1.0,6214.61,6214.61,-6214.61,6214.61,Prophet
