store_code,city,division_code,model_type,MAPE,MAPE_flag,wMAPE,RMSSE,MAE,Train_Mean,Test_Mean,Train_Weeks,Test_Weeks,Regressors,weather_tier,is_collapse,is_surge,is_unreliable_div,eval_seasonal
CP02 - Blainville,Blainville,LO,weekly_prophet,5.4733,ok,4.8559,1.0139,46.13,79.63,9.5,100,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP02 - Blainville,Blainville,ME,weekly_prophet,3.1641,ok,1.8377,0.3669,14.01,102.68,7.62,92,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP02 - Blainville,Blainville,PC,weekly_prophet,1.7225,ok,1.9205,0.6785,165.4,713.82,86.12,100,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP04 - Drummondville,Drummondville,ME,weekly_prophet,,suppressed_low_test_mean_3.6,4.7099,0.7717,17.07,52.87,3.62,100,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP04 - Drummondville,Drummondville,PC,weekly_prophet,0.8394,ok,0.8606,0.2979,73.79,604.04,85.75,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP06 - Granby,Granby,PC,weekly_prophet,0.6524,ok,0.6006,0.1966,67.64,923.44,112.62,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP07 - Laval,Laval,LO,weekly_prophet,0.9093,ok,0.9508,0.2811,21.04,148.65,22.12,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP07 - Laval,Laval,PC,weekly_prophet,0.9008,ok,0.9272,0.2308,111.27,1188.54,120.0,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP08 - Longueuil,Longueuil,LO,weekly_prophet,4.1831,ok,1.4203,0.2279,12.43,62.41,8.75,102,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP08 - Longueuil,Longueuil,ME,weekly_prophet,5.1045,ok,3.0894,0.4578,16.99,82.98,5.5,100,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP08 - Longueuil,Longueuil,PC,weekly_prophet,0.8933,ok,0.8674,0.2019,71.24,705.78,82.12,106,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP10 - Saint-Jérôme,Saint-Jérôme,IN,weekly_prophet,1.5083,ok,0.8422,0.0474,16.42,163.98,19.5,87,8,has_holiday,neutral,True,False,False,True
CP10 - Saint-Jérôme,Saint-Jérôme,LO,weekly_prophet,0.8847,ok,0.9014,0.1951,11.04,92.22,12.25,104,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP10 - Saint-Jérôme,Saint-Jérôme,ME,weekly_prophet,5.5025,ok,3.5057,0.4006,28.05,131.99,8.0,100,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP11 - Vaudreuil-Dorion,Vaudreuil-Dorion,ME,weekly_prophet,0.9789,ok,0.9716,0.2135,10.08,107.22,10.38,59,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP11 - Vaudreuil-Dorion,Vaudreuil-Dorion,PC,weekly_prophet,1.0,ok,1.0,0.299,113.38,772.28,113.38,72,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP12 - St-Georges-de-Beauce,St-Georges-de-Beauce,PC,weekly_prophet,5.4909,ok,5.0348,2.1265,179.99,250.16,35.75,55,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP13 - Victoriaville,Victoriaville,ME,weekly_prophet,17.5257,ok,7.1877,1.4356,40.43,55.12,5.62,92,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP15 - Repentigny,Repentigny,ME,weekly_prophet,4.8434,ok,3.7825,0.3618,22.22,87.01,5.88,98,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP15 - Repentigny,Repentigny,PC,weekly_prophet,1.0,ok,1.0,0.1636,59.38,697.07,59.38,108,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP16 - Chicoutimi,Chicoutimi,ME,weekly_prophet,,suppressed_low_test_mean_4.5,9.7697,1.3659,43.96,80.96,4.5,96,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
CP16 - Chicoutimi,Chicoutimi,PC,weekly_prophet,0.8319,ok,0.8371,0.2148,74.29,696.67,88.75,105,8,"avg_temp, temp_above_25, bad_weather_days, snow_days, sunshine_hours, has_holiday",strong,True,False,False,True
