store_code,city,division_code,wMAPE,RMSE,MAE,Bias,Avg_Sales,model
CP02,Blainville,PC,0.2851,19.97,13.11,13.07,46.0,XGBoost_Stratified
CP04,Drummondville,LO,0.9017,13.86,12.02,12.02,13.33,XGBoost_Stratified
CP04,Drummondville,PC,0.2431,22.64,17.83,5.46,73.33,XGBoost_Stratified
CP05,Sherbrooke,ME,0.5921,18.52,16.97,0.67,28.67,XGBoost_Stratified
CP05,Sherbrooke,PC,0.4273,112.73,108.4,27.95,253.67,XGBoost_Stratified
CP06,Granby,ME,2.4246,42.98,37.18,32.58,15.33,XGBoost_Stratified
CP06,Granby,PC,0.3686,49.98,34.77,34.63,94.33,XGBoost_Stratified
CP07,Laval,LO,0.5561,13.14,11.49,-2.16,20.67,XGBoost_Stratified
CP07,Laval,ME,0.9161,40.5,28.4,28.4,31.0,XGBoost_Stratified
CP07,Laval,PC,0.5479,40.76,37.26,37.26,68.0,XGBoost_Stratified
CP07,Liquidation,LO,1.3788,7.94,7.81,7.81,5.67,XGBoost_Stratified
CP07,Liquidation,ME,1.7799,42.26,34.41,34.41,19.33,XGBoost_Stratified
CP07,Liquidation,PC,1.8337,16.31,14.67,14.67,8.0,XGBoost_Stratified
CP08,Longueuil,ME,3.8062,19.33,19.03,19.03,5.0,XGBoost_Stratified
CP08,Longueuil,PC,0.6499,57.81,47.66,2.19,73.33,XGBoost_Stratified
CP10,Saint-Jérôme,LO,1.2614,11.36,9.67,9.67,7.67,XGBoost_Stratified
CP10,Saint-Jérôme,ME,0.8832,11.98,11.19,11.19,12.67,XGBoost_Stratified
CP10,Saint-Jérôme,PC,0.4111,46.6,45.77,45.77,111.33,XGBoost_Stratified
CP12,St-Georges-de-Beauce,PC,0.6452,20.37,17.85,17.85,27.67,XGBoost_Stratified
CP13,Victoriaville,PC,0.3258,26.28,23.89,-6.0,73.33,XGBoost_Stratified
CP15,Repentigny,ME,2.0669,10.71,7.58,7.58,3.67,XGBoost_Stratified
CP15,Repentigny,PC,0.1184,8.18,7.06,-1.47,59.67,XGBoost_Stratified
CP16,Chicoutimi,LO,0.4156,8.35,8.17,1.17,19.67,XGBoost_Stratified
CP16,Chicoutimi,ME,7.2449,40.43,28.98,26.99,4.0,XGBoost_Stratified
CP16,Chicoutimi,PC,0.3874,31.4,27.25,21.7,70.33,XGBoost_Stratified
CP17,Trois-Rivières,PC,0.821,48.87,47.62,24.95,58.0,XGBoost_Stratified
CP202,Nepean,PC,0.3826,41.65,35.07,31.14,91.67,XGBoost_Stratified
CP28,Pointe-aux-Trembles,PC,0.574,17.27,14.73,-3.27,25.67,XGBoost_Stratified
CP32,St-Hyacinthe,PC,0.6465,40.11,32.11,18.39,49.67,XGBoost_Stratified
CP33,Sorel-Tracy,PC,0.7456,18.67,18.39,9.02,24.67,XGBoost_Stratified
CP35,Saint-Jean-sur-Richelieu,LO,0.4976,9.44,7.46,7.46,15.0,XGBoost_Stratified
CP35,Saint-Jean-sur-Richelieu,PC,0.3453,55.78,36.49,27.6,105.67,XGBoost_Stratified
CP36,Saint-Eustache,LO,1.239,11.51,10.32,7.91,8.33,XGBoost_Stratified
CP36,Saint-Eustache,ME,1.0368,314.09,216.35,-142.3,208.67,XGBoost_Stratified
CP36,Saint-Eustache,PC,0.2763,16.38,15.75,5.44,57.0,XGBoost_Stratified
CP37,Gatineau,ME,4.4645,122.6,102.68,102.68,23.0,XGBoost_Stratified
CP37,Gatineau,PC,0.207,44.28,37.25,9.49,180.0,XGBoost_Stratified
CP39,Joliette,PC,0.6027,24.34,23.3,9.5,38.67,XGBoost_Stratified
CP40,Thetford Mines,PC,0.861,28.2,23.25,23.25,27.0,XGBoost_Stratified
CP44,St-Constant,PC,0.0778,3.03,2.7,1.71,34.67,XGBoost_Stratified
CP45,Cowansville,PC,0.4257,28.59,24.41,19.79,57.33,XGBoost_Stratified
CP46,Sainte-Agathe-des-Monts,PC,0.4838,30.04,29.67,-13.4,61.33,XGBoost_Stratified
CP47,Riviere-du-Loup,PC,1.024,46.19,43.35,43.35,42.33,XGBoost_Stratified
CP48,Beloeil,PC,0.3507,17.8,16.6,11.3,47.33,XGBoost_Stratified
CP02,Blainville,CH,2.0,2.0,2.0,2.0,1.0,Naive_Stratified
CP02,Blainville,FI,1.0,1.0,1.0,1.0,1.0,Naive_Stratified
CP02,Blainville,HT,1.125,2.25,2.25,2.25,2.0,Naive_Stratified
CP02,Blainville,LO,6.0,6.0,6.0,6.0,1.0,Naive_Stratified
CP02,Blainville,PA,8.0,8.0,8.0,8.0,1.0,Naive_Stratified
CP02,Blainville,TO,0.9167,2.75,2.75,2.75,3.0,Naive_Stratified
CP04,Drummondville,BQ,2.0,2.0,2.0,2.0,1.0,Naive_Stratified
CP04,Drummondville,CH,1.25,1.25,1.25,1.25,1.0,Naive_Stratified
CP04,Drummondville,FI,0.4167,1.25,1.25,1.25,3.0,Naive_Stratified
CP04,Drummondville,GA,7.25,14.5,14.5,14.5,2.0,Naive_Stratified
CP04,Drummondville,HT,0.8125,3.25,3.25,3.25,4.0,Naive_Stratified
CP04,Drummondville,ME,0.625,2.5,2.5,2.5,4.0,Naive_Stratified
CP04,Drummondville,PA,8.25,8.25,8.25,8.25,1.0,Naive_Stratified
CP04,Drummondville,SP,2.0,2.0,2.0,2.0,1.0,Naive_Stratified
CP04,Drummondville,TO,3.25,3.25,3.25,3.25,1.0,Naive_Stratified
CP05,Sherbrooke,BQ,0.25,0.5,0.5,0.5,2.0,Naive_Stratified
CP05,Sherbrooke,CH,0.25,0.25,0.25,-0.25,1.0,Naive_Stratified
CP05,Sherbrooke,FI,4.25,4.25,4.25,4.25,1.0,Naive_Stratified
CP05,Sherbrooke,GA,10.0,10.0,10.0,10.0,1.0,Naive_Stratified
CP05,Sherbrooke,HT,0.3182,3.5,3.5,-3.5,11.0,Naive_Stratified
CP05,Sherbrooke,LO,5.95,29.75,29.75,29.75,5.0,Naive_Stratified
CP05,Sherbrooke,PA,0.1875,0.75,0.75,-0.75,4.0,Naive_Stratified
CP05,Sherbrooke,SP,1.0,1.0,1.0,1.0,1.0,Naive_Stratified
CP06,Granby,BQ,0.5,0.5,0.5,0.5,1.0,Naive_Stratified
CP06,Granby,CH,6.75,6.75,6.75,6.75,1.0,Naive_Stratified
CP06,Granby,FI,3.25,3.25,3.25,3.25,1.0,Naive_Stratified
CP06,Granby,GA,41.25,41.25,41.25,41.25,1.0,Naive_Stratified
CP06,Granby,HT,1.5,6.0,6.0,6.0,4.0,Naive_Stratified
CP06,Granby,LO,2.25,11.25,11.25,11.25,5.0,Naive_Stratified
CP06,Granby,PA,1.0,1.0,1.0,1.0,1.0,Naive_Stratified
CP06,Granby,SP,1.25,1.25,1.25,1.25,1.0,Naive_Stratified
CP06,Granby,TO,7.75,7.75,7.75,7.75,1.0,Naive_Stratified
CP07,Laval,BQ,1.25,1.25,1.25,1.25,1.0,Naive_Stratified
CP07,Laval,CH,1.25,1.25,1.25,1.25,1.0,Naive_Stratified
CP07,Laval,FI,10.25,10.25,10.25,10.25,1.0,Naive_Stratified
CP07,Laval,GA,6.75,6.75,6.75,6.75,1.0,Naive_Stratified
CP07,Laval,HT,1.0833,3.25,3.25,3.25,3.0,Naive_Stratified
CP07,Laval,SP,2.25,2.25,2.25,2.25,1.0,Naive_Stratified
CP07,Laval,TO,1.375,5.5,5.5,5.5,4.0,Naive_Stratified
CP07,Liquidation,BQ,5.25,5.25,5.25,5.25,1.0,Naive_Stratified
CP07,Liquidation,CH,0.25,0.25,0.25,0.25,1.0,Naive_Stratified
CP07,Liquidation,FI,0.0,0.0,0.0,0.0,1.0,Naive_Stratified
CP07,Liquidation,GA,1.5833,4.75,4.75,4.75,3.0,Naive_Stratified
CP07,Liquidation,PA,1.125,2.25,2.25,2.25,2.0,Naive_Stratified
CP07,Liquidation,SP,0.75,0.75,0.75,0.75,1.0,Naive_Stratified
CP08,Longueuil,BQ,6.5,6.5,6.5,6.5,1.0,Naive_Stratified
CP08,Longueuil,CH,3.5,3.5,3.5,3.5,1.0,Naive_Stratified
CP08,Longueuil,FI,3.5,3.5,3.5,3.5,1.0,Naive_Stratified
CP08,Longueuil,HT,2.0,2.0,2.0,2.0,1.0,Naive_Stratified
CP08,Longueuil,LO,1.8,9.0,9.0,9.0,5.0,Naive_Stratified
CP08,Longueuil,PA,4.0,8.0,8.0,8.0,2.0,Naive_Stratified
CP08,Longueuil,SP,0.0,0.0,0.0,0.0,1.0,Naive_Stratified
CP08,Longueuil,TO,0.75,0.75,0.75,0.75,1.0,Naive_Stratified
CP10,Saint-Jérôme,BQ,1.5,1.5,1.5,1.5,1.0,Naive_Stratified
CP10,Saint-Jérôme,CH,3.0,3.0,3.0,3.0,1.0,Naive_Stratified
CP10,Saint-Jérôme,FI,0.5,1.0,1.0,1.0,2.0,Naive_Stratified
CP10,Saint-Jérôme,GA,1.625,3.25,3.25,3.25,2.0,Naive_Stratified
CP10,Saint-Jérôme,PA,2.125,4.25,4.25,4.25,2.0,Naive_Stratified
CP10,Saint-Jérôme,SP,0.5769,7.5,7.5,7.5,13.0,Naive_Stratified
CP12,St-Georges-de-Beauce,BQ,6.5,6.5,6.5,6.5,1.0,Naive_Stratified
CP12,St-Georges-de-Beauce,CH,2.25,4.5,4.5,4.5,2.0,Naive_Stratified
CP12,St-Georges-de-Beauce,FI,0.8611,7.75,7.75,-7.75,9.0,Naive_Stratified
CP12,St-Georges-de-Beauce,HT,1.75,3.5,3.5,3.5,2.0,Naive_Stratified
CP12,St-Georges-de-Beauce,LO,1.75,1.75,1.75,1.75,1.0,Naive_Stratified
CP12,St-Georges-de-Beauce,ME,0.9812,78.5,78.5,-78.5,80.0,Naive_Stratified
CP12,St-Georges-de-Beauce,SP,0.75,0.75,0.75,0.75,1.0,Naive_Stratified
CP12,St-Georges-de-Beauce,TO,0.75,1.5,1.5,1.5,2.0,Naive_Stratified
CP13,Victoriaville,BQ,0.25,0.5,0.5,0.5,2.0,Naive_Stratified
CP13,Victoriaville,GA,0.0,0.0,0.0,0.0,3.0,Naive_Stratified
CP13,Victoriaville,HT,2.0,2.0,2.0,2.0,1.0,Naive_Stratified
