feature,importance,segment
n_transactions,562,pc_only
units_lag_1w,347,pc_only
sunshine_hours_dev,292,pc_only
avg_price_per_unit,284,pc_only
units_roll4_std,267,pc_only
revenue_roll4_mean,228,pc_only
revenue_lag_1w,212,pc_only
store_enc,203,pc_only
units_lag_52w,188,pc_only
units_lag_2w,169,pc_only
units_roll12_std,160,pc_only
temp_warming,121,pc_only
units_roll8_std,120,pc_only
units_volatility,100,pc_only
units_roll4_mean,99,pc_only
temp_warming_x_spr,97,pc_only
temp_shock,85,pc_only
avg_temp,80,pc_only
sunshine_hours_dev_z,72,pc_only
price_lag_1w,71,pc_only
avg_temp_lag_1w,69,pc_only
max_temp,68,pc_only
cumulative_sales_count,67,pc_only
avg_temp_lag_2w,65,pc_only
sin_week_1,65,pc_only
total_precip_dev,59,pc_only
weeks_with_sales,59,pc_only
sin_week_2,56,pc_only
sunshine_hours,53,pc_only
avg_temp_dev,52,pc_only
cooling_degree_days,52,pc_only
units_roll8_mean,51,pc_only
units_roll12_mean,50,pc_only
units_lag_4w,47,pc_only
revenue_lag_4w,46,pc_only
bad_weather_days_dev,44,pc_only
total_precip,42,pc_only
precip_x_spring,41,pc_only
rain_days_dev,37,pc_only
precip_x_summer,32,pc_only
cos_week_2,31,pc_only
cos_week_1,30,pc_only
sunshine_x_summer,22,pc_only
heating_degree_days,22,pc_only
rain_days_dev_z,13,pc_only
avg_temp_dev_z,12,pc_only
snow_days_dev,8,pc_only
bad_weather_days_dev_z,8,pc_only
week_of_yr,8,pc_only
total_precip_dev_z,7,pc_only
is_spring_opening,6,pc_only
rain_days,4,pc_only
bad_wx_x_summer,4,pc_only
n_holidays,4,pc_only
year_idx,3,pc_only
bad_weather_days,2,pc_only
is_winter_off,1,pc_only
temp_above_20,1,pc_only
is_fall_closing,1,pc_only
is_active_product,0,pc_only
zero_frac_12w,0,pc_only
snow_days,0,pc_only
temp_above_25_x_sum,0,pc_only
temp_below_0,0,pc_only
temp_above_25,0,pc_only
snow_days_dev_z,0,pc_only
has_holiday,0,pc_only
is_summer_peak,0,pc_only
quarter,0,pc_only
month,0,pc_only
div_enc,0,pc_only
