feature,importance,segment
avg_price_per_unit,688,low_vol
n_transactions,687,low_vol
weeks_with_sales,275,low_vol
div_enc,246,low_vol
price_lag_1w,179,low_vol
units_roll4_mean,166,low_vol
revenue_lag_4w,158,low_vol
units_volatility,151,low_vol
units_lag_1w,136,low_vol
units_roll12_std,125,low_vol
units_roll4_std,122,low_vol
units_roll12_mean,112,low_vol
cumulative_sales_count,101,low_vol
revenue_lag_1w,101,low_vol
revenue_roll4_mean,98,low_vol
units_roll8_mean,96,low_vol
avg_temp_lag_2w,87,low_vol
units_lag_2w,86,low_vol
store_enc,84,low_vol
units_roll8_std,75,low_vol
units_lag_4w,71,low_vol
avg_temp_dev,69,low_vol
rain_days_dev,59,low_vol
total_precip,58,low_vol
sunshine_hours_dev,58,low_vol
units_lag_52w,53,low_vol
zero_frac_12w,51,low_vol
cos_week_1,50,low_vol
temp_shock,48,low_vol
week_of_yr,46,low_vol
avg_temp_lag_1w,45,low_vol
sin_week_1,39,low_vol
max_temp,38,low_vol
sunshine_hours,38,low_vol
total_precip_dev,35,low_vol
temp_warming,34,low_vol
snow_days_dev,24,low_vol
cos_week_2,24,low_vol
bad_weather_days_dev,22,low_vol
sin_week_2,22,low_vol
sunshine_x_summer,21,low_vol
avg_temp_dev_z,18,low_vol
avg_temp,15,low_vol
bad_weather_days,13,low_vol
precip_x_spring,12,low_vol
rain_days_dev_z,12,low_vol
heating_degree_days,12,low_vol
precip_x_summer,12,low_vol
sunshine_hours_dev_z,9,low_vol
temp_warming_x_spr,8,low_vol
snow_days,8,low_vol
bad_weather_days_dev_z,8,low_vol
snow_days_dev_z,6,low_vol
cooling_degree_days,6,low_vol
total_precip_dev_z,5,low_vol
rain_days,5,low_vol
year_idx,4,low_vol
month,3,low_vol
bad_wx_x_summer,3,low_vol
is_spring_opening,1,low_vol
is_summer_peak,1,low_vol
quarter,0,low_vol
is_active_product,0,low_vol
temp_below_0,0,low_vol
is_fall_closing,0,low_vol
is_winter_off,0,low_vol
n_holidays,0,low_vol
has_holiday,0,low_vol
temp_above_20,0,low_vol
temp_above_25,0,low_vol
temp_above_25_x_sum,0,low_vol
