feature,importance,segment
n_transactions,1218,mid_vol
avg_price_per_unit,1182,mid_vol
price_lag_1w,398,mid_vol
units_roll12_std,370,mid_vol
store_enc,365,mid_vol
units_volatility,361,mid_vol
weeks_with_sales,294,mid_vol
revenue_lag_4w,292,mid_vol
revenue_lag_1w,277,mid_vol
revenue_roll4_mean,274,mid_vol
temp_shock,271,mid_vol
sunshine_hours_dev,266,mid_vol
avg_temp_dev,264,mid_vol
units_roll4_std,264,mid_vol
units_lag_1w,253,mid_vol
cumulative_sales_count,238,mid_vol
units_roll12_mean,235,mid_vol
units_lag_2w,231,mid_vol
rain_days_dev,226,mid_vol
units_roll8_std,224,mid_vol
bad_weather_days_dev,216,mid_vol
units_lag_4w,213,mid_vol
total_precip,206,mid_vol
avg_temp_lag_2w,201,mid_vol
avg_temp_lag_1w,190,mid_vol
units_roll4_mean,185,mid_vol
total_precip_dev,177,mid_vol
units_lag_52w,171,mid_vol
units_roll8_mean,167,mid_vol
sunshine_hours,153,mid_vol
week_of_yr,149,mid_vol
max_temp,137,mid_vol
snow_days_dev,133,mid_vol
sin_week_2,126,mid_vol
avg_temp,110,mid_vol
sin_week_1,106,mid_vol
temp_warming,104,mid_vol
cos_week_1,89,mid_vol
cos_week_2,78,mid_vol
avg_temp_dev_z,65,mid_vol
heating_degree_days,65,mid_vol
sunshine_x_summer,53,mid_vol
rain_days_dev_z,53,mid_vol
total_precip_dev_z,42,mid_vol
precip_x_spring,41,mid_vol
snow_days_dev_z,36,mid_vol
bad_weather_days,30,mid_vol
precip_x_summer,29,mid_vol
sunshine_hours_dev_z,28,mid_vol
zero_frac_12w,24,mid_vol
snow_days,24,mid_vol
div_enc,22,mid_vol
bad_weather_days_dev_z,22,mid_vol
rain_days,19,mid_vol
month,18,mid_vol
temp_warming_x_spr,17,mid_vol
cooling_degree_days,13,mid_vol
bad_wx_x_summer,10,mid_vol
year_idx,7,mid_vol
is_fall_closing,5,mid_vol
is_spring_opening,5,mid_vol
n_holidays,4,mid_vol
is_winter_off,3,mid_vol
quarter,2,mid_vol
is_summer_peak,0,mid_vol
temp_below_0,0,mid_vol
is_active_product,0,mid_vol
has_holiday,0,mid_vol
temp_above_20,0,mid_vol
temp_above_25,0,mid_vol
temp_above_25_x_sum,0,mid_vol
