feature,importance,segment
n_transactions,0.31254798,global_xgb
units_lag_1w,0.18407023,global_xgb
temp_warming_x_spr,0.10348047,global_xgb
units_roll8_std,0.058233235,global_xgb
units_roll4_std,0.045706443,global_xgb
units_lag_52w,0.037404608,global_xgb
revenue_lag_1w,0.021114158,global_xgb
bad_wx_x_summer,0.019078663,global_xgb
avg_temp_lag_1w,0.016456204,global_xgb
revenue_roll4_mean,0.015308116,global_xgb
week_of_yr,0.010504102,global_xgb
has_holiday,0.008893565,global_xgb
sin_week_2,0.008251497,global_xgb
units_lag_2w,0.0075777085,global_xgb
units_volatility,0.007387473,global_xgb
temp_warming,0.0072676353,global_xgb
sin_week_1,0.006722494,global_xgb
units_roll12_mean,0.006410913,global_xgb
units_roll4_mean,0.00585032,global_xgb
sunshine_hours_dev,0.005660788,global_xgb
avg_temp_dev_z,0.005289538,global_xgb
sunshine_hours_dev_z,0.005187087,global_xgb
n_holidays,0.0047725057,global_xgb
avg_temp_dev,0.004266576,global_xgb
is_spring_opening,0.0038685293,global_xgb
cumulative_sales_count,0.0035637787,global_xgb
div_enc,0.0035496221,global_xgb
rain_days_dev_z,0.003543125,global_xgb
units_roll8_mean,0.0035405883,global_xgb
store_enc,0.0034125715,global_xgb
avg_temp_lag_2w,0.0033318386,global_xgb
heating_degree_days,0.0033222644,global_xgb
is_fall_closing,0.0032877163,global_xgb
precip_x_spring,0.003133659,global_xgb
sunshine_x_summer,0.0031334835,global_xgb
max_temp,0.0031171036,global_xgb
sunshine_hours,0.003067775,global_xgb
avg_temp,0.0029201242,global_xgb
temp_shock,0.002827698,global_xgb
units_roll12_std,0.0027930324,global_xgb
total_precip_dev_z,0.002769312,global_xgb
year_idx,0.0027067952,global_xgb
temp_above_20,0.0023409198,global_xgb
rain_days_dev,0.0023061389,global_xgb
cooling_degree_days,0.0021918593,global_xgb
cos_week_2,0.0020920336,global_xgb
total_precip,0.0020351168,global_xgb
avg_price_per_unit,0.001957927,global_xgb
price_lag_1w,0.0017257185,global_xgb
total_precip_dev,0.0016431948,global_xgb
precip_x_summer,0.0015751335,global_xgb
bad_weather_days_dev_z,0.0015567992,global_xgb
snow_days_dev_z,0.0014970794,global_xgb
cos_week_1,0.0014966292,global_xgb
month,0.0013379555,global_xgb
revenue_lag_4w,0.0012917271,global_xgb
weeks_with_sales,0.0012518711,global_xgb
bad_weather_days_dev,0.0011500828,global_xgb
snow_days,0.0011394869,global_xgb
snow_days_dev,0.001090523,global_xgb
bad_weather_days,0.0010651521,global_xgb
quarter,0.0009382547,global_xgb
rain_days,0.000918244,global_xgb
is_winter_off,0.00075212255,global_xgb
units_lag_4w,0.00071440183,global_xgb
is_summer_peak,0.00060030643,global_xgb
temp_below_0,0.0,global_xgb
temp_above_25,0.0,global_xgb
temp_above_25_x_sum,0.0,global_xgb
is_active_product,0.0,global_xgb
zero_frac_12w,0.0,global_xgb
