store_code,division_code,actual_units,pred_units,units_wmape,n_weeks
CP02,BQ,23.0,26.75527088382114,0.1906786196089627,8
CP02,CH,1.0,1.7348531515722736,0.7348531515722736,1
CP02,FI,43.0,47.61577811642585,0.1563450887151037,18
CP02,GA,48.0,48.856055754640636,0.14589574165278915,13
CP02,LO,341.0,473.20821665365133,0.5325384622561677,23
CP02,ME,216.0,196.76301078441517,0.20330818915429455,18
CP02,PA,8.0,6.972091438824302,0.18132450276623535,6
CP02,PC,5019.0,4818.891663555544,0.09047625196650527,23
CP02,SP,14.0,14.58965912896824,0.07175997951084032,10
CP02,TO,6.0,5.77020047806089,0.038299920323184834,4
CP04,BQ,10.0,11.76042397754534,0.17604239775453404,7
CP04,CH,29.0,30.08502547772915,0.16131680516982264,9
CP04,FI,90.0,105.07368118205284,0.17688800032284374,25
CP04,GA,73.0,34.58851048134818,0.7090582261532831,11
CP04,LO,485.0,524.9506081338099,0.27058342435346444,26
CP04,ME,149.0,147.094837256513,0.11779599642307198,21
CP04,PA,14.0,12.529313506638303,0.39988735603453734,7
CP04,PC,5014.0,4793.027475100793,0.10845814143514382,26
CP04,SP,19.0,19.302268014887268,0.12142239304051575,10
CP04,TO,3.0,3.148166294135006,0.05569382493107883,4
CP05,BQ,55.0,63.69927027209823,0.22277766763457454,19
CP05,CH,11.0,11.568395859774737,0.05717200794953552,10
CP05,FI,122.0,121.39361314329489,0.15758057930013214,24
CP05,GA,76.0,93.00992040858209,0.22689950038257556,13
CP05,HT,2.0,1.876578673069539,0.06198065242240333,2
CP05,LO,458.0,440.05315348322836,0.3825597814429557,26
CP05,ME,556.0,568.2741501125629,0.37594857516953867,25
CP05,PA,16.0,20.70527507097203,0.29434076182157765,9
CP05,PC,8892.0,9404.330341079645,0.11955333736000913,26
CP05,SP,92.0,82.22556392357434,0.21680945634878637,18
CP05,TO,15.0,17.547226653061628,0.22017739722161486,8
CP06,BQ,52.0,54.176246400928605,0.2277479121491045,19
CP06,CH,4.0,6.137365495073936,0.5343413737684839,3
