feature,importance
n_transactions,1465
avg_price_per_unit,1116
revenue_roll4_mean,561
revenue_lag_1w,390
price_lag_1w,229
revenue_lag_4w,187
weeks_with_sales,182
div_enc,149
units_roll4_mean,138
units_volatility,102
units_lag_1w,99
units_roll4_std,99
sunshine_hours,87
sin_week_1,80
units_roll12_std,76
temp_warming,76
units_roll8_std,75
units_lag_2w,75
sunshine_hours_dev,69
units_lag_52w,68
units_lag_4w,67
units_roll8_mean,66
avg_temp_dev,66
avg_temp_lag_1w,64
temp_shock,63
avg_temp_lag_2w,60
store_enc,59
avg_temp,57
week_of_yr,57
units_roll12_mean,54
cumulative_sales_count,52
sin_week_2,48
temp_warming_x_spr,48
total_precip,40
precip_x_spring,40
total_precip_dev,38
max_temp,36
sunshine_x_summer,32
cos_week_1,32
rain_days_dev,31
cos_week_2,30
snow_days_dev,26
bad_weather_days_dev,24
cooling_degree_days,20
precip_x_summer,20
zero_frac_12w,19
month,17
avg_temp_dev_z,13
total_precip_dev_z,11
rain_days,11
rain_days_dev_z,10
heating_degree_days,10
sunshine_hours_dev_z,9
bad_weather_days_dev_z,5
snow_days_dev_z,5
temp_above_20,4
year_idx,3
n_holidays,3
is_spring_opening,2
is_summer_peak,2
snow_days,2
bad_wx_x_summer,2
bad_weather_days,2
is_winter_off,1
quarter,1
has_holiday,1
temp_above_25_x_sum,0
is_fall_closing,0
is_active_product,0
temp_below_0,0
temp_above_25,0
