feature,importance
n_transactions,1324
avg_price_per_unit,1092
price_vs_div_median,454
price_momentum,371
revenue_roll4_mean,352
units_roll4_mean,262
units_lag_1w,255
price_roll4_mean,182
div_enc,169
revenue_lag_1w,160
weeks_with_sales,154
revenue_roll8_std,143
price_lag_1w,131
price_roll4_std,118
sin_week_1,105
revenue_roll12_std,93
units_volatility,90
units_roll12_std,87
revenue_lag_2w,84
revenue_lag_8w,83
revenue_lag_12w,80
units_roll4_std,79
revenue_lag_52w,76
revenue_lag_4w,72
units_roll8_mean,70
avg_temp_lag_1w,70
store_revenue_lag_1w,68
avg_temp_dev,68
units_lag_2w,64
revenue_roll12_mean,64
cumulative_sales_count,61
revenue_roll8_mean,61
units_roll8_std,56
revenue_volatility,52
sin_week_2,49
sunshine_hours,46
temp_shock,46
units_roll12_mean,45
avg_temp_lag_2w,45
store_enc,44
units_lag_4w,43
temp_warming,39
avg_temp,36
week_of_yr,36
temp_warming_x_spr,35
max_temp,33
total_precip,32
sunshine_hours_dev,30
cos_week_2,28
snow_days_dev,28
zero_rev_frac_12w,27
cos_week_1,27
total_precip_dev,24
rain_days_dev,22
units_lag_52w,22
sunshine_x_summer,18
precip_x_spring,16
cos_month_1,15
cooling_degree_days,14
month,14
high_value_week,13
precip_x_summer,12
bad_weather_days_dev,11
heating_degree_days,10
avg_temp_dev_z,10
snow_days_dev_z,9
sunshine_hours_dev_z,9
zero_frac_12w,8
sin_month_1,7
is_spring_opening,7
bad_weather_days_dev_z,4
total_precip_dev_z,4
is_winter_off,4
snow_days,3
year,3
rain_days,3
bad_weather_days,2
rain_days_dev_z,2
has_holiday,2
bad_wx_x_summer,1
temp_above_20,1
is_fall_closing,1
n_holidays,0
is_summer_peak,0
is_active_product,0
quarter,0
temp_above_25_x_sum,0
temp_above_25,0
temp_below_0,0
year_idx,0
