store_code,city,franchise_group,franchise_name
CP04,Drummondville,CP04,CP04 - Drummondville
CP05,Sherbrooke,CP05,CP05 - Sherbrooke
CP06,Granby,CP06,CP06 - Granby
CP32,St-Hyacinthe,CP06,CP06 - Granby
CP45,Cowansville,CP06,CP06 - Granby
CP07,Laval,CP07,CP07 - Laval
CP02,Blainville,CP07,CP07 - Laval
CP08,Longueuil,CP08,CP08 - Longueuil
CP44,St-Constant,CP08,CP08 - Longueuil
CP48,Beloeil,CP08,CP08 - Longueuil
CP10,Saint-Jérôme,CP10,CP10 - Saint-Jérôme
CP46,Sainte-Agathe-des-Monts,CP46,CP46 - Sainte-Agathe-des-Monts
CP12,St-Georges-de-Beauce,CP12,CP12 - St-Georges-de-Beauce
CP13,Victoriaville,CP13,CP13 - Victoriaville
CP15,Repentigny,CP15,CP15 - Aquavitae
CP28,Pointe-aux-Trembles,CP15,CP15 - Aquavitae
CP33,Sorel-Tracy,CP15,CP15 - Aquavitae
CP39,Joliette,CP15,CP15 - Aquavitae
CP16,Chicoutimi,CP16,CP16 - Chicoutimi
CP17,Trois-Rivières,CP17,CP17 - Trois-Rivières
CP18,Val-d'Or,CP18,CP18 - Val-d'Or
CP35,Saint-Jean-sur-Richelieu,CP35,CP35 - Saint-Jean-sur-Richelieu
CP36,Saint-Eustache,CP36,CP36 - Saint-Eustache
CP37,Gatineau,CP37,CP37 - Gatineau
CP202,Nepean,CP37,CP37 - Gatineau
CP40,Thetford Mines,CP40,CP40 - Thetford Mines
CP47,Riviere-du-Loup,CP47,CP47 - Riviere-du-Loup
