store_code,city,division_code,wMAPE,Avg_Sales,CV,model
CP02,Blainville,BQ,3250000.0,5.41,0.93,Simple_Avg
CP02,Blainville,CH,1.75,6.83,0.82,Simple_Avg
CP02,Blainville,FI,1.0,4.69,1.39,Simple_Avg
CP02,Blainville,GA,1000000.0,9.61,0.88,Simple_Avg
CP02,Blainville,HT,1.75,5.64,0.82,Simple_Avg
CP02,Blainville,LO,6.0,69.57,1.36,Simple_Avg
CP02,Blainville,ME,8250000.0,87.63,1.14,Simple_Avg
CP02,Blainville,PA,0.25,12.11,0.9,Simple_Avg
CP02,Blainville,SP,1000000.0,2.12,0.57,Simple_Avg
CP02,Blainville,TO,0.75,8.49,0.95,Simple_Avg
CP04,Drummondville,BQ,0.0,4.71,0.94,Simple_Avg
CP04,Drummondville,CH,0.0,5.77,0.75,Simple_Avg
CP04,Drummondville,FI,0.4167,5.21,1.22,Simple_Avg
CP04,Drummondville,GA,5.25,7.78,0.99,Simple_Avg
CP04,Drummondville,HT,0.5833,9.78,0.89,Simple_Avg
CP04,Drummondville,LO,0.9286,85.54,1.3,Simple_Avg
CP04,Drummondville,ME,0.625,45.76,1.2,Simple_Avg
CP04,Drummondville,PA,1.75,7.03,0.87,Simple_Avg
CP04,Drummondville,SP,0.25,2.89,0.69,Simple_Avg
CP04,Drummondville,TO,0.5,8.04,0.98,Simple_Avg
CP05,Sherbrooke,BQ,0.25,13.55,1.11,Simple_Avg
CP05,Sherbrooke,CH,0.25,11.0,1.03,Simple_Avg
CP05,Sherbrooke,FI,4.25,6.06,1.24,Simple_Avg
CP05,Sherbrooke,GA,0.25,12.64,1.05,Simple_Avg
CP05,Sherbrooke,HT,0.625,9.42,0.94,Simple_Avg
CP05,Sherbrooke,LO,5.95,62.68,1.39,Simple_Avg
CP05,Sherbrooke,ME,0.8636,104.82,1.38,Simple_Avg
CP05,Sherbrooke,PA,0.75,15.18,1.05,Simple_Avg
CP05,Sherbrooke,SP,0.75,6.87,1.0,Simple_Avg
CP05,Sherbrooke,TO,750000.0,15.5,1.24,Simple_Avg
CP06,Granby,BQ,0.5,19.05,1.1,Simple_Avg
CP06,Granby,CH,0.25,6.03,0.79,Simple_Avg
CP06,Granby,FI,3.25,9.05,2.0,Simple_Avg
CP06,Granby,GA,43.75,30.25,1.66,Simple_Avg
CP06,Granby,HT,2.0,5.97,0.8,Simple_Avg
CP06,Granby,LO,2.25,66.72,1.29,Simple_Avg
CP06,Granby,ME,0.375,185.03,1.21,Simple_Avg
CP06,Granby,PA,0.5,12.18,1.56,Simple_Avg
CP06,Granby,SP,0.25,4.19,0.73,Simple_Avg
CP06,Granby,TO,0.75,8.28,0.76,Simple_Avg
CP07,Laval,BQ,1.25,18.84,0.97,Simple_Avg
CP07,Laval,CH,0.25,9.22,0.94,Simple_Avg
CP07,Laval,FI,10.25,11.52,0.74,Simple_Avg
CP07,Laval,GA,1.0,21.26,0.92,Simple_Avg
CP07,Laval,HT,1.75,8.75,0.82,Simple_Avg
CP07,Laval,LO,0.5303,131.33,1.41,Simple_Avg
CP07,Laval,ME,0.2237,257.82,1.1,Simple_Avg
CP07,Laval,PA,22000000.0,26.22,1.15,Simple_Avg
CP07,Laval,SP,1.0,4.34,0.51,Simple_Avg
CP07,Laval,TO,0.5,14.14,0.85,Simple_Avg
CP07,Liquidation,BQ,1.0,8.73,0.91,Simple_Avg
CP07,Liquidation,CH,1250000.0,2.81,0.88,Simple_Avg
CP07,Liquidation,FI,0.0,1.12,0.31,Simple_Avg
CP07,Liquidation,GA,0.25,16.27,0.8,Simple_Avg
CP07,Liquidation,LO,6.0,83.81,1.16,Simple_Avg
CP07,Liquidation,ME,0.1607,281.67,0.97,Simple_Avg
CP07,Liquidation,PA,0.25,32.14,1.04,Simple_Avg
CP07,Liquidation,PC,0.0625,332.06,1.0,Simple_Avg
CP07,Liquidation,SP,0.25,1.56,0.58,Simple_Avg
CP08,Longueuil,BQ,2.25,9.48,0.91,Simple_Avg
CP08,Longueuil,CH,1.75,5.5,0.77,Simple_Avg
CP08,Longueuil,FI,3.5,6.98,1.0,Simple_Avg
CP08,Longueuil,GA,1750000.0,9.67,2.48,Simple_Avg
CP08,Longueuil,HT,1250000.0,5.91,0.91,Simple_Avg
CP08,Longueuil,LO,1.8,54.77,1.36,Simple_Avg
CP08,Longueuil,ME,0.5625,71.65,1.16,Simple_Avg
CP08,Longueuil,PA,0.25,8.29,1.09,Simple_Avg
CP08,Longueuil,SP,0.0,1.87,0.62,Simple_Avg
CP08,Longueuil,TO,0.0,6.25,0.95,Simple_Avg
CP10,Saint-Jérôme,BQ,1.5,22.99,1.12,Simple_Avg
CP10,Saint-Jérôme,CH,0.5,6.34,0.78,Simple_Avg
CP10,Saint-Jérôme,FI,0.5,4.65,1.14,Simple_Avg
CP10,Saint-Jérôme,GA,0.875,10.73,1.0,Simple_Avg
CP10,Saint-Jérôme,HT,1250000.0,6.17,0.74,Simple_Avg
CP10,Saint-Jérôme,LO,0.2188,80.8,1.4,Simple_Avg
CP10,Saint-Jérôme,ME,0.4028,114.08,1.24,Simple_Avg
CP10,Saint-Jérôme,PA,0.625,19.83,1.04,Simple_Avg
CP10,Saint-Jérôme,SP,0.5769,29.89,0.97,Simple_Avg
CP10,Saint-Jérôme,TO,250000.0,9.14,1.54,Simple_Avg
CP12,St-Georges-de-Beauce,BQ,0.0,6.1,0.98,Simple_Avg
CP12,St-Georges-de-Beauce,CH,0.25,4.86,0.99,Simple_Avg
CP12,St-Georges-de-Beauce,FI,0.8611,3.48,1.68,Simple_Avg
CP12,St-Georges-de-Beauce,GA,1500000.0,5.98,1.0,Simple_Avg
CP12,St-Georges-de-Beauce,HT,1500000.0,23.69,1.69,Simple_Avg
CP12,St-Georges-de-Beauce,LO,1.75,15.45,1.27,Simple_Avg
CP12,St-Georges-de-Beauce,ME,0.9812,28.12,1.72,Simple_Avg
CP12,St-Georges-de-Beauce,PA,250000.0,2.79,1.33,Simple_Avg
CP12,St-Georges-de-Beauce,PC,1.1765,196.48,1.17,Simple_Avg
CP12,St-Georges-de-Beauce,SP,0.0,2.0,0.7,Simple_Avg
CP12,St-Georges-de-Beauce,TO,0.25,5.4,1.1,Simple_Avg
CP13,Victoriaville,BQ,0.125,8.04,0.86,Simple_Avg
CP13,Victoriaville,CH,2500000.0,6.4,0.76,Simple_Avg
CP13,Victoriaville,FI,4250000.0,3.25,0.9,Simple_Avg
CP13,Victoriaville,GA,0.75,6.88,0.79,Simple_Avg
CP13,Victoriaville,HT,0.5,7.61,0.85,Simple_Avg
CP13,Victoriaville,LO,5.25,33.51,1.24,Simple_Avg
CP13,Victoriaville,ME,0.1,47.23,1.18,Simple_Avg
CP13,Victoriaville,PA,1.0,5.84,1.05,Simple_Avg
CP13,Victoriaville,PC,0.6011,455.32,1.07,Simple_Avg
CP13,Victoriaville,SP,0.25,2.94,0.63,Simple_Avg
CP13,Victoriaville,TO,0.0,6.1,0.88,Simple_Avg
CP15,Repentigny,BQ,0.25,12.15,1.1,Simple_Avg
CP15,Repentigny,CH,2.25,6.55,1.19,Simple_Avg
CP15,Repentigny,FI,4.25,5.29,0.72,Simple_Avg
CP15,Repentigny,GA,5.5,12.13,1.32,Simple_Avg
CP15,Repentigny,HT,2000000.0,6.2,1.06,Simple_Avg
CP15,Repentigny,LO,0.3182,62.51,1.55,Simple_Avg
CP15,Repentigny,ME,0.6,75.34,1.34,Simple_Avg
CP15,Repentigny,PA,1250000.0,10.69,0.96,Simple_Avg
CP15,Repentigny,SP,2500000.0,2.07,0.57,Simple_Avg
CP15,Repentigny,TO,0.75,5.25,1.05,Simple_Avg
CP16,Chicoutimi,BQ,0.6,21.54,1.18,Simple_Avg
CP16,Chicoutimi,CH,0.875,10.51,0.87,Simple_Avg
CP16,Chicoutimi,FI,2.5,5.46,0.87,Simple_Avg
CP16,Chicoutimi,GA,0.25,14.32,1.01,Simple_Avg
CP16,Chicoutimi,HT,1250000.0,10.45,1.05,Simple_Avg
CP16,Chicoutimi,LO,0.8409,83.93,1.2,Simple_Avg
CP16,Chicoutimi,ME,1.5,70.27,1.21,Simple_Avg
CP16,Chicoutimi,PA,4.0,5.04,0.89,Simple_Avg
CP16,Chicoutimi,SP,0.375,3.45,0.76,Simple_Avg
CP16,Chicoutimi,TO,0.75,7.07,1.21,Simple_Avg
CP17,Trois-Rivières,BQ,0.9167,9.66,0.96,Simple_Avg
CP17,Trois-Rivières,CH,750000.0,14.48,0.8,Simple_Avg
CP17,Trois-Rivières,FI,1.5,9.26,0.8,Simple_Avg
CP17,Trois-Rivières,GA,2.5,12.99,0.92,Simple_Avg
CP17,Trois-Rivières,HT,6000000.0,12.22,0.96,Simple_Avg
CP17,Trois-Rivières,LO,4.25,59.63,1.29,Simple_Avg
CP17,Trois-Rivières,ME,1.0625,57.56,1.11,Simple_Avg
CP17,Trois-Rivières,PA,3.25,7.6,1.06,Simple_Avg
CP17,Trois-Rivières,SP,1250000.0,3.07,0.64,Simple_Avg
CP17,Trois-Rivières,TO,0.0,7.61,0.99,Simple_Avg
CP202,Nepean,BQ,0.0,1.48,0.51,Simple_Avg
CP202,Nepean,CH,0.25,1.37,0.5,Simple_Avg
CP202,Nepean,FI,0.75,2.83,0.81,Simple_Avg
CP202,Nepean,GA,1750000.0,5.98,0.88,Simple_Avg
CP202,Nepean,LO,6.75,21.79,1.17,Simple_Avg
CP202,Nepean,ME,0.0,47.88,1.06,Simple_Avg
CP202,Nepean,PA,0.0833,12.39,0.82,Simple_Avg
CP202,Nepean,SP,3.25,4.05,0.74,Simple_Avg
CP202,Nepean,TO,0.125,1.27,0.62,Simple_Avg
CP28,Pointe-aux-Trembles,BQ,1.5,2.87,0.69,Simple_Avg
CP28,Pointe-aux-Trembles,CH,0.5,3.07,0.75,Simple_Avg
CP28,Pointe-aux-Trembles,FI,0.5,1.87,0.66,Simple_Avg
CP28,Pointe-aux-Trembles,GA,0.25,3.42,0.83,Simple_Avg
CP28,Pointe-aux-Trembles,HT,750000.0,4.51,0.96,Simple_Avg
CP28,Pointe-aux-Trembles,LO,0.875,39.35,1.41,Simple_Avg
CP28,Pointe-aux-Trembles,ME,0.5,25.92,1.16,Simple_Avg
CP28,Pointe-aux-Trembles,PA,1.0,5.48,0.9,Simple_Avg
CP28,Pointe-aux-Trembles,SP,0.0,1.2,0.47,Simple_Avg
CP28,Pointe-aux-Trembles,TO,1.0,24.84,3.78,Simple_Avg
CP32,St-Hyacinthe,BQ,0.5,10.24,0.99,Simple_Avg
CP32,St-Hyacinthe,CH,0.25,3.52,0.76,Simple_Avg
CP32,St-Hyacinthe,FI,0.375,3.51,1.0,Simple_Avg
CP32,St-Hyacinthe,GA,6.0,7.58,1.09,Simple_Avg
CP32,St-Hyacinthe,HT,1.5,3.51,0.75,Simple_Avg
CP32,St-Hyacinthe,LO,0.75,42.83,1.43,Simple_Avg
CP32,St-Hyacinthe,ME,3.5,52.45,1.23,Simple_Avg
CP32,St-Hyacinthe,PA,0.5,5.61,0.79,Simple_Avg
CP32,St-Hyacinthe,SP,0.5,1.95,0.68,Simple_Avg
CP32,St-Hyacinthe,TO,0.25,4.3,0.8,Simple_Avg
CP33,Sorel-Tracy,BQ,0.0,3.05,0.8,Simple_Avg
CP33,Sorel-Tracy,CH,0.25,2.49,0.77,Simple_Avg
CP33,Sorel-Tracy,FI,0.5,1.82,0.58,Simple_Avg
CP33,Sorel-Tracy,GA,1.25,4.47,0.81,Simple_Avg
CP33,Sorel-Tracy,HT,0.0,5.53,0.96,Simple_Avg
CP33,Sorel-Tracy,LO,0.25,18.79,1.42,Simple_Avg
CP33,Sorel-Tracy,ME,2.5,22.43,1.22,Simple_Avg
CP33,Sorel-Tracy,PA,0.0,6.39,0.75,Simple_Avg
CP33,Sorel-Tracy,PC,2.6667,259.76,1.14,Simple_Avg
CP33,Sorel-Tracy,SP,0.25,1.54,0.55,Simple_Avg
CP33,Sorel-Tracy,TO,1.0,4.08,0.87,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,BQ,1.5,7.31,1.02,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,CH,0.75,7.38,0.8,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,FI,0.25,3.15,0.78,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,GA,1250000.0,8.27,1.1,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,HT,0.15,11.86,0.89,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,LO,0.6154,98.07,1.42,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,ME,0.25,47.46,1.17,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,PA,0.5,7.34,1.23,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,SP,0.0,2.95,0.64,Simple_Avg
CP35,Saint-Jean-sur-Richelieu,TO,3.25,8.62,0.95,Simple_Avg
CP36,Saint-Eustache,BQ,0.3,17.85,1.52,Simple_Avg
CP36,Saint-Eustache,CH,0.0,9.5,1.18,Simple_Avg
CP36,Saint-Eustache,FI,0.0,5.97,0.74,Simple_Avg
CP36,Saint-Eustache,GA,0.1875,17.85,1.26,Simple_Avg
CP36,Saint-Eustache,HT,0.0,4.01,0.86,Simple_Avg
CP36,Saint-Eustache,LO,2.5833,96.95,1.54,Simple_Avg
CP36,Saint-Eustache,ME,0.985,78.22,1.23,Simple_Avg
CP36,Saint-Eustache,PA,3.375,15.15,1.05,Simple_Avg
CP36,Saint-Eustache,SP,2.5,2.67,1.67,Simple_Avg
CP36,Saint-Eustache,TO,0.5,7.05,1.02,Simple_Avg
CP37,Gatineau,BQ,1.5,4.86,0.93,Simple_Avg
CP37,Gatineau,CH,1.25,5.29,0.78,Simple_Avg
CP37,Gatineau,FI,0.625,2.64,0.97,Simple_Avg
CP37,Gatineau,GA,1.5,8.26,2.64,Simple_Avg
CP37,Gatineau,HT,1.5,6.06,0.86,Simple_Avg
CP37,Gatineau,LO,2.0,55.24,1.22,Simple_Avg
CP37,Gatineau,ME,30000000.0,84.35,1.25,Simple_Avg
CP37,Gatineau,PA,6.0,15.85,1.14,Simple_Avg
CP37,Gatineau,SP,1500000.0,3.16,0.86,Simple_Avg
CP37,Gatineau,TO,0.25,10.2,0.84,Simple_Avg
CP39,Joliette,BQ,0.25,3.88,0.94,Simple_Avg
CP39,Joliette,CH,1.75,3.34,0.72,Simple_Avg
CP39,Joliette,FI,2.75,2.87,1.12,Simple_Avg
CP39,Joliette,GA,0.0,6.13,1.02,Simple_Avg
CP39,Joliette,HT,0.75,5.62,0.87,Simple_Avg
CP39,Joliette,LO,0.75,33.71,1.29,Simple_Avg
CP39,Joliette,ME,0.4167,27.87,1.03,Simple_Avg
CP39,Joliette,PA,1.25,3.96,0.91,Simple_Avg
CP39,Joliette,PC,0.2714,268.09,1.16,Simple_Avg
CP39,Joliette,SP,0.25,1.9,0.6,Simple_Avg
CP39,Joliette,TO,0.0,4.16,0.78,Simple_Avg
CP40,Thetford Mines,BQ,0.375,2.0,0.67,Simple_Avg
CP40,Thetford Mines,CH,0.375,5.96,0.75,Simple_Avg
CP40,Thetford Mines,GA,0.125,2.64,0.78,Simple_Avg
CP40,Thetford Mines,HT,0.5,2.57,0.73,Simple_Avg
CP40,Thetford Mines,LO,0.0,10.24,1.11,Simple_Avg
CP40,Thetford Mines,ME,0.3214,16.61,1.11,Simple_Avg
CP40,Thetford Mines,PA,0.0,3.35,0.79,Simple_Avg
CP40,Thetford Mines,PC,4.9167,205.32,1.23,Simple_Avg
CP40,Thetford Mines,SP,0.125,1.66,0.59,Simple_Avg
CP40,Thetford Mines,TO,0.125,4.88,0.93,Simple_Avg
CP44,St-Constant,BQ,0.125,7.8,0.94,Simple_Avg
CP44,St-Constant,CH,1.25,3.87,0.7,Simple_Avg
CP44,St-Constant,FI,0.3333,3.28,0.8,Simple_Avg
CP44,St-Constant,GA,0.7361,5.48,1.0,Simple_Avg
CP44,St-Constant,HT,2250000.0,5.14,0.88,Simple_Avg
CP44,St-Constant,LO,0.7037,45.0,1.22,Simple_Avg
CP44,St-Constant,ME,1.25,29.64,1.21,Simple_Avg
CP44,St-Constant,PA,0.25,6.02,0.74,Simple_Avg
CP44,St-Constant,PC,0.0379,347.13,1.19,Simple_Avg
CP44,St-Constant,SP,0.25,1.73,0.67,Simple_Avg
CP44,St-Constant,TO,0.5,4.89,0.98,Simple_Avg
CP45,Cowansville,BQ,1.0,9.41,0.96,Simple_Avg
CP45,Cowansville,CH,0.5,2.4,0.66,Simple_Avg
CP45,Cowansville,FI,0.375,2.8,0.88,Simple_Avg
