store_code,city,province,week_ending,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days
CP02,Blainville,QC,2023-11-05,2.7,7.3,0.0,4.52,0,0,0
CP02,Blainville,QC,2023-11-12,1.14,9.6,14.5,42.62,3,1,4
CP02,Blainville,QC,2023-11-19,2.13,15.4,9.1,39.07,1,3,4
CP02,Blainville,QC,2023-11-26,-1.9,4.4,15.4,44.33,2,2,4
CP02,Blainville,QC,2023-12-03,0.06,8.4,34.3,30.05,1,5,6
CP02,Blainville,QC,2023-12-10,-6.73,4.6,26.3,24.06,2,2,4
CP02,Blainville,QC,2023-12-17,-1.13,6.8,17.5,31.87,1,2,3
CP02,Blainville,QC,2023-12-24,-3.19,6.9,49.1,30.63,1,1,2
CP02,Blainville,QC,2023-12-31,0.51,4.9,9.5,9.19,3,1,4
CP02,Blainville,QC,2024-01-07,-5.41,2.2,13.1,27.49,0,4,4
CP02,Blainville,QC,2024-01-14,-4.69,5.3,35.6,28.04,0,5,5
CP02,Blainville,QC,2024-01-21,-12.76,-5.4,3.6,41.54,0,3,3
CP02,Blainville,QC,2024-01-28,-3.5,2.2,18.3,22.99,0,4,4
CP02,Blainville,QC,2024-02-04,-5.24,2.5,3.1,35.23,0,3,3
CP02,Blainville,QC,2024-02-11,-2.83,8.2,2.5,53.14,2,2,4
CP02,Blainville,QC,2024-02-18,-7.73,2.0,8.3,41.96,0,6,6
CP02,Blainville,QC,2024-02-25,-7.8,5.2,1.1,61.18,1,1,2
CP02,Blainville,QC,2024-03-03,-1.16,13.9,13.0,51.2,2,2,4
CP02,Blainville,QC,2024-03-10,2.9,12.9,36.0,36.13,2,1,3
CP02,Blainville,QC,2024-03-17,2.23,13.1,17.2,56.21,0,5,5
CP02,Blainville,QC,2024-03-24,-3.16,5.1,10.4,53.59,0,4,4
CP02,Blainville,QC,2024-03-31,3.87,15.1,2.9,70.81,1,0,1
CP02,Blainville,QC,2024-04-07,2.97,13.4,35.8,46.23,1,3,4
CP02,Blainville,QC,2024-04-14,9.03,21.0,59.6,50.17,5,0,5
CP02,Blainville,QC,2024-04-21,6.91,14.1,14.6,64.09,4,1,5
CP02,Blainville,QC,2024-04-28,7.14,20.5,25.5,74.13,3,1,4
CP02,Blainville,QC,2024-05-05,10.34,20.0,27.0,37.28,6,0,6
CP02,Blainville,QC,2024-05-12,12.16,22.1,10.4,77.82,4,0,4
CP02,Blainville,QC,2024-05-19,17.0,24.7,13.4,81.91,6,0,6
CP02,Blainville,QC,2024-05-26,19.51,29.4,4.1,88.52,4,0,4
CP02,Blainville,QC,2024-06-02,17.44,26.7,19.2,84.92,2,0,2
CP02,Blainville,QC,2024-06-09,19.81,29.8,42.4,83.22,5,0,5
CP02,Blainville,QC,2024-06-16,16.67,27.6,15.9,70.94,4,0,4
CP02,Blainville,QC,2024-06-23,23.33,33.3,67.1,60.68,4,0,4
