week_ending,store_code,city,division_code,sales,units,n_transactions
2025-06-08,CP08,Longueuil,AM,153.95,5.0,5
2025-06-08,CP08,Longueuil,AP,59742.19,1921.0,1292
2025-06-08,CP08,Longueuil,AS,9358.32,720.0,95
2025-06-08,CP08,Longueuil,AZ,14.96,4.0,3
2025-06-08,CP08,Longueuil,BQ,1779.48,28.0,25
2025-06-08,CP08,Longueuil,CC,0.0,1.0,1
2025-06-08,CP08,Longueuil,CH,22609.84,16.0,15
2025-06-08,CP08,Longueuil,FI,2791.98,4.0,3
2025-06-08,CP08,Longueuil,GA,8937.82,8.0,6
2025-06-08,CP08,Longueuil,HT,16270.0,5.0,5
2025-06-08,CP08,Longueuil,IN,7564.97,10.0,10
2025-06-08,CP08,Longueuil,INM,3764.99,13.0,13
2025-06-08,CP08,Longueuil,LI,1904.81,50.0,50
2025-06-08,CP08,Longueuil,LO,1488.78,101.0,76
2025-06-08,CP08,Longueuil,ME,46882.67,240.0,131
2025-06-08,CP08,Longueuil,MK,10.0,3.0,3
2025-06-08,CP08,Longueuil,PA,6862.08,25.0,24
2025-06-08,CP08,Longueuil,PC,43602.29,2029.0,1520
2025-06-08,CP08,Longueuil,PI,9391.68,424.0,320
2025-06-08,CP08,Longueuil,SE,3449.83,49.0,49
2025-06-08,CP08,Longueuil,SP,9369.01,1.0,1
2025-06-08,CP08,Longueuil,TO,3389.92,13.0,13
2025-06-08,CP202,Nepean,AP,28311.91,559.0,362
2025-06-08,CP202,Nepean,AS,7351.12,101.0,85
2025-06-08,CP202,Nepean,BQ,1299.99,1.0,1
2025-06-08,CP202,Nepean,CH,4959.99,1.0,1
2025-06-08,CP202,Nepean,DI,16.860000000000014,34.0,36
2025-06-08,CP202,Nepean,GA,47458.88,14.0,14
2025-06-08,CP202,Nepean,IN,4734.0,14.0,14
2025-06-08,CP202,Nepean,LI,1984.88,19.0,19
2025-06-08,CP202,Nepean,LO,421.59000000000003,41.0,32
2025-06-08,CP202,Nepean,ME,31546.11,104.0,73
2025-06-08,CP202,Nepean,MK,2.9699999999999998,3.0,3
2025-06-08,CP202,Nepean,PA,7706.28,23.0,36
2025-06-08,CP202,Nepean,PC,39021.79,2100.0,1710
2025-06-08,CP202,Nepean,PI,9000.47,508.0,379
2025-06-08,CP202,Nepean,SP,55497.0,3.0,3
2025-06-08,CP202,Nepean,TO,559.99,1.0,1
2025-06-08,CP37,Gatineau,AM,549.99,1.0,1
2025-06-08,CP37,Gatineau,AP,81334.5,2669.0,1204
2025-06-08,CP37,Gatineau,AS,4195.7699999999995,109.0,98
2025-06-08,CP37,Gatineau,BQ,4286.23,12.0,10
2025-06-08,CP37,Gatineau,CH,12676.99,4.0,4
2025-06-08,CP37,Gatineau,CR,17559.92,3.0,3
2025-06-08,CP37,Gatineau,DI,80.93,11.0,9
2025-06-08,CP37,Gatineau,FI,3389.9799999999996,2.0,2
2025-06-08,CP37,Gatineau,GA,13899.92,8.0,7
2025-06-08,CP37,Gatineau,HT,19483.04,7.0,7
2025-06-08,CP37,Gatineau,IN,12516.95,116.0,49
2025-06-08,CP37,Gatineau,LI,2504.93,17.0,17
2025-06-08,CP37,Gatineau,LO,1395.46,104.0,81
2025-06-08,CP37,Gatineau,ME,34591.76,177.0,126
2025-06-08,CP37,Gatineau,MK,35.76,158.0,139
2025-06-08,CP37,Gatineau,PA,4759.95,27.0,28
2025-06-08,CP37,Gatineau,PC,76960.02,3588.0,2929
2025-06-08,CP37,Gatineau,PI,19219.95,1850.0,1250
2025-06-08,CP37,Gatineau,SE,1395.0,17.0,17
2025-06-08,CP37,Gatineau,SP,50890.31,3.0,3
2025-06-08,CP37,Gatineau,TO,11590.81,30.0,34
2025-06-08,CP44,St-Constant,AM,199.99,1.0,1
2025-06-08,CP44,St-Constant,AP,45823.85,1206.0,840
2025-06-08,CP44,St-Constant,AS,3148.36,350.0,74
2025-06-08,CP44,St-Constant,AZ,14.950000000000001,5.0,3
2025-06-08,CP44,St-Constant,BQ,4399.9,15.0,17
2025-06-08,CP44,St-Constant,CC,0.0,1.0,1
2025-06-08,CP44,St-Constant,CH,13379.939999999999,6.0,6
2025-06-08,CP44,St-Constant,FI,26.99,1.0,1
2025-06-08,CP44,St-Constant,GA,10389.92,8.0,8
2025-06-08,CP44,St-Constant,HT,12051.029999999999,4.0,4
2025-06-08,CP44,St-Constant,IN,6434.98,8.0,8
2025-06-08,CP44,St-Constant,INM,4709.98,11.0,11
2025-06-08,CP44,St-Constant,LI,1547.92,39.0,34
2025-06-08,CP44,St-Constant,LO,2046.95,124.0,100
2025-06-08,CP44,St-Constant,ME,10874.84,60.0,42
2025-06-08,CP44,St-Constant,MK,1.99,2.0,2
2025-06-08,CP44,St-Constant,PA,2083.7400000000002,13.0,12
2025-06-08,CP44,St-Constant,PC,23542.75,1076.0,840
2025-06-08,CP44,St-Constant,PI,4816.49,160.0,150
2025-06-08,CP44,St-Constant,SE,669.98,11.0,11
2025-06-08,CP44,St-Constant,SP,27247.010000000002,3.0,3
2025-06-08,CP44,St-Constant,TO,3631.98,7.0,7
2025-06-08,CP48,Beloeil,AM,249.97,3.0,3
2025-06-08,CP48,Beloeil,AP,66002.28,1693.0,1278
2025-06-08,CP48,Beloeil,AS,3272.45,670.0,67
2025-06-08,CP48,Beloeil,AZ,56.86,14.0,16
2025-06-08,CP48,Beloeil,BQ,6711.84,22.0,24
2025-06-08,CP48,Beloeil,CC,0.0,6.0,6
2025-06-08,CP48,Beloeil,CH,17299.93,7.0,7
2025-06-08,CP48,Beloeil,DI,200.0,1.0,1
2025-06-08,CP48,Beloeil,GA,2699.99,1.0,1
2025-06-08,CP48,Beloeil,HT,7417.0,3.0,3
2025-06-08,CP48,Beloeil,IN,5164.98,7.0,7
2025-06-08,CP48,Beloeil,INM,370.0,3.0,3
2025-06-08,CP48,Beloeil,LI,674.93,25.0,25
2025-06-08,CP48,Beloeil,LO,3112.31,159.0,127
2025-06-08,CP48,Beloeil,ME,35301.68,117.0,73
2025-06-08,CP48,Beloeil,MK,1.99,1.0,1
2025-06-08,CP48,Beloeil,PA,2345.34,7.0,7
2025-06-08,CP48,Beloeil,PC,46096.67,2184.0,1599
2025-06-08,CP48,Beloeil,PI,5240.89,224.0,180
2025-06-08,CP48,Beloeil,SE,949.9100000000001,11.0,11
2025-06-08,CP48,Beloeil,TO,1822.46,8.0,8
2025-06-15,CP08,Longueuil,AM,674.9300000000001,7.0,6
2025-06-15,CP08,Longueuil,AP,72978.14,1672.5,1253
2025-06-15,CP08,Longueuil,AS,5661.65,609.0,99
2025-06-15,CP08,Longueuil,AZ,41.900000000000006,10.0,10
2025-06-15,CP08,Longueuil,BQ,1353.29,9.0,12
2025-06-15,CP08,Longueuil,CH,20589.9,11.0,13
2025-06-15,CP08,Longueuil,FI,2189.7599999999998,12.0,8
2025-06-15,CP08,Longueuil,HT,10842.01,4.0,4
2025-06-15,CP08,Longueuil,IN,5654.97,8.0,8
2025-06-15,CP08,Longueuil,INM,6498.0,18.0,18
2025-06-15,CP08,Longueuil,LI,1519.8999999999999,37.0,37
2025-06-15,CP08,Longueuil,LO,3464.7,179.0,139
2025-06-15,CP08,Longueuil,ME,34456.65,168.0,126
2025-06-15,CP08,Longueuil,MK,10.0,2.0,2
2025-06-15,CP08,Longueuil,PA,5984.6,23.0,22
2025-06-15,CP08,Longueuil,PC,37526.909999999996,1823.0,1355
2025-06-15,CP08,Longueuil,PI,11728.18,393.0,344
2025-06-15,CP08,Longueuil,SE,1354.92,34.0,34
2025-06-15,CP08,Longueuil,SP,20348.0,2.0,2
2025-06-15,CP08,Longueuil,TO,8204.96,10.0,10
2025-06-15,CP202,Nepean,AM,398.22,1.0,1
2025-06-15,CP202,Nepean,AP,16704.38,312.0,285
2025-06-15,CP202,Nepean,AS,5867.77,86.0,75
2025-06-15,CP202,Nepean,BQ,314.99,2.0,2
2025-06-15,CP202,Nepean,DI,79.92,40.0,35
2025-06-15,CP202,Nepean,GA,22049.91,9.0,9
2025-06-15,CP202,Nepean,IN,1304.0,8.0,8
2025-06-15,CP202,Nepean,LI,3284.85,22.0,22
2025-06-15,CP202,Nepean,LO,623.98,52.0,48
2025-06-15,CP202,Nepean,ME,24349.68,93.0,65
2025-06-15,CP202,Nepean,MK,0.99,3.0,3
2025-06-15,CP202,Nepean,PA,5337.29,23.0,20
2025-06-15,CP202,Nepean,PC,31292.06,1636.0,1328
2025-06-15,CP202,Nepean,PI,3278.64,262.0,269
2025-06-15,CP202,Nepean,SP,52245.0,5.0,5
2025-06-15,CP202,Nepean,TO,0.0,1.0,1
2025-06-15,CP37,Gatineau,AM,1541.3600000000001,3.0,3
2025-06-15,CP37,Gatineau,AP,62309.49,1901.0,959
2025-06-15,CP37,Gatineau,AS,7675.17,117.0,105
2025-06-15,CP37,Gatineau,BQ,3611.89,12.0,12
2025-06-15,CP37,Gatineau,CA,399.99,1.0,1
2025-06-15,CP37,Gatineau,CH,28646.9,13.0,13
2025-06-15,CP37,Gatineau,DI,185.92,13.0,13
2025-06-15,CP37,Gatineau,GA,44640.7,16.0,14
2025-06-15,CP37,Gatineau,HT,15974.5,5.0,5
2025-06-15,CP37,Gatineau,IN,12937.960000000001,34.0,34
2025-06-15,CP37,Gatineau,LI,1862.9,15.0,15
2025-06-15,CP37,Gatineau,LO,2369.23,127.0,107
2025-06-15,CP37,Gatineau,ME,39460.49,222.0,130
2025-06-15,CP37,Gatineau,MK,29.84,135.0,116
2025-06-15,CP37,Gatineau,PA,1476.84,17.0,17
2025-06-15,CP37,Gatineau,PC,68999.19,3110.0,2627
2025-06-15,CP37,Gatineau,PI,17285.58,1552.0,1130
2025-06-15,CP37,Gatineau,SE,325.0,5.0,5
2025-06-15,CP37,Gatineau,SP,12999.0,1.0,1
2025-06-15,CP37,Gatineau,TO,8363.44,21.0,23
2025-06-15,CP44,St-Constant,AM,409.97,3.0,2
2025-06-15,CP44,St-Constant,AP,39240.590000000004,1250.5,844
2025-06-15,CP44,St-Constant,AS,2918.19,514.0,70
2025-06-15,CP44,St-Constant,AZ,21.340000000000003,6.0,6
2025-06-15,CP44,St-Constant,BQ,2269.83,21.0,21
2025-06-15,CP44,St-Constant,CC,0.0,2.0,2
2025-06-15,CP44,St-Constant,CH,18259.93,9.0,9
2025-06-15,CP44,St-Constant,FI,6004.99,14.0,9
2025-06-15,CP44,St-Constant,GA,8949.98,2.0,2
2025-06-15,CP44,St-Constant,HT,15270.0,5.0,5
2025-06-15,CP44,St-Constant,IN,7754.97,10.0,10
2025-06-15,CP44,St-Constant,INM,2829.98,7.0,7
2025-06-15,CP44,St-Constant,LI,1119.92,31.0,31
2025-06-15,CP44,St-Constant,LO,2326.67,120.0,105
2025-06-15,CP44,St-Constant,ME,17415.09,100.0,52
2025-06-15,CP44,St-Constant,MK,1.99,1.0,1
2025-06-15,CP44,St-Constant,PA,3542.9,14.0,14
2025-06-15,CP44,St-Constant,PC,20725.21,991.0,735
2025-06-15,CP44,St-Constant,PI,4309.0,155.0,139
2025-06-15,CP44,St-Constant,SE,444.98,7.0,7
2025-06-15,CP44,St-Constant,SP,10449.0,1.0,1
2025-06-15,CP44,St-Constant,TO,3919.9300000000003,11.0,11
2025-06-15,CP48,Beloeil,AM,565.96,4.0,4
2025-06-15,CP48,Beloeil,AP,55782.12,1646.0,1207
2025-06-15,CP48,Beloeil,AS,2741.7200000000003,580.0,83
2025-06-15,CP48,Beloeil,AZ,38.900000000000006,10.0,9
2025-06-15,CP48,Beloeil,BQ,4803.0,21.0,21
2025-06-15,CP48,Beloeil,CC,0.0,3.0,3
2025-06-15,CP48,Beloeil,CH,17449.9,10.0,10
2025-06-15,CP48,Beloeil,FI,1599.98,2.0,2
2025-06-15,CP48,Beloeil,GA,2259.9700000000003,3.0,3
2025-06-15,CP48,Beloeil,HT,17494.0,6.0,6
2025-06-15,CP48,Beloeil,IN,8479.97,11.0,11
2025-06-15,CP48,Beloeil,INM,2505.0,8.0,8
2025-06-15,CP48,Beloeil,LI,2259.9,44.0,44
2025-06-15,CP48,Beloeil,LO,4240.31,200.0,163
2025-06-15,CP48,Beloeil,ME,28258.55,147.0,88
2025-06-15,CP48,Beloeil,MK,1.99,1.0,1
2025-06-15,CP48,Beloeil,PA,2465.55,17.0,17
2025-06-15,CP48,Beloeil,PC,40069.14,1888.0,1405
2025-06-15,CP48,Beloeil,PI,5201.35,152.0,143
2025-06-15,CP48,Beloeil,SE,389.96,7.0,7
2025-06-15,CP48,Beloeil,SP,47246.0,5.0,5
2025-06-15,CP48,Beloeil,TO,3332.44,12.0,12
2025-06-22,CP08,Longueuil,AM,112.97999999999999,2.0,2
2025-06-22,CP08,Longueuil,AP,73904.55,1483.5,1049
2025-06-22,CP08,Longueuil,AS,2638.95,394.0,66
2025-06-22,CP08,Longueuil,AZ,2.99,1.0,1
2025-06-22,CP08,Longueuil,BQ,8235.28,24.0,23
2025-06-22,CP08,Longueuil,CH,20799.91,9.0,9
2025-06-22,CP08,Longueuil,FI,3207.94,6.0,5
2025-06-22,CP08,Longueuil,GA,7919.94,6.0,6
2025-06-22,CP08,Longueuil,HT,10106.99,4.0,4
2025-06-22,CP08,Longueuil,IN,7419.9400000000005,12.0,12
2025-06-22,CP08,Longueuil,INM,1375.0,3.0,3
2025-06-22,CP08,Longueuil,LI,1079.87,36.0,36
2025-06-22,CP08,Longueuil,LO,2368.75,144.0,114
2025-06-22,CP08,Longueuil,ME,29405.93,181.0,108
2025-06-22,CP08,Longueuil,MK,8.98,3.0,3
2025-06-22,CP08,Longueuil,PA,6012.24,26.0,25
2025-06-22,CP08,Longueuil,PC,35951.06,1593.0,1259
2025-06-22,CP08,Longueuil,PI,11369.02,253.0,203
2025-06-22,CP08,Longueuil,SE,1170.94,46.0,25
2025-06-22,CP08,Longueuil,TO,2124.95,6.0,6
2025-06-22,CP202,Nepean,AP,34057.9,362.0,292
2025-06-22,CP202,Nepean,AS,2627.44,60.0,48
2025-06-22,CP202,Nepean,BQ,179.99,1.0,1
2025-06-22,CP202,Nepean,CH,1899.99,1.0,1
2025-06-22,CP202,Nepean,DI,51.95,31.0,32
2025-06-22,CP202,Nepean,GA,23898.949999999997,6.0,6
2025-06-22,CP202,Nepean,IN,3150.99,7.0,7
2025-06-22,CP202,Nepean,LI,2038.86,17.0,17
2025-06-22,CP202,Nepean,LO,1134.68,32.0,29
2025-06-22,CP202,Nepean,ME,41138.04,165.0,83
2025-06-22,CP202,Nepean,PA,5107.98,19.0,16
2025-06-22,CP202,Nepean,PC,31174.37,1640.0,1383
2025-06-22,CP202,Nepean,PI,4280.61,289.0,247
2025-06-22,CP202,Nepean,SP,23752.0,1.0,1
2025-06-22,CP37,Gatineau,AM,549.99,1.0,3
