week_ending,store_code,city,division_code,categorie,sales,units
2025-06-08,CP08,Longueuil,AM,AR,153.95,5.0
2025-06-08,CP08,Longueuil,AP,AP,9641.0,380.0
2025-06-08,CP08,Longueuil,AP,API,40647.39,343.0
2025-06-08,CP08,Longueuil,AP,PP,9453.8,1198.0
2025-06-08,CP08,Longueuil,AS,AS,4446.38,714.0
2025-06-08,CP08,Longueuil,AS,ASC,4911.9400000000005,6.0
2025-06-08,CP08,Longueuil,AZ,AZF,14.96,4.0
2025-06-08,CP08,Longueuil,BQ,BA,926.8,21.0
2025-06-08,CP08,Longueuil,BQ,BC,52.699999999999996,5.0
2025-06-08,CP08,Longueuil,BQ,BLP,799.98,2.0
2025-06-08,CP08,Longueuil,CC,CC,0.0,1.0
2025-06-08,CP08,Longueuil,CH,THA,149.95,5.0
2025-06-08,CP08,Longueuil,CH,THE,22459.89,11.0
2025-06-08,CP08,Longueuil,FI,AF,32.0,2.0
2025-06-08,CP08,Longueuil,FI,FEE,1099.99,1.0
2025-06-08,CP08,Longueuil,FI,FRA,1659.99,1.0
2025-06-08,CP08,Longueuil,GA,GA,333.97,3.0
2025-06-08,CP08,Longueuil,GA,GAA,499.99,2.0
2025-06-08,CP08,Longueuil,GA,GAP,1903.88,1.0
2025-06-08,CP08,Longueuil,GA,GRC,4499.99,1.0
2025-06-08,CP08,Longueuil,GA,GRS,1699.99,1.0
2025-06-08,CP08,Longueuil,HT,HRE,11597.0,3.0
2025-06-08,CP08,Longueuil,HT,HYB,4673.0,2.0
2025-06-08,CP08,Longueuil,IN,INO,2470.0,1.0
2025-06-08,CP08,Longueuil,IN,INP,3470.0,3.0
2025-06-08,CP08,Longueuil,IN,INT,839.97,3.0
2025-06-08,CP08,Longueuil,IN,INTO,785.0,3.0
2025-06-08,CP08,Longueuil,INM,INMM,569.99,2.0
2025-06-08,CP08,Longueuil,INM,INMP,585.0,4.0
2025-06-08,CP08,Longueuil,INM,INMT,330.0,2.0
2025-06-08,CP08,Longueuil,INM,MNM,2280.0,5.0
2025-06-08,CP08,Longueuil,LI,LV,1904.81,50.0
2025-06-08,CP08,Longueuil,LO,LE,125.92999999999999,7.0
2025-06-08,CP08,Longueuil,LO,LG,696.0,25.0
2025-06-08,CP08,Longueuil,LO,LJ,520.46,54.0
2025-06-08,CP08,Longueuil,LO,LOV,100.94,10.0
2025-06-08,CP08,Longueuil,LO,LP,45.45,5.0
2025-06-08,CP08,Longueuil,ME,M1,6992.81,4.0
2025-06-08,CP08,Longueuil,ME,M3,5496.67,13.0
2025-06-08,CP08,Longueuil,ME,M4,7589.8,52.0
2025-06-08,CP08,Longueuil,ME,M5,8748.289999999999,19.0
2025-06-08,CP08,Longueuil,ME,M7,3444.3,2.0
2025-06-08,CP08,Longueuil,ME,MA,5272.87,78.0
2025-06-08,CP08,Longueuil,ME,MB,2424.4700000000003,4.0
2025-06-08,CP08,Longueuil,ME,MC,1258.47,56.0
2025-06-08,CP08,Longueuil,ME,ME,2435.2799999999997,3.0
2025-06-08,CP08,Longueuil,ME,ML,939.35,1.0
2025-06-08,CP08,Longueuil,ME,MO,479.93,7.0
2025-06-08,CP08,Longueuil,ME,MS,1800.43,1.0
2025-06-08,CP08,Longueuil,MK,MK,10.0,3.0
2025-06-08,CP08,Longueuil,PA,MPP,51.98,2.0
2025-06-08,CP08,Longueuil,PA,PA,1357.06,10.0
2025-06-08,CP08,Longueuil,PA,PM,266.12,4.0
2025-06-08,CP08,Longueuil,PA,PMD,714.98,2.0
2025-06-08,CP08,Longueuil,PA,PS,161.99,1.0
2025-06-08,CP08,Longueuil,PA,PSD,4309.95,6.0
2025-06-08,CP08,Longueuil,PC,PIS,40553.39,1869.0
2025-06-08,CP08,Longueuil,PC,SPA,1651.76,74.0
2025-06-08,CP08,Longueuil,PC,TES,1397.1399999999999,86.0
2025-06-08,CP08,Longueuil,PI,ZAP,6407.780000000001,173.0
2025-06-08,CP08,Longueuil,PI,ZHT,664.0699999999999,74.0
2025-06-08,CP08,Longueuil,PI,ZME,523.32,28.0
2025-06-08,CP08,Longueuil,PI,ZSP,1733.52,148.0
2025-06-08,CP08,Longueuil,PI,ZTH,62.99,1.0
2025-06-08,CP08,Longueuil,SE,SE,3449.83,49.0
2025-06-08,CP08,Longueuil,SP,SP,9369.01,1.0
2025-06-08,CP08,Longueuil,TO,TAC,1499.96,9.0
2025-06-08,CP08,Longueuil,TO,TRA,1889.96,4.0
2025-06-08,CP202,Nepean,AP,AP,7574.62,38.0
2025-06-08,CP202,Nepean,AP,API,13598.65,135.0
2025-06-08,CP202,Nepean,AP,PP,1191.23,177.0
2025-06-08,CP202,Nepean,AP,TES,833.5999999999999,40.0
2025-06-08,CP202,Nepean,AP,ZAP,1092.92,8.0
2025-06-08,CP202,Nepean,AS,AS,3183.51,55.0
2025-06-08,CP202,Nepean,AS,ASC,2179.9700000000003,5.0
2025-06-08,CP202,Nepean,AS,SPA,447.78,22.0
2025-06-08,CP202,Nepean,AS,TES,111.94,6.0
2025-06-08,CP202,Nepean,BQ,BCH,1299.99,1.0
2025-06-08,CP202,Nepean,CH,THE,4959.99,1.0
2025-06-08,CP202,Nepean,GA,GA,1199.99,1.0
2025-06-08,CP202,Nepean,GA,GAP,6499.99,2.0
2025-06-08,CP202,Nepean,GA,GRB,21798.989999999998,2.0
2025-06-08,CP202,Nepean,GA,GRS,17959.91,9.0
2025-06-08,CP202,Nepean,LO,AP,49.99,1.0
2025-06-08,CP202,Nepean,LO,LE,23.96,4.0
2025-06-08,CP202,Nepean,LO,LG,98.96,4.0
2025-06-08,CP202,Nepean,LO,LJ,181.77,23.0
2025-06-08,CP202,Nepean,LO,LP,38.97,3.0
2025-06-08,CP202,Nepean,LO,MK,14.950000000000001,5.0
2025-06-08,CP202,Nepean,ME,GA,4269.88,13.0
2025-06-08,CP202,Nepean,ME,M1,12129.82,6.0
2025-06-08,CP202,Nepean,ME,M3,0.0,0.0
2025-06-08,CP202,Nepean,ME,M4,4039.48,28.0
2025-06-08,CP202,Nepean,ME,M5,5096.41,7.0
2025-06-08,CP202,Nepean,ME,M7,1399.98,2.0
2025-06-08,CP202,Nepean,ME,MA,343.94000000000005,6.0
2025-06-08,CP202,Nepean,ME,MB,899.98,2.0
2025-06-08,CP202,Nepean,ME,MC,641.77,23.0
2025-06-08,CP202,Nepean,ME,MO,0.0,1.0
2025-06-08,CP202,Nepean,ME,MS,2053.96,2.0
2025-06-08,CP202,Nepean,ME,PA,0.0,-1.0
2025-06-08,CP202,Nepean,ME,ZME,209.99,1.0
2025-06-08,CP202,Nepean,PA,PA,1839.68,10.0
2025-06-08,CP202,Nepean,PA,PM,388.24,5.0
2025-06-08,CP202,Nepean,PA,PMD,0.0,-1.0
2025-06-08,CP202,Nepean,PA,PS,442.47,1.0
2025-06-08,CP202,Nepean,PA,PSD,5166.32,8.0
2025-06-08,CP202,Nepean,PC,PIS,35405.65,1905.0
2025-06-08,CP202,Nepean,PC,SPA,2784.42,166.0
2025-06-08,CP202,Nepean,PC,TES,11.97,3.0
2025-06-08,CP202,Nepean,PI,AP,135.88,12.0
2025-06-08,CP202,Nepean,PI,API,849.99,1.0
2025-06-08,CP202,Nepean,PI,GA,249.99,1.0
2025-06-08,CP202,Nepean,PI,PP,2131.19,281.0
2025-06-08,CP202,Nepean,PI,TES,0.0,2.0
2025-06-08,CP202,Nepean,PI,ZAP,139.95,5.0
2025-06-08,CP202,Nepean,PI,ZGA,0.0,2.0
2025-06-08,CP202,Nepean,SP,SP,55497.0,3.0
2025-06-08,CP202,Nepean,TO,TRA,559.99,1.0
2025-06-08,CP37,Gatineau,AM,FB,549.99,1.0
2025-06-08,CP37,Gatineau,AP,AP,8344.57,49.0
2025-06-08,CP37,Gatineau,AP,API,44235.5,458.0
2025-06-08,CP37,Gatineau,AP,PP,6931.57,1310.0
2025-06-08,CP37,Gatineau,AP,TES,1772.08,92.0
2025-06-08,CP37,Gatineau,AP,ZAP,2819.82,18.0
2025-06-08,CP37,Gatineau,AS,AS,2165.21,58.0
2025-06-08,CP37,Gatineau,AS,ASC,699.99,2.0
2025-06-08,CP37,Gatineau,AS,SPA,275.85999999999996,14.0
2025-06-08,CP37,Gatineau,AS,TES,289.84,16.0
2025-06-08,CP37,Gatineau,BQ,BA,12.99,1.0
2025-06-08,CP37,Gatineau,BQ,BC,46.98,2.0
2025-06-08,CP37,Gatineau,BQ,BLP,4095.3,5.0
2025-06-08,CP37,Gatineau,BQ,MK,7.99,1.0
2025-06-08,CP37,Gatineau,CH,THE,12676.99,4.0
2025-06-08,CP37,Gatineau,FI,FEE,689.99,1.0
2025-06-08,CP37,Gatineau,FI,FTA,2699.99,1.0
2025-06-08,CP37,Gatineau,GA,GRM,3599.98,2.0
2025-06-08,CP37,Gatineau,GA,GRS,10299.94,6.0
2025-06-08,CP37,Gatineau,HT,HAC,4688.04,2.0
2025-06-08,CP37,Gatineau,HT,HRE,12296.0,4.0
2025-06-08,CP37,Gatineau,HT,HYB,2499.0,1.0
2025-06-08,CP37,Gatineau,LO,AP,99.98,2.0
2025-06-08,CP37,Gatineau,LO,HTS,0.0,0.0
2025-06-08,CP37,Gatineau,LO,LE,294.86,14.0
2025-06-08,CP37,Gatineau,LO,LG,566.19,31.0
2025-06-08,CP37,Gatineau,LO,LJ,271.55,45.0
2025-06-08,CP37,Gatineau,LO,LP,162.88,12.0
2025-06-08,CP37,Gatineau,ME,GA,3188.34,10.0
2025-06-08,CP37,Gatineau,ME,M1,3200.37,2.0
2025-06-08,CP37,Gatineau,ME,M3,1499.2800000000002,6.0
2025-06-08,CP37,Gatineau,ME,M4,6814.55,41.0
2025-06-08,CP37,Gatineau,ME,M5,6680.19,12.0
2025-06-08,CP37,Gatineau,ME,M7,699.99,1.0
2025-06-08,CP37,Gatineau,ME,MA,966.29,30.0
2025-06-08,CP37,Gatineau,ME,MB,4951.75,5.0
2025-06-08,CP37,Gatineau,ME,MC,1095.46,54.0
2025-06-08,CP37,Gatineau,ME,MF,1999.98,2.0
2025-06-08,CP37,Gatineau,ME,ML,1878.64,2.0
2025-06-08,CP37,Gatineau,ME,MO,0.0,-1.0
2025-06-08,CP37,Gatineau,ME,MS,1330.71,1.0
2025-06-08,CP37,Gatineau,ME,PA,127.97,3.0
2025-06-08,CP37,Gatineau,ME,ZME,0.0,1.0
2025-06-08,CP37,Gatineau,MK,CC,0.0,2.0
2025-06-08,CP37,Gatineau,MK,LOV,13.98,133.0
2025-06-08,CP37,Gatineau,MK,MK,21.78,22.0
2025-06-08,CP37,Gatineau,PA,PA,1100.41,10.0
2025-06-08,CP37,Gatineau,PA,PM,809.39,11.0
2025-06-08,CP37,Gatineau,PA,PMD,344.4,2.0
2025-06-08,CP37,Gatineau,PA,PSD,2505.75,4.0
2025-06-08,CP37,Gatineau,PC,PIS,70162.77,3313.0
2025-06-08,CP37,Gatineau,PC,SPA,5034.62,238.0
2025-06-08,CP37,Gatineau,PI,AP,787.76,202.0
2025-06-08,CP37,Gatineau,PI,API,66.99,1.0
2025-06-08,CP37,Gatineau,PI,MA,13.99,1.0
2025-06-08,CP37,Gatineau,PI,MB,673.2,2.0
2025-06-08,CP37,Gatineau,PI,PP,5179.07,807.0
2025-06-08,CP37,Gatineau,PI,ZAP,534.82,19.0
2025-06-08,CP37,Gatineau,PI,ZGA,351.99,73.0
2025-06-08,CP37,Gatineau,PI,ZME,129.98,2.0
2025-06-08,CP37,Gatineau,SP,SP,50890.31,3.0
2025-06-08,CP37,Gatineau,TO,TAC,1156.97,10.0
2025-06-08,CP37,Gatineau,TO,TRA,5873.84,17.0
