week_ending,store_code,city,division_code,sales,units,n_transactions,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,n_holidays,has_holiday,month
2025-06-08,CP08,Longueuil,AM,153.95,5.0,5,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,AP,59742.19,1921.0,1292,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,AS,9358.32,720.0,95,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,AZ,14.96,4.0,3,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,BQ,1779.48,28.0,25,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,CC,0.0,1.0,1,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,CH,22609.84,16.0,15,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,FI,2791.98,4.0,3,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,GA,8937.82,8.0,6,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,HT,16270.0,5.0,5,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,IN,7564.97,10.0,10,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,INM,3764.99,13.0,13,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,LI,1904.81,50.0,50,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,LO,1488.78,101.0,76,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,ME,46882.67,240.0,131,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,MK,10.0,3.0,3,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,PA,6862.08,25.0,24,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,PC,43602.29,2029.0,1520,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,PI,9391.68,424.0,320,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,SE,3449.83,49.0,49,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,SP,9369.01,1.0,1,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP08,Longueuil,TO,3389.92,13.0,13,19.9,25.9,0.0,13.51,0,0,0,0,0,6
2025-06-08,CP202,Nepean,AP,28311.91,559.0,362,18.0,23.4,0.0,12.87,0,0,0,0,0,6
