week_ending,store_code,city,division_code,units,revenue,n_transactions,revenue_clean,is_return,is_active_product,weeks_with_sales
2023-11-05,CP02,Blainville,FI,1.0,2599.0,1,2599.0,0,1,84
2023-11-05,CP02,Blainville,GA,3.0,1049.97,3,1049.97,0,1,96
2023-11-05,CP02,Blainville,LO,13.0,71.87,7,71.87,0,1,117
2023-11-05,CP02,Blainville,ME,1.0,219.99,1,219.99,0,1,107
2023-11-05,CP02,Blainville,PC,263.0,4085.98,68,4085.98,0,1,117
2023-11-05,CP04,Drummondville,CH,2.0,74.98,2,74.98,0,1,98
2023-11-05,CP04,Drummondville,FI,0.0,-23.0,2,0.0,1,1,112
2023-11-05,CP04,Drummondville,GA,2.0,899.98,2,899.98,0,1,90
2023-11-05,CP04,Drummondville,LO,32.0,154.48000000000002,8,154.48000000000002,0,1,125
2023-11-05,CP04,Drummondville,ME,1.0,139.99,2,139.99,0,1,116
2023-11-05,CP04,Drummondville,PC,244.0,4425.57,71,4425.57,0,1,125
2023-11-05,CP06,Granby,GA,3.0,1729.97,3,1729.97,0,1,102
2023-11-05,CP06,Granby,LO,45.0,182.85,10,182.85,0,1,125
2023-11-05,CP06,Granby,ME,26.0,984.75,24,984.75,0,1,122
2023-11-05,CP06,Granby,PC,516.0,7539.18,91,7539.18,0,1,125
2023-11-05,CP06,Granby,SP,1.0,13499.0,1,13499.0,0,1,98
2023-11-05,CP07,Laval,BQ,9.0,8.91,2,8.91,0,1,184
2023-11-05,CP07,Laval,CH,2.0,4169.9,2,4169.9,0,1,145
2023-11-05,CP07,Laval,FI,4.0,1459.97,4,1459.97,0,1,131
2023-11-05,CP07,Laval,GA,11.0,10039.92,7,10039.92,0,1,192
2023-11-05,CP07,Laval,HT,1.0,3358.65,1,3358.65,0,1,92
2023-11-05,CP07,Laval,LO,11.0,61.89,3,61.89,0,1,209
2023-11-05,CP07,Laval,ME,27.0,6261.7300000000005,13,6261.7300000000005,0,1,212
2023-11-05,CP07,Laval,PC,228.0,3814.76,50,3814.76,0,1,212
2023-11-05,CP07,Laval,TO,1.0,734.49,1,734.49,0,1,101
2023-11-05,CP08,Longueuil,CH,2.0,2399.98,1,2399.98,0,1,96
