week_ending,store_code_x,city,division_code,units,revenue,n_transactions,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month
2023-11-05,CP02,Blainville,FI,1.0,2599.0,1,CP02,QC,2.7,7.3,0.0,4.52,0.0,0.0,0.0,CP02,0,0,11
2023-11-05,CP02,Blainville,GA,3.0,1049.97,3,CP02,QC,2.7,7.3,0.0,4.52,0.0,0.0,0.0,CP02,0,0,11
2023-11-05,CP02,Blainville,LO,13.0,71.87,7,CP02,QC,2.7,7.3,0.0,4.52,0.0,0.0,0.0,CP02,0,0,11
2023-11-05,CP02,Blainville,ME,1.0,219.99,1,CP02,QC,2.7,7.3,0.0,4.52,0.0,0.0,0.0,CP02,0,0,11
2023-11-05,CP02,Blainville,PC,263.0,4085.98,68,CP02,QC,2.7,7.3,0.0,4.52,0.0,0.0,0.0,CP02,0,0,11
2023-11-05,CP04,Drummondville,CH,2.0,74.98,2,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP04,Drummondville,FI,0.0,-23.0,2,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP04,Drummondville,GA,2.0,899.98,2,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP04,Drummondville,LO,32.0,154.48000000000002,8,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP04,Drummondville,ME,1.0,139.99,2,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP04,Drummondville,PC,244.0,4425.57,71,CP04,QC,2.6,5.9,0.0,5.31,0.0,0.0,0.0,CP04,0,0,11
2023-11-05,CP06,Granby,GA,3.0,1729.97,3,CP06,QC,4.2,5.8,0.8,3.79,1.0,0.0,1.0,CP06,0,0,11
2023-11-05,CP06,Granby,LO,45.0,182.85,10,CP06,QC,4.2,5.8,0.8,3.79,1.0,0.0,1.0,CP06,0,0,11
2023-11-05,CP06,Granby,ME,26.0,984.75,24,CP06,QC,4.2,5.8,0.8,3.79,1.0,0.0,1.0,CP06,0,0,11
2023-11-05,CP06,Granby,PC,516.0,7539.18,91,CP06,QC,4.2,5.8,0.8,3.79,1.0,0.0,1.0,CP06,0,0,11
2023-11-05,CP06,Granby,SP,1.0,13499.0,1,CP06,QC,4.2,5.8,0.8,3.79,1.0,0.0,1.0,CP06,0,0,11
2023-11-05,CP07,Laval,BQ,9.0,8.91,2,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,CH,2.0,4169.9,2,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,FI,4.0,1459.97,4,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,GA,11.0,10039.92,7,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,HT,1.0,3358.65,1,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,LO,11.0,61.89,3,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,ME,27.0,6261.7300000000005,13,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,PC,228.0,3814.76,50,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP07,Laval,TO,1.0,734.49,1,CP07,QC,2.9,7.3,0.0,3.27,0.0,0.0,0.0,CP07,0,0,11
2023-11-05,CP08,Longueuil,CH,2.0,2399.98,1,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,FI,4.0,2843.98,4,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,GA,2.0,399.98,2,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,HT,2.0,2031.49,3,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,LO,2.0,22.98,2,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,ME,26.0,12040.87,13,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,PC,295.0,4567.05,75,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP08,Longueuil,SP,1.0,8999.0,1,CP08,QC,3.8,7.1,0.0,4.02,0.0,0.0,0.0,CP08,0,0,11
2023-11-05,CP10,Saint-Jérôme,PC,2.0,0.0,1,CP10,QC,2.6,6.8,0.0,5.47,0.0,0.0,0.0,CP10,0,0,11
2023-11-05,CP15,Repentigny,BQ,3.0,106.99,2,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,CH,3.0,1779.97,2,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,FI,6.0,1357.36,3,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,GA,4.0,859.96,3,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,HT,2.0,1007.98,2,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,LO,11.0,93.89,3,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,ME,2.0,389.99,2,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP15,Repentigny,PC,201.0,2582.9300000000003,48,CP15,QC,3.1,6.8,0.0,3.62,0.0,0.0,0.0,CP15,0,0,11
2023-11-05,CP16,Chicoutimi,BQ,4.0,108.47,3,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,CH,1.0,29.99,1,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,FI,2.0,1921.98,2,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,GA,5.0,964.96,5,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,HT,1.0,559.99,1,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,LO,18.0,59.83,7,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,ME,8.0,2104.94,8,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP16,Chicoutimi,PC,201.0,3612.54,63,CP16,QC,-1.5,0.1,0.2,5.97,0.0,1.0,1.0,CP16,0,0,11
2023-11-05,CP202,Nepean,GA,1.0,1899.99,1,CP202,ON,3.7,6.8,0.0,5.27,0.0,0.0,0.0,CP202,0,0,11
2023-11-05,CP202,Nepean,LO,4.0,17.46,2,CP202,ON,3.7,6.8,0.0,5.27,0.0,0.0,0.0,CP202,0,0,11
2023-11-05,CP202,Nepean,ME,5.0,1212.96,5,CP202,ON,3.7,6.8,0.0,5.27,0.0,0.0,0.0,CP202,0,0,11
