Date,City,Category,Sales
2021-01-01,Montreal,PC,200.46569105803184
2021-01-02,Montreal,PC,199.10514506379826
2021-01-03,Montreal,PC,201.76449871472929
2021-01-04,Montreal,PC,201.5772311339164
2021-01-05,Montreal,PC,209.21487850534623
2021-01-06,Montreal,PC,205.2536423932929
2021-01-07,Montreal,PC,200.27827167286733
2021-01-08,Montreal,PC,211.1578686967906
2021-01-09,Montreal,PC,214.49085232314175
2021-01-10,Montreal,PC,208.51691085529154
2021-01-11,Montreal,PC,215.34990550511537
2021-01-12,Montreal,PC,205.41123224533004
2021-01-13,Montreal,PC,207.90334588098926
2021-01-14,Montreal,PC,201.00482319258631
2021-01-15,Montreal,PC,197.4431791908666
2021-01-16,Montreal,PC,201.99539845244868
2021-01-17,Montreal,PC,196.5215613900754
2021-01-18,Montreal,PC,198.96048122994227
2021-01-19,Montreal,PC,191.1806363845716
2021-01-20,Montreal,PC,197.43372699226197
2021-01-21,Montreal,PC,189.21313790665775
2021-01-22,Montreal,PC,185.4811167030467
2021-01-23,Montreal,PC,193.77564641896075
2021-01-24,Montreal,PC,190.5972433679572
2021-01-25,Montreal,PC,193.91742296238675
2021-01-26,Montreal,PC,190.31547011720983
2021-01-27,Montreal,PC,183.9046092329026
2021-01-28,Montreal,PC,197.4699489787638
2021-01-29,Montreal,PC,197.3950842234671
2021-01-30,Montreal,PC,192.86525378638655
2021-01-31,Montreal,PC,198.85578792564445
2021-02-01,Montreal,PC,202.01548637827358
2021-02-02,Montreal,PC,211.4566836694094
2021-02-03,Montreal,PC,203.68022652565688
2021-02-04,Montreal,PC,206.82817090514237
2021-02-05,Montreal,PC,200.39564657178633
2021-02-06,Montreal,PC,208.69512755148324
2021-02-07,Montreal,PC,213.59681005212457
2021-02-08,Montreal,PC,206.43938031093148
2021-02-09,Montreal,PC,213.69461609815855
2021-02-10,Montreal,PC,209.28685895265156
2021-02-11,Montreal,PC,217.77355215958468
2021-02-12,Montreal,PC,212.145286141717
2021-02-13,Montreal,PC,213.42654642934787
2021-02-14,Montreal,PC,203.27783232380537
2021-02-15,Montreal,PC,203.4998367402305
2021-02-16,Montreal,PC,202.62194956855691
2021-02-17,Montreal,PC,191.1825943086145
2021-02-18,Montreal,PC,201.33179428558114
2021-02-19,Montreal,PC,202.8237967631189
2021-02-20,Montreal,PC,196.59202600400465
2021-02-21,Montreal,PC,196.85373141958704
2021-02-22,Montreal,PC,187.2881513547466
2021-02-23,Montreal,PC,189.28509568156267
2021-02-24,Montreal,PC,195.6758870191933
2021-02-25,Montreal,PC,190.71994544008376
2021-02-26,Montreal,PC,182.86419431673852
2021-02-27,Montreal,PC,194.19791957699326
2021-02-28,Montreal,PC,190.67546921061927
2021-03-01,Montreal,PC,200.84377511950936
2021-03-02,Montreal,PC,198.16213215341776
2021-03-03,Montreal,PC,196.38432398708213
2021-03-04,Montreal,PC,194.19686601382904
2021-03-05,Montreal,PC,202.9069706970031
2021-03-06,Montreal,PC,201.3625682965438
2021-03-07,Montreal,PC,201.6284787632754
2021-03-08,Montreal,PC,207.5817535728789
2021-03-09,Montreal,PC,204.88871556629218
2021-03-10,Montreal,PC,210.39425560660132
2021-03-11,Montreal,PC,210.13675094366533
2021-03-12,Montreal,PC,219.33839005277656
2021-03-13,Montreal,PC,211.7037577212072
2021-03-14,Montreal,PC,209.74442921231216
2021-03-15,Montreal,PC,204.5116044814442
2021-03-16,Montreal,PC,211.36877541981247
2021-03-17,Montreal,PC,200.5433904454029
2021-03-18,Montreal,PC,203.84068212166378
2021-03-19,Montreal,PC,201.99013106341374
2021-03-20,Montreal,PC,200.6953018549438
2021-03-21,Montreal,PC,202.76915309817647
2021-03-22,Montreal,PC,200.84905005454146
2021-03-23,Montreal,PC,196.63066489767334
2021-03-24,Montreal,PC,195.71122834933394
2021-03-25,Montreal,PC,190.47448322151106
2021-03-26,Montreal,PC,196.81696844314862
2021-03-27,Montreal,PC,193.17000781042114
2021-03-28,Montreal,PC,190.55629263348024
2021-03-29,Montreal,PC,183.85152710815012
2021-03-30,Montreal,PC,188.38728935889085
2021-03-31,Montreal,PC,181.71589539328014
2021-04-01,Montreal,PC,196.32420475070543
2021-04-02,Montreal,PC,184.02279840522067
2021-04-03,Montreal,PC,192.99960387563806
2021-04-04,Montreal,PC,195.15273055169496
2021-04-05,Montreal,PC,197.9508522637834
2021-04-06,Montreal,PC,195.44295638619465
2021-04-07,Montreal,PC,197.59554350428022
2021-04-08,Montreal,PC,212.129015768058
2021-04-09,Montreal,PC,207.4319969643957
2021-04-10,Montreal,PC,204.79563328841556
2021-04-11,Montreal,PC,210.4070269051491
2021-04-12,Montreal,PC,211.05642863873186
2021-04-13,Montreal,PC,213.5809743473014
2021-04-14,Montreal,PC,205.61456143990347
2021-04-15,Montreal,PC,207.54679911148233
2021-04-16,Montreal,PC,199.91421565067822
2021-04-17,Montreal,PC,211.8434416285613
2021-04-18,Montreal,PC,208.65706330474285
2021-04-19,Montreal,PC,188.66338663353108
2021-04-20,Montreal,PC,205.87022501903593
2021-04-21,Montreal,PC,201.55273130651548
2021-04-22,Montreal,PC,190.61647874417622
2021-04-23,Montreal,PC,194.83599972229408
2021-04-24,Montreal,PC,185.9093020512616
2021-04-25,Montreal,PC,189.43363507077035
2021-04-26,Montreal,PC,190.00611027949964
2021-04-27,Montreal,PC,185.20328695317295
2021-04-28,Montreal,PC,197.2692947006537
2021-04-29,Montreal,PC,181.61335800861661
2021-04-30,Montreal,PC,195.63766087707793
2021-05-01,Montreal,PC,190.3963693609579
2021-05-02,Montreal,PC,188.2757124088794
2021-05-03,Montreal,PC,181.9240190131605
2021-05-04,Montreal,PC,199.0568546543724
2021-05-05,Montreal,PC,196.66237286960097
2021-05-06,Montreal,PC,195.1990864319997
2021-05-07,Montreal,PC,198.51165576618092
2021-05-08,Montreal,PC,205.72644172536644
2021-05-09,Montreal,PC,201.76668865610574
2021-05-10,Montreal,PC,212.7914729553198
2021-05-11,Montreal,PC,209.86733952221888
2021-05-12,Montreal,PC,209.75724446969576
2021-05-13,Montreal,PC,210.45599620609906
2021-05-14,Montreal,PC,207.77144565830423
2021-05-15,Montreal,PC,212.79951547427834
2021-05-16,Montreal,PC,209.56060491433928
2021-05-17,Montreal,PC,218.20743836309427
2021-05-18,Montreal,PC,196.5764896300034
2021-05-19,Montreal,PC,211.81023518168956
2021-05-20,Montreal,PC,200.6156828003086
2021-05-21,Montreal,PC,203.69233732539269
2021-05-22,Montreal,PC,199.5907875055143
2021-05-23,Montreal,PC,196.41231032661955
2021-05-24,Montreal,PC,195.73110226665432
2021-05-25,Montreal,PC,196.09784270918803
2021-05-26,Montreal,PC,190.37440278723886
2021-05-27,Montreal,PC,192.94464187295262
2021-05-28,Montreal,PC,191.87542611105724
2021-05-29,Montreal,PC,190.5603578091671
2021-05-30,Montreal,PC,188.55738307454632
2021-05-31,Montreal,PC,194.39285942573147
2021-06-01,Montreal,PC,184.862435488323
2021-06-02,Montreal,PC,189.6396018909104
2021-06-03,Montreal,PC,194.3473486961959
2021-06-04,Montreal,PC,193.20861933779244
2021-06-05,Montreal,PC,200.79053309050676
2021-06-06,Montreal,PC,208.3572664171223
2021-06-07,Montreal,PC,202.27216185383594
2021-06-08,Montreal,PC,203.2030415710508
2021-06-09,Montreal,PC,200.4843992922168
2021-06-10,Montreal,PC,208.67861762491518
2021-06-11,Montreal,PC,217.88944861147394
2021-06-12,Montreal,PC,208.24522131575515
2021-06-13,Montreal,PC,214.22546755359795
2021-06-14,Montreal,PC,211.28714925984733
2021-06-15,Montreal,PC,205.86509605862506
2021-06-16,Montreal,PC,202.9675738464959
2021-06-17,Montreal,PC,211.99514034910604
2021-06-18,Montreal,PC,211.8113646079904
2021-06-19,Montreal,PC,198.6315963783554
2021-06-20,Montreal,PC,206.41429697269382
2021-06-21,Montreal,PC,211.9954049947319
2021-06-22,Montreal,PC,204.16549673719896
2021-06-23,Montreal,PC,196.4857299967592
2021-06-24,Montreal,PC,197.9940403881005
2021-06-25,Montreal,PC,198.8752823330807
2021-06-26,Montreal,PC,187.4002739886324
2021-06-27,Montreal,PC,193.29582247918754
2021-06-28,Montreal,PC,189.50608584767
2021-06-29,Montreal,PC,192.73079788406793
2021-06-30,Montreal,PC,189.4756816060086
2021-07-01,Montreal,PC,191.19074453791643
2021-07-02,Montreal,PC,186.47287186968205
2021-07-03,Montreal,PC,193.98640539416104
2021-07-04,Montreal,PC,194.76108207115388
