store_code,city,division_code,Week,Forecast_Sales,Lower_CI,Upper_CI
CP08,Longueuil,AP,2025-09-21,1993.62,0.0,8828.87
CP08,Longueuil,AP,2025-09-28,0.0,0.0,4349.74
CP08,Longueuil,AP,2025-10-05,0.0,0.0,0.0
CP08,Longueuil,AP,2025-10-12,0.0,0.0,0.0
CP08,Longueuil,AS,2025-09-21,0.0,0.0,1897.63
CP08,Longueuil,AS,2025-09-28,0.0,0.0,1559.61
CP08,Longueuil,AS,2025-10-05,0.0,0.0,1139.43
CP08,Longueuil,AS,2025-10-12,0.0,0.0,735.42
CP08,Longueuil,AZ,2025-09-21,950.55,113.43,1792.06
CP08,Longueuil,AZ,2025-09-28,1062.28,208.57,1939.86
CP08,Longueuil,AZ,2025-10-05,1174.01,317.61,2075.49
CP08,Longueuil,AZ,2025-10-12,1285.74,458.68,2135.3
CP08,Longueuil,BQ,2025-09-14,909.51,0.0,3970.01
CP08,Longueuil,BQ,2025-09-21,671.9,0.0,3874.12
CP08,Longueuil,BQ,2025-09-28,434.28,0.0,3478.39
CP08,Longueuil,BQ,2025-10-05,196.67,0.0,3258.77
CP08,Longueuil,CH,2025-09-14,0.0,0.0,6426.77
CP08,Longueuil,CH,2025-09-21,0.0,0.0,5060.92
CP08,Longueuil,CH,2025-09-28,0.0,0.0,3218.31
CP08,Longueuil,CH,2025-10-05,0.0,0.0,2077.72
CP08,Longueuil,FI,2025-09-07,1083.48,0.0,3440.92
CP08,Longueuil,FI,2025-09-14,972.06,0.0,3246.32
CP08,Longueuil,FI,2025-09-21,860.63,0.0,3235.05
CP08,Longueuil,FI,2025-09-28,749.2,0.0,3115.27
CP08,Longueuil,GA,2025-09-07,4482.52,0.0,12219.22
CP08,Longueuil,GA,2025-09-14,4232.22,0.0,11938.1
CP08,Longueuil,GA,2025-09-21,3981.91,0.0,11830.36
CP08,Longueuil,GA,2025-09-28,3731.61,0.0,10945.83
CP08,Longueuil,HT,2025-09-14,2741.32,0.0,5971.61
CP08,Longueuil,HT,2025-09-21,2059.64,0.0,5471.04
CP08,Longueuil,HT,2025-09-28,1377.97,0.0,4551.79
CP08,Longueuil,HT,2025-10-05,696.29,0.0,4185.03
CP08,Longueuil,INM,2025-09-07,0.0,0.0,1257.68
CP08,Longueuil,INM,2025-09-14,0.0,0.0,1013.23
CP08,Longueuil,INM,2025-09-21,0.0,0.0,672.83
CP08,Longueuil,INM,2025-09-28,0.0,0.0,371.34
CP08,Longueuil,LI,2025-09-14,284.9,0.0,832.75
CP08,Longueuil,LI,2025-09-21,179.07,0.0,736.57
CP08,Longueuil,LI,2025-09-28,73.25,0.0,658.69
CP08,Longueuil,LI,2025-10-05,0.0,0.0,499.14
CP08,Longueuil,LO,2025-09-21,327.16,0.0,1487.63
CP08,Longueuil,LO,2025-09-28,136.05,0.0,1414.84
CP08,Longueuil,LO,2025-10-05,0.0,0.0,1168.95
