store_code,city,Week,Forecast_Sales,Lower_CI,Upper_CI
CP08,Longueuil,2025-09-07,6604.48,0.0,21981.11
CP08,Longueuil,2025-09-14,9727.11,0.0,38038.68
CP08,Longueuil,2025-09-21,21337.43,1273.69,83809.23
CP08,Longueuil,2025-09-28,12184.51,210.95,66315.81
CP08,Longueuil,2025-10-05,3534.35,319.95,34434.52
CP08,Longueuil,2025-10-12,1293.99,460.71,19058.26
CP202,Nepean,2025-08-31,12928.72,0.0,49624.12
CP202,Nepean,2025-09-07,15203.73,0.0,65191.67
CP202,Nepean,2025-09-14,12854.04,0.0,64756.799999999996
CP202,Nepean,2025-09-21,23030.760000000002,169.01,104209.86
CP202,Nepean,2025-09-28,11426.17,134.43,57909.1
CP202,Nepean,2025-10-05,5455.0199999999995,129.3,35609.19
CP202,Nepean,2025-10-12,1364.73,72.11,23699.870000000003
CP37,Gatineau,2025-08-31,9478.56,0.0,19383.29
CP37,Gatineau,2025-09-07,7735.76,0.0,19665.86
CP37,Gatineau,2025-09-14,18789.07,0.0,57538.880000000005
CP37,Gatineau,2025-09-21,49192.490000000005,13104.55,139743.63999999998
CP37,Gatineau,2025-09-28,35359.15,12530.41,108878.89
CP37,Gatineau,2025-10-05,29370.000000000004,9240.29,93382.66
CP37,Gatineau,2025-10-12,18076.949999999997,7190.76,43935.57
CP44,St-Constant,2025-09-07,0.01,0.0,3977.8599999999997
CP44,St-Constant,2025-09-14,3.01,0.0,7982.55
CP44,St-Constant,2025-09-21,9165.51,4879.65,40079.04
CP44,St-Constant,2025-09-28,7707.71,3908.75,33243.060000000005
CP44,St-Constant,2025-10-05,6585.179999999999,2897.77,26097.97
CP44,St-Constant,2025-10-12,5459.37,2082.27,20552.68
CP48,Beloeil,2025-09-07,849.36,0.0,3364.34
CP48,Beloeil,2025-09-14,5082.32,0.0,18739.27
CP48,Beloeil,2025-09-21,17730.38,2882.59,52069.65
CP48,Beloeil,2025-09-28,12225.22,746.76,39784.41
CP48,Beloeil,2025-10-05,7119.45,803.11,32893.159999999996
CP48,Beloeil,2025-10-12,2100.7699999999995,911.81,13023.83
