store_code,city,division_code,MAPE,wMAPE,RMSE,MAE,Bias,Avg_Sales,Train_Weeks,Test_Weeks,Regressors
CP08,Longueuil,AP,0.768,0.5897,8615.35,6653.35,6653.35,11282.61,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,AS,4.7699,3.3504,4262.12,3817.42,-3817.42,1139.38,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,AZ,0.9092,0.9586,2013.18,1628.72,-1628.72,1699.15,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,BQ,33.2335,2.8846,3788.2,3694.86,-3694.86,1280.88,10,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,CH,5.4967,2.3957,10131.43,9650.32,-9650.32,4028.23,10,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,FI,1.248,1.0218,2085.73,1682.07,-1682.07,1646.14,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,GA,7.4375,1.0745,8374.7,6473.74,-3145.75,6024.96,8,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,HT,0.7263,0.566,2670.7,2341.46,2249.53,4136.74,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,INM,,1.9633,1113.34,1025.8,245.58,522.49,8,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,LI,0.8534,0.4045,209.72,173.93,-41.01,429.97,10,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,LO,25.5626,18.5913,4389.61,4284.18,4284.18,230.44,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,ME,0.6823,0.8,12242.08,7906.22,-4373.74,9882.78,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,MK,2.6653,2.2748,15.24,14.22,14.22,6.25,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,PA,12.9413,3.3204,4645.44,4344.55,4344.55,1308.46,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,PC,0.6295,0.3723,4462.6,4025.76,-1411.02,10812.09,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,PI,2.3067,1.9542,3249.1,2870.21,2870.21,1468.71,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,SE,,1.6203,1269.89,1117.95,-914.94,689.97,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP08,Longueuil,TO,1.0835,0.9867,2598.48,1915.14,633.44,1940.99,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,AP,15.8309,9.2768,30242.16,28505.69,-28505.69,3072.8,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,AS,2.9176,0.8311,2138.87,1565.5,1071.18,1883.72,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,DI,,9.3024,529.28,502.0,-502.0,53.96,11,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,GA,2.167,2.1469,30751.79,21146.39,-17748.0,9849.72,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,IN,,3.0087,2597.74,2342.98,-2342.98,778.75,8,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
CP202,Nepean,LI,8.9121,5.1882,3357.55,2924.64,2924.64,563.71,9,4,"avg_temp, bad_weather_days, snow_days, has_holiday"
